x,y,z,timestamp
-0.050701816,-0.11911872,-0.01282817,4529
-0.05131268,-0.115453534,-0.02443461,9534
-0.05375614,-0.10323623,-0.035430185,14539
-0.05497787,-0.08246681,-0.04642576,19565
-0.056199603,-0.05681047,-0.055588737,24548
-0.059253927,-0.029321533,-0.061086524,29523
-0.06047566,-0.0036651916,-0.064751714,34528
-0.061086524,0.021380283,-0.06291912,39555
-0.059864793,0.03481932,-0.0580322,44537
-0.056199603,0.035430185,-0.045814894,49542
-0.05131268,0.018325957,-0.034208454,54547
-0.048258353,-0.004276057,-0.021380283,59543
-0.040317107,-0.032986723,-0.008552114,64526
-0.034208454,-0.06414085,0.004276057,69531
-0.027488936,-0.10262536,0.018936822,74536
-0.021991149,-0.1441642,0.02687807,79563
-0.010995574,-0.18081611,0.03176499,84546
0.007330383,-0.20463985,0.034208454,89520
0.03176499,-0.20708331,0.03176499,94525
0.081855945,-0.19120082,0.017104227,99552
0.1160644,-0.17165314,0.002443461,104535
0.15027285,-0.16126843,-0.009773844,109540
0.18020524,-0.15760323,-0.02687807,114545
0.20341812,-0.15515977,-0.043982297,119572
0.22174409,-0.14905111,-0.059253927,124524
0.23151793,-0.13255776,-0.06719518,129529
0.23518312,-0.105068825,-0.07269296,134534
0.23457226,-0.06780604,-0.07147124,139561
0.22907446,-0.029321533,-0.070249505,144543
0.20463985,0.018325957,-0.059864793,149548
0.17898351,0.047647487,-0.054367006,154523
0.1459968,0.06536258,-0.048258353,159550
0.11301007,0.076358154,-0.0421497,164532
0.08246681,0.08124508,-0.031154128,169537
0.057421334,0.08124508,-0.019547688,174542
0.03726278,0.07574729,-0.007941248,179569
0.02076942,0.06291912,0.0030543262,184521
0.0030543262,0.05681047,0.010995574,189527
-0.018936822,0.05497787,0.01282817,194531
-0.059864793,0.059253927,0.014660766,199558
-0.09407325,0.069027774,0.0061086523,204541
-0.12217305,0.08124508,-0.007330383,209546
-0.14110987,0.1001819,-0.032375857,214520
-0.14721853,0.12034045,-0.06047566,219547
-0.14294247,0.14110987,-0.09101892,224530
-0.13622294,0.14477506,-0.13316862,229535
-0.11728613,0.070249505,-0.21746802,234540
-0.10140363,0.09407325,-0.3023783,239567
-0.07819075,0.081855945,-0.36957347,244549
-0.0580322,0.12217305,-0.38362336,249524
-0.049480084,0.23579398,-0.34391713,254529
-0.051923547,0.29626966,-0.29260445,259555
-0.06536258,0.33169982,-0.23640485,264539
-0.06841691,0.35796702,-0.18325958,269544
-0.06291912,0.40561453,-0.13561209,274548
-0.042760566,0.46181414,-0.09712757,279544
-0.025045475,0.5180137,-0.07452556,284528
-0.013439035,0.56138515,-0.06963864,289532
-0.040927973,0.64873886,-0.09162979,294537
-0.0720821,0.70188415,-0.108123146,299563
-0.07819075,0.7153232,-0.07513642,304547
-0.069027774,0.81489426,-0.04337143,309522
-0.059864793,1.0128145,-0.042760566,314526
-0.09162979,1.0861185,-0.059864793,319553
-0.17165314,1.1410962,-0.099571034,324536
-0.2932153,1.1313224,-0.14782938,329541
-0.4361578,1.033584,-0.1777618,334546
-0.5766568,0.8564331,-0.18325958,339542
-0.68783426,0.6389651,-0.17165314,344525
-0.7696902,0.45570546,-0.1777618,349530
-0.8533788,0.30482176,-0.22418754,354535
-0.9034697,0.18936823,-0.29626966,359562
-0.9468411,0.036651913,-0.3744604,364545
-0.98471475,-0.1001819,-0.4392121,369550
-1.0415252,-0.17959438,-0.49846604,374524
-1.0891727,-0.25228736,-0.5326745,379551
-1.1239921,-0.25167647,-0.5467244,384534
-1.1453724,-0.17104226,-0.54244834,389539
-1.151481,-0.04642576,-0.53023106,394543
-1.1441506,0.09896017,-0.548557,399570
-1.1044444,0.2125811,-0.5693264,404523
-1.0690142,0.23884831,-0.5674938,409528
-1.0274754,0.21319197,-0.552833,414532
-0.9816604,0.16310102,-0.52534413,419559
-0.9334021,0.108123146,-0.48930305,424542
-0.88514376,0.054367006,-0.44715336,429547
-0.8368854,-0.007330383,-0.39706242,434521
-0.788627,-0.06047566,-0.34269542,439548
-0.7440339,-0.1001819,-0.2883284,444531
-0.70616025,-0.119729586,-0.23640485,449536
-0.66156703,-0.14905111,-0.17531833,454541
-0.6426302,-0.21135938,-0.14477506,459567
-0.62858033,-0.30909783,-0.124005646,464520
-0.6224717,-0.4269948,-0.111177474,469525
-0.6249151,-0.5479461,-0.10751228,474530
-0.63713247,-0.6536258,-0.11911872,479556
-0.6627888,-0.72509706,-0.14844026,484540
-0.6957755,-0.77824235,-0.18448131,489545
-0.7281514,-0.820392,-0.2180789,494550
-0.7556403,-0.8381071,-0.24312437,499544
-0.7831292,-0.8185594,-0.26450464,504529
-0.81000733,-0.784351,-0.28099802,509534
-0.8173377,-0.7678576,-0.2657264,514539
-0.81489426,-0.75441855,-0.22052236,519563
-0.8008443,-0.729984,-0.14966199,524548
-0.77946407,-0.68783426,-0.06169739,529523
-0.7244862,-0.54550266,0.03970624,534527
-0.62796944,-0.15088372,0.15332718,539552
-0.5338962,0.39767328,0.26511553,544537
-0.4147775,0.8753699,0.37384954,549542
-0.29138273,1.2425,0.46670106,554547
-0.13500121,1.5693128,0.5644395,559541
-0.05375614,1.6609426,0.59986967,564526
0.009773844,1.6945401,0.6114761,569531
0.052534413,1.7085901,0.5888741,574536
0.07513642,1.7519615,0.5503896,579561
0.084910266,1.8527542,0.5161811,584546
0.084910266,1.9804251,0.4831944,589520
0.089186326,2.1025982,0.46792278,594525
0.09773844,2.2339342,0.44409904,599550
0.119729586,2.3597724,0.39950588,604535
0.17104226,2.5228734,0.29749137,609540
0.22479841,2.5760188,0.19181168,614545
0.30482176,2.5857925,0.07086037,619569
0.4092797,2.5864034,-0.02687807,624524
0.5363397,2.588847,-0.105068825,629529
0.6646214,2.6236663,-0.16432275,634534
0.77824235,2.6481009,-0.19608775,639558
0.86742866,2.6145031,-0.19364429,644543
0.929126,2.5509732,-0.16187929,649548
0.9602802,2.4642303,-0.115453534,654523
0.960891,2.3536637,-0.028710667,659547
0.93767816,2.3475552,0.008552114,664532
0.90285885,2.4013114,0.034208454,669538
0.8527679,2.5033257,0.0580322,674542
0.7819075,2.6212227,0.081855945,679571
0.6976081,2.723848,0.1020145,684521
0.6096435,2.7837129,0.111177474,689526
0.53878313,2.8081474,0.11056661,694531
0.49235737,2.8160887,0.099571034,699555
0.46670106,2.819754,0.08368854,704541
0.46792278,2.8032606,0.05009095,709546
0.48502702,2.7580566,0.032986723,714520
0.5143485,2.69697,0.016493361,719544
0.55771995,2.64749,0.004886922,724530
0.6084218,2.610227,-0.007941248,729535
0.66156703,2.5729644,-0.02076942,734540
0.71837753,2.5326474,-0.035430185,739566
0.7690793,2.4898868,-0.047036625,744550
0.81000733,2.439185,-0.051923547,749524
0.84299403,2.3762658,-0.051923547,754529
0.86009824,2.3127358,-0.04886922,759555
0.8680395,2.2119431,-0.021991149,764539
0.86193085,2.1288655,0.008552114,769543
0.8527679,2.0494528,0.03970624,774548
0.8405506,1.9578232,0.076358154,779544
0.8350528,1.8655825,0.10934488,784528
0.8374963,1.785559,0.14721853,789532
0.84665924,1.6994271,0.18692477,794537
0.86132,1.609019,0.23579398,799564
0.88025683,1.5247196,0.2846632,804547
0.90102625,1.4471397,0.32925636,809521
0.91751957,1.3426818,0.39278635,814526
0.91446525,1.2852604,0.4269948,819552
0.89675015,1.2333369,0.45448375,824536
0.8668178,1.1838568,0.4709771,829541
0.8216137,1.1349876,0.48258355,834546
0.7684685,1.0928379,0.49296826,839542
0.70249504,1.0659598,0.50335294,844556
0.6310238,1.0415252,0.51251596,849530
0.5534439,1.0091494,0.5174029,854535
0.4636467,0.947452,0.50701815,859561
0.3005457,0.7855727,0.46303585,864545
0.204029,0.6560693,0.42455134,869550
0.13194689,0.5155703,0.37995818,874524
0.08735373,0.35308012,0.33108896,879550
0.062308256,0.15882497,0.29016098,884534
0.048258353,-0.042760566,0.258396,889539
0.037873644,-0.24373524,0.23640485,894543
0.02321288,-0.43188173,0.21380283,899570
0.009773844,-0.61575216,0.19181168,904523
-0.0061086523,-0.8032878,0.16737708,909528
-0.037873644,-1.0684034,0.13316862,914532
-0.07147124,-1.2247849,0.111177474,919559
