x,y,z,timestamp
0.48380527,0.47952923,0.4092797,375
0.61269784,0.34269542,0.45875978,5380
0.79290307,0.19303341,0.51923543,10385
0.9034697,0.12950343,0.5448918,15409
1.0091494,0.09773844,0.55955255,20364
1.1044444,0.122783914,0.56077427,25369
1.1887437,0.19547687,0.55771995,30374
1.2534955,0.2938262,0.5479461,35399
1.3023647,0.39828414,0.5369505,40383
1.3310753,0.5009095,0.5296202,45388
1.3396275,0.6017023,0.5271767,50393
1.3316863,0.70738196,0.5326745,55390
1.3127494,0.8258898,0.5357288,60373
1.2638801,1.0170907,0.5332854,65377
1.2198979,1.1209377,0.5332854,70382
1.1685852,1.1991285,0.5338962,75409
1.1136073,1.278541,0.54305923,80392
1.0525209,1.3616186,0.5534439,85366
0.98715824,1.4483615,0.56321776,90371
0.91507614,1.5259414,0.5729916,95398
0.8436049,1.5937474,0.57604593,100381
0.77091193,1.6890424,0.55833083,105386
0.7086037,1.7666223,0.5571091,110391
0.643852,1.817935,0.5925393,115387
0.6188065,1.8289305,0.6291912,120370
0.6017023,1.8356501,0.66645396,125375
0.59498274,1.8350391,0.70066243,130380
0.6041457,1.8197676,0.7293731,135406
0.625526,1.8051068,0.7470882,140390
0.65668017,1.8081611,0.75136423,145364
0.6963864,1.8338175,0.7464773,150369
0.73792523,1.8509218,0.73364913,155395
0.7819075,1.8460348,0.711658,160379
0.84665924,1.7580702,0.63591075,165383
0.8686504,1.7702875,0.57360244,170388
0.8784242,1.7831156,0.5216789,175414
0.8881981,1.7415768,0.49357912,180368
0.88270026,1.690875,0.48075095,185372
0.86315256,1.6578883,0.46975538,190377
0.82527894,1.6261233,0.4465425,195434
0.7825184,1.5693128,0.41416663,200387
0.73548174,1.4941764,0.37934732,205392
0.69027776,1.4220943,0.34391713,210366
0.63285637,1.3561208,0.2938262,215393
0.6035349,1.3414601,0.26450464,220376
0.57910025,1.3487904,0.23823744,225381
0.5571091,1.3750577,0.2180789,230386
0.5338962,1.3988814,0.20708331,235412
0.51251596,1.4135422,0.204029,240365
0.48441613,1.423316,0.21380283,245370
0.45814893,1.4269812,0.2321288,250375
0.43310347,1.4184291,0.25717425,255401
0.41599923,1.3909402,0.28527406,260385
0.4092797,1.3634512,0.31948254,265390
0.41233405,1.3616186,0.3359759,270364
0.42149702,1.351234,0.35124752,275390
0.4343252,1.323745,0.36774087,280374
0.4447099,1.273654,0.3830125,285378
0.42394048,1.196685,0.38912117,290383
0.30543262,1.0042624,0.3933972,295408
0.18997909,0.66523224,0.3885103,300393
0.13194689,0.29443705,0.35613444,305367
0.099571034,-0.0067195175,0.28771752,310372
0.06658431,-0.2919936,0.12583824,315399
0.06352998,-0.36651915,0.009773844,320382
0.06169739,-0.35185838,-0.09590584,325387
0.0580322,-0.2968805,-0.18997909,330392
0.05009095,-0.2443461,-0.27122417,335388
0.039095376,-0.19486602,-0.3378085,340371
0.025045475,-0.14294247,-0.3848451,345376
0.0036651916,-0.09407325,-0.4092797,350381
-0.029932396,-0.050701816,-0.4092797,355407
-0.07391469,-0.021380283,-0.3903429,360391
-0.1282817,-0.012217305,-0.36163223,365365
-0.21563543,-0.044593163,-0.30482176,370370
-0.26816985,-0.09773844,-0.26267207,375396
-0.3145956,-0.17104226,-0.21563543,380380
-0.35124752,-0.25778514,-0.16493362,385385
-0.37873647,-0.3585779,-0.1160644,390390
-0.4007276,-0.47219884,-0.06414085,395387
-0.41233405,-0.59986967,-0.015882496,400369
-0.40561453,-0.73853606,0.026267206,405374
-0.37995818,-0.8582657,0.057421334,410378
-0.32620203,-0.94134337,0.07819075,415405
-0.21380283,-0.9718866,0.08735373,420388
-0.13316862,-0.9431759,0.07880162,425393
-0.0580322,-0.8949176,0.069027774,430367
0.009162978,-0.83077675,0.04886922,435394
0.064751714,-0.74220127,0.021991149,440377
0.10567969,-0.63346726,-0.007330383,445382
0.1282817,-0.5137377,-0.03726278,450387
0.13439035,-0.39095375,-0.06169739,455413
0.122783914,-0.27855456,-0.07941248,460367
0.09590584,-0.17837265,-0.093462385,465371
0.03481932,-0.053145275,-0.106901415,470376
-0.015271631,0.014660766,-0.11178834,475403
-0.06414085,0.06841691,-0.11362094,480386
-0.11484267,0.10934488,-0.116675265,485391
-0.16126843,0.13927728,-0.11789699,490365
-0.20341812,0.15027285,-0.11484267,495391
-0.23945917,0.1423316,-0.112399206,500375
-0.27122417,0.11911872,-0.10873401,505380
-0.29260445,0.081855945,-0.10751228,510385
-0.30543262,0.03481932,-0.10445796,515411
-0.30848694,-0.043982297,-0.10567969,520364
-0.29626966,-0.10751228,-0.10262536,525369
