x,y,z,timestamp
-0.16126843,0.43004912,0.096516706,2195
-0.10323623,0.3885103,0.112399206,7220
-0.032986723,0.33536503,0.1301143,12205
0.049480084,0.27305678,0.1459968,17209
0.13988814,0.20341812,0.16676621,22184
0.23640485,0.13255776,0.18203785,27209
0.33658674,0.065973446,0.19547687,32194
0.4905248,-0.018325957,0.21563543,37198
0.59986967,-0.06719518,0.22968534,42203
0.711658,-0.10751228,0.23945917,47228
0.8350528,-0.1337795,0.24862215,52183
0.9663888,-0.11911872,0.2510656,57187
1.1050552,-0.044593163,0.2510656,62192
1.2443326,0.081855945,0.24617869,67217
1.3775011,0.23762658,0.23640485,72202
1.4996742,0.40439278,0.22540927,77207
1.6022996,0.56077427,0.22235495,82181
1.7153096,0.75136423,0.2302962,87206
1.7574593,0.8405506,0.2565634,92191
1.7806722,0.8918633,0.31337386,97196
1.7849482,0.89736104,0.39095375,102201
1.772731,0.8875872,0.47952923,107225
1.7482964,0.9016371,0.5662721,112211
1.7165314,0.94134337,0.6310238,117185
1.6823229,0.99387777,0.66828656,122190
1.6481144,1.0464121,0.6817256,127217
1.6187929,1.10139,0.6719518,132200
1.5827519,1.2406673,0.62858033,137205
1.5570955,1.3536774,0.59803706,142209
1.5271631,1.4727961,0.5729916,147206
1.4874569,1.5864171,0.55955255,152189
1.4288138,1.7281377,0.5357288,157194
1.3445144,1.921782,0.50579643,162198
1.2620476,2.1111503,0.50701815,167225
1.174083,2.3157902,0.52656585,172208
1.073901,2.5308146,0.5564982,177183
0.96577793,2.7568347,0.59315014,182187
0.8558222,2.9608638,0.63346726,187214
0.6988298,3.2876768,0.6817256,192197
0.5876524,3.513697,0.6658431,197202
0.48991394,3.7256672,0.59681535,202207
0.37507126,4.053702,0.5021312,207204
0.28771752,4.2626176,0.42394048,212186
0.22052236,4.393343,0.38056904,217191
0.16676621,4.523457,0.35918877,222196
0.12156218,4.618141,0.3463606,227222
0.095294975,4.6431866,0.32803464,232206
0.087964594,4.587598,0.29749137,237211
0.11789699,4.359745,0.21563543,242185
0.16493362,4.143499,0.15454891,247211
0.2302962,3.898542,0.100792766,252195
0.30604348,3.6383133,0.059253927,257200
0.37812558,3.350596,0.037873644,262205
0.44532076,3.0329459,0.032375857,267231
