x,y,z,timestamp
0.18936823,0.30909783,0.106901415,2431
0.28771752,0.23518312,0.14294247,7385
0.3921755,0.16065755,0.18020524,12390
0.5552765,0.06169739,0.23151793,17395
0.6627888,0.029932396,0.25778514,22420
0.7672467,0.040317107,0.28038713,27405
0.86498517,0.08735373,0.29993483,32409
0.94989544,0.15149458,0.31642818,37384
1.0183123,0.22418754,0.32986724,42409
1.069625,0.29932398,0.33414328,47394
1.1081096,0.3707952,0.33353242,52398
1.1325442,0.42332962,0.33536503,57403
1.1392636,0.47525316,0.33414328,62430
1.1301007,0.52839845,0.3200934,67383
1.0977248,0.5876524,0.29565877,72387
1.0604621,0.61391956,0.27672195,77392
1.0103711,0.64568454,0.25350907,82419
0.9486737,0.68661255,0.23518312,87402
0.88208944,0.73853606,0.22479841,92407
0.80756384,0.7812967,0.21685717,97412
0.72692966,0.816116,0.21380283,102408
0.6444628,0.8527679,0.21074851,107391
0.5681047,0.9071349,0.20341812,112396
0.5009095,0.9645562,0.19730948,117401
0.43004912,1.0781772,0.18387043,122428
0.40744713,1.1569787,0.17715092,127411
0.4025602,1.2253957,0.1740966,132385
0.4196644,1.282817,0.17348573,137390
0.45204028,1.3384057,0.17837265,142416
0.5002986,1.3817772,0.18936823,147400
0.56321776,1.4196508,0.19914207,152404
0.6426302,1.4477507,0.21380283,157409
0.7318166,1.4691309,0.22785273,162403
0.8246681,1.500285,0.24251351,167389
0.93767816,1.5705346,0.23518312,172393
0.9914343,1.6420058,0.21197024,177398
1.0384709,1.6841555,0.20463985,182425
1.0690142,1.6951511,0.22418754,187408
1.0793989,1.6719382,0.25961772,192382
1.0616838,1.6377298,0.29016098,197387
1.0207558,1.5937474,0.31581733,202414
0.9633345,1.5577064,0.3323107,207397
0.8949176,1.5387696,0.33475417,212402
0.8191703,1.5314392,0.33292156,217407
0.689056,1.5332718,0.3286455,222433
0.589485,1.5424347,0.32742378,227386
0.48624873,1.5467108,0.3213151,232391
0.3848451,1.5088371,0.2932153,237396
0.3023783,1.4715744,0.25473082,242422
0.21930063,1.4990633,0.2003638,247406
0.15760323,1.4648548,0.16615535,252410
0.10934488,1.4251486,0.14721853,257385
0.06963864,1.3878858,0.12156218,262411
0.03970624,1.3249667,0.09896017,267395
0.004276057,1.1856894,0.056199603,272400
-0.014049901,1.0965031,0.028099801,277405
-0.026267206,0.9602802,0.010995574,282431
-0.03176499,0.7733554,0.0061086523,287384
-0.023823744,0.5705481,0.002443461,292389
-0.002443461,0.37384954,-6.1086525E-4,297393
0.026267206,0.19792034,-0.008552114,302420
0.056199603,0.03604105,-0.020158553,307403
0.084910266,-0.12339478,-0.031154128,312408
0.103847094,-0.2742785,-0.0421497,317382
0.10995574,-0.4129449,-0.054367006,322409
0.07819075,-0.56688297,-0.081855945,327392
0.036651913,-0.6462954,-0.09468412,332397
-0.014660766,-0.70616025,-0.09896017,337402
-0.077579886,-0.75441855,-0.09468412,342428
-0.14905111,-0.784351,-0.0842994,347412
-0.22296582,-0.8032878,-0.07086037,352386
-0.3036,-0.81489426,-0.05681047,357391
-0.38362336,-0.8216137,-0.04886922,362417
-0.4642576,-0.8173377,-0.047036625,367401
-0.5412266,-0.8155051,-0.051923547,372406
-0.6414085,-0.82711154,-0.06780604,377410
-0.6835582,-0.8393288,-0.086132,382406
-0.70554936,-0.8546005,-0.11178834,387390
-0.70188415,-0.870483,-0.13927728,392395
-0.6627888,-0.87964594,-0.17104226,397400
-0.59620446,-0.8668178,-0.20830505,402426
-0.5027421,-0.8185594,-0.24312437,407410
-0.3885103,-0.7415904,-0.26816985,412384
-0.26816985,-0.6462954,-0.28527406,417389
-0.15149458,-0.5534439,-0.29077184,422415
-0.0012217305,-0.45631635,-0.2742785,427398
0.07086037,-0.4288274,-0.24862215,432403
0.11728613,-0.4343252,-0.22174409,437408
0.14477506,-0.46486846,-0.19120082,442404
0.15515977,-0.50823987,-0.15943582,447388
0.15088372,-0.56138515,-0.13927728,452392
0.12583824,-0.6224717,-0.12644911,457397
0.0842994,-0.68539083,-0.13072516,462423
0.031154128,-0.7263188,-0.13683382,467407
-0.029321533,-0.7324274,-0.14905111,472412
-0.1160644,-0.6963864,-0.16187929,477386
-0.1685988,-0.6609562,-0.16798794,482413
-0.21074851,-0.6218608,-0.17470746,487396
-0.24617869,-0.56199604,-0.17898351,492401
-0.26816985,-0.47952923,-0.18081611,497406
-0.27488935,-0.38240165,-0.1740966,502432
-0.2602286,-0.2938262,-0.15821409,507385
-0.23151793,-0.21991149,-0.14110987,512390
-0.19120082,-0.1459968,-0.12156218,517395
-0.14721853,-0.065973446,-0.10323623,522421
-0.073303826,0.080634214,-0.07452556,527405
-0.029932396,0.18753563,-0.058643065,532409
0.004276057,0.28771752,-0.04337143,537384
0.020158553,0.3726278,-0.03359759,542410
0.023823744,0.4288274,-0.025045475,547394
0.018325957,0.4447099,-0.016493361,552398
0.018325957,0.42149702,-0.013439035,557403
0.053145275,0.5009095,-0.029321533,562430
0.058643065,0.42149702,-0.054367006,567383
0.018936822,0.17654006,-0.06841691,572387
-0.016493361,-0.1459968,-0.045814894,577392
-0.043982297,-0.53023106,0.02076942,582418
