x,y,z,timestamp
0.2602286,0.3494149,0.16615535,1440
0.35430184,0.34697145,0.17592919,6465
0.45204028,0.33964106,0.18509217,11419
0.5522222,0.31703907,0.19303341,16424
0.65301496,0.2938262,0.20097467,21429
0.81122905,0.26450464,0.21502456,26453
0.91996306,0.27000242,0.22785273,31439
1.0268645,0.30482176,0.24495697,36444
1.133155,0.36468655,0.25717425,41418
1.2266175,0.43982297,0.2669481,46442
1.3139712,0.51068336,0.27122417,51428
1.3909402,0.5723807,0.2724459,56432
1.4514158,0.63346726,0.26633725,61437
1.4905112,0.68844515,0.2565634,66462
1.5063937,0.73426,0.23945917,71417
1.4795157,0.77824235,0.20647246,76422
1.4318681,0.784351,0.18020524,81427
1.3585643,0.77763146,0.16310102,86451
1.2632693,0.7825184,0.14477506,91436
1.1563679,0.8014552,0.12583824,96441
1.0476339,0.8246681,0.11301007,101416
0.9425651,0.8552113,0.10567969,106440
0.8454375,0.8863655,0.1001819,111425
0.7641924,0.9071349,0.09407325,116430
0.6988298,0.94134337,0.08979719,121435
0.62980205,1.0549643,0.08002335,126459
0.59620446,1.138042,0.07147124,131445
0.5729916,1.201572,0.06658431,136419
0.56321776,1.2308935,0.06536258,141424
0.5717699,1.2394456,0.076358154,146448
0.59864795,1.2479976,0.1001819,151434
0.6401868,1.2803736,0.13316862,156439
0.6908886,1.3127494,0.17348573,161444
0.7452556,1.3304645,0.21502456,166437
0.79901177,1.3170254,0.25900686,171423
0.852157,1.278541,0.29932398,176428
0.9193522,1.2211196,0.35246924,181432
0.95722586,1.1808025,0.3811799,186457
0.99204516,1.1209377,0.40866885,191442
1.0238101,1.061073,0.42455134,196417
1.0519099,1.0183123,0.43004912,201422
1.078788,1.0134255,0.42821655,206446
1.0922271,1.0543534,0.41355577,211431
1.0916162,1.1252137,0.39706242,216436
1.0677924,1.1899655,0.38056904,221441
1.0274754,1.2363913,0.36835176,226435
0.9468411,1.2803736,0.37018433,231420
0.87964594,1.3035865,0.37934732,236425
0.81245077,1.3304645,0.39278635,241430
0.7415904,1.3591752,0.40744713,246456
0.66645396,1.3665055,0.41538838,251440
0.593761,1.3439035,0.4184427,256445
0.4978552,1.4159856,0.40866885,261419
0.38056904,1.4789047,0.4111123,266448
0.2724459,1.3292428,0.43554693,271429
0.17898351,1.0622946,0.47219884,276434
0.05681047,0.7049385,0.5235115,281439
-6.1086525E-4,0.5235115,0.53023106,286467
-0.027488936,0.36774087,0.5155703,291418
-0.016493361,0.22540927,0.4905248,296423
0.029932396,0.103847094,0.4642576,301428
0.10140363,0.032986723,0.43310347,306455
0.18997909,0.018936822,0.40500367,311438
0.2828306,0.0580322,0.38240165,316442
0.36896262,0.12889257,0.3622431,321417
0.44165558,0.2125811,0.3494149,326443
0.5002986,0.29260445,0.34330627,331427
0.5161811,0.2742785,0.35308012,336431
0.5222898,0.21563543,0.3726278,341436
0.5296202,0.13927728,0.40378192,346463
0.54550266,0.086132,0.43554693,351416
0.5589417,0.089186326,0.4605924,356420
0.5717699,0.14294247,0.47342056,361425
0.57360244,0.23457226,0.47708577,366452
0.5674938,0.34513888,0.47586402,371435
0.5467244,0.46120325,0.47403142,376440
0.5002986,0.6249151,0.4728097,381445
0.45998153,0.72387534,0.47219884,386441
0.41783184,0.806953,0.47525316,391424
0.3830125,0.8857546,0.47219884,396429
0.34880406,0.9584476,0.46120325,401434
0.32803464,1.0231993,0.44898596,406460
0.31581733,1.1166617,0.44593164,411444
0.31031954,1.2253957,0.44593164,416418
0.31398472,1.3109168,0.44776422,421423
0.32559118,1.3805555,0.453262,426449
0.3378085,1.4532484,0.45875978,431433
0.35185838,1.5656476,0.4746423,436438
0.35430184,1.6267341,0.48747048,441443
0.35308012,1.6762142,0.5045747,446438
0.34513888,1.7159204,0.5198463,451422
0.3371976,1.7397442,0.5320636,456427
0.33108896,1.7342464,0.52778757,461431
0.32803464,1.6969837,0.50885075,466458
0.33841935,1.6737708,0.48197266,471441
0.3707952,1.6804903,0.47403142,476415
0.40439278,1.6920967,0.45937067,481420
0.46792278,1.7269161,0.45875978,486447
0.50579643,1.745242,0.4642576,491430
0.5320636,1.7513506,0.44104472,496435
0.5497787,1.7757853,0.41599923,501440
0.5656612,1.8252654,0.4111123,506467
0.5674938,1.8741345,0.41783184,511419
0.5510005,1.9016235,0.4184427,516424
0.52534413,1.9101756,0.40500367,521429
0.49602258,1.8930714,0.35796702,526455
0.4886922,1.930945,0.34147367,531439
0.49357912,2.003638,0.36774087,536444
0.48808134,1.9969184,0.35185838,541418
0.49174652,1.9706513,0.32620203,546447
0.5027421,1.9840903,0.33841935,551428
0.50518554,1.9895881,0.3585779,556432
0.48258355,1.9486601,0.30543262,561437
0.4569272,1.9052887,0.23090707,566462
0.4269948,1.8295414,0.15760323,571417
0.398895,1.7574593,0.081855945,576422
0.36102137,1.7067575,0.004276057,581427
0.08552113,1.9498819,-0.099571034,586453
-0.21197024,1.9828686,-0.08368854,591465
-0.4147775,1.6249015,-0.03604105,596441
-0.5369505,1.1887437,0.009162978,601416
-0.589485,0.829555,0.05131268,606442
-0.5564982,0.5119051,0.055588737,611425
-0.45081854,0.204029,-0.004886922,616430
-0.30543262,-0.09773844,-0.11484267,621435
-0.15821409,-0.36774087,-0.226631,626462
-0.03970624,-0.59315014,-0.31581733,631445
0.08124508,-0.8735373,-0.38423425,636419
0.1142318,-1.024421,-0.47769663,641424
0.10629055,-1.1441506,-0.53878313,646451
0.059253927,-1.2437216,-0.5882632,651434
-0.02076942,-1.3286319,-0.6236934,656439
-0.12950343,-1.400714,-0.643852,661444
-0.26083946,-1.4587462,-0.65240407,666440
-0.408058,-1.5125023,-0.6585127,671423
-0.5693264,-1.5583172,-0.6609562,676428
-0.73364913,-1.6016886,-0.66828656,681432
-0.89736104,-1.6438384,-0.68416905,686459
-1.1325442,-1.7153096,-0.73548174,691442
-1.2815952,-1.781894,-0.78801614,696417
-1.4147639,-1.8655825,-0.85154617,701422
-1.5271631,-1.954158,-0.91629785,706448
-1.613906,-2.0482311,-0.97433007,711431
-1.6749926,-2.1533,-1.0262536,716436
-1.7122552,-2.262034,-1.069625,721441
-1.7269161,-2.375655,-1.1032226,726437
-1.7232509,-2.4966063,-1.1258247,731420
-1.7104226,-2.6218336,-1.1582005,736425
-1.6835446,-2.7458394,-1.237613,741430
-1.6756034,-2.7812696,-1.3023647,746457
-1.6737708,-2.7995954,-1.3738359,751440
-1.6786577,-2.8130345,-1.4361442,756445
-1.690875,-2.8252518,-1.4856243,761419
-1.7055358,-2.8344147,-1.5149459,766446
-1.7238617,-2.8490756,-1.5234979,771429
-1.7440202,-2.8710666,-1.5198327,776434
-1.758681,-2.9083295,-1.5063937,781439
-1.7660115,-2.9547553,-1.4844025,786463
-1.7599027,-3.041498,-1.4373659,791418
-1.7440202,-3.104417,-1.3994923,796423
-1.7171422,-3.1557298,-1.3451253,801428
-1.6719382,-3.1795535,-1.2687671,806452
-1.599856,-3.150843,-1.1771374,811437
-1.509448,-3.0616567,-1.0781772,816442
-1.3982705,-2.9248228,-0.99204516,821417
-1.2651019,-2.7623327,-0.915687,826441
-1.1166617,-2.588236,-0.84971356,831427
-0.956615,-2.4110851,-0.79412484,836431
-0.7141015,-2.1465805,-0.7171558,841436
-0.56382865,-1.9932534,-0.65118235,846461
-0.43310347,-1.840537,-0.61453044,851416
-0.33292156,-1.7232509,-0.59681535,856420
-0.26816985,-1.600467,-0.5888741,861425
-0.26450464,-1.4110987,-0.57910025,866450
-0.31581733,-1.1905763,-0.5699373,871435
-0.37384954,-1.0164797,-0.54611355,876440
-0.4202753,-0.9034697,-0.5021312,881445
-0.4569272,-0.82650065,-0.44104472,886439
-0.5332854,-0.74097955,-0.3830125,891424
-0.59498274,-0.68783426,-0.3200934,896429
-0.64934975,-0.6261369,-0.29993483,901434
-0.6914995,-0.5558874,-0.28771752,906458
-0.72509706,-0.47952923,-0.2864958,911444
-0.75625116,-0.40866885,-0.2919936,916418
-0.79168135,-0.33658674,-0.3023783,921423
-0.820392,-0.2773328,-0.30787608,926447
-0.82527894,-0.24984388,-0.30298916,931433
-0.80573124,-0.24984388,-0.2883284,936437
-0.7556403,-0.27916542,-0.25595254,941443
-0.6395759,-0.3036,-0.20097467,946436
-0.5467244,-0.25473082,-0.17470746,951422
-0.45448375,-0.1863139,-0.16249016,956427
-0.3652974,-0.1282817,-0.15332718,961431
-0.2883284,-0.08735373,-0.15393804,966456
-0.21685717,-0.059253927,-0.14721853,971441
-0.15577064,-0.022602014,-0.13439035,976415
-0.1020145,0.026267206,-0.11178834,981420
-0.059864793,0.062308256,-0.080634214,986445
-0.017104227,0.06963864,-0.03604105,991430
0.03176499,0.06291912,0.04153884,996435
0.05497787,0.06414085,0.095294975,1001440
0.076358154,0.076358154,0.14477506,1006464
0.09590584,0.08735373,0.18997909,1011419
0.106901415,0.09101892,0.22479841,1016424
0.108123146,0.07880162,0.24862215,1021429
0.10629055,0.05497787,0.267559,1026454
0.09896017,0.027488936,0.28527406,1031439
0.14172074,0.004886922,0.30298916,1036444
0.2510656,-0.05681047,0.3036,1041418
0.2919936,-0.29565877,0.2938262,1046442
0.23762658,-0.45753807,0.30298916,1051428
0.15821409,-0.5271767,0.30543262,1056433
0.06719518,-0.516792,0.29138273,1061437
-0.025045475,-0.48563787,0.26939157,1066462
-0.10140363,-0.43982297,0.24678956,1071417
-0.16126843,-0.36713,0.22418754,1076422
-0.20280726,-0.2706133,0.20341812,1081427
-0.22968534,-0.17470746,0.19242255,1086451
-0.24190263,-0.09773844,0.18753563,1091436
-0.23884831,-0.05375614,0.19547687,1096441
-0.21930063,-0.07696902,0.20158553,1101416
-0.18936823,-0.13072516,0.19547687,1106440
-0.14966199,-0.19914207,0.17715092,1111425
-0.096516706,-0.27122417,0.14905111,1116430
-0.039095376,-0.34391713,0.116675265,1121435
0.018936822,-0.41538838,0.08368854,1126459
0.07574729,-0.47708577,0.05375614,1131445
