x,y,z,timestamp
0.26511553,-0.33536503,0.37507126,4992
0.2602286,-0.36896262,0.37384954,9997
0.24495697,-0.39461896,0.36163223,15023
0.21502456,-0.43799037,0.3408628,19976
0.18448131,-0.49174652,0.3182608,24981
0.16249016,-0.49480084,0.2883284,29986
0.14477506,-0.43554693,0.27183503,35012
0.12583824,-0.3933972,0.28527406,39996
0.099571034,-0.4783075,0.3115413,45001
0.062308256,-0.5919284,0.35430184,50005
0.06169739,-0.5882632,0.37140608,55001
0.086132,-0.5516113,0.3830125,59985
0.12767084,-0.5161811,0.37384954,64990
0.17959438,-0.4868596,0.35613444,69994
0.22785273,-0.4728097,0.32803464,75021
0.27122417,-0.45020768,0.28710666,80004
0.31520647,-0.41172317,0.24862215,84979
0.35308012,-0.3652974,0.21319197,89983
0.39461896,-0.31948254,0.19058995,95010
0.45448375,-0.2761111,0.18570304,99993
0.48258355,-0.25778514,0.20097467,104998
0.49357912,-0.23151793,0.22052236,110003
0.48441613,-0.19425514,0.23273966,114999
0.45937067,-0.16432275,0.24617869,119982
0.43493605,-0.1704314,0.25778514,124987
0.42821655,-0.20952678,0.2669481,129992
0.44104472,-0.2443461,0.26633725,135019
0.47952923,-0.23884831,0.25350907,140002
0.54183745,-0.19242255,0.23090707,144976
0.6188065,-0.11728613,0.19730948,149981
0.75808376,0.028710667,0.13316862,155008
0.8527679,0.16920967,0.08674286,159991
0.94134337,0.3359759,0.049480084,164996
1.0103711,0.48624873,0.023823744,170001
1.0500773,0.61269784,0.017104227,175028
1.0635164,0.72082096,0.015271631,179980
1.042747,0.8032878,0.019547688,184985
1.0030408,0.8741482,0.032986723,189990
0.9450085,0.9651671,0.04642576,195017
0.87598073,1.0531317,0.06352998,199999
0.75869465,1.1582005,0.106901415,205004
0.68294734,1.2052372,0.20280726,209979
0.5919284,1.310306,0.29871312,215005
0.4972443,1.4874569,0.38789943,219989
0.43676865,1.7525724,0.45753807,224993
0.38545597,1.9511036,0.5015204,229998
0.3323107,2.0647244,0.5143485,235025
0.29016098,2.0971005,0.49235737,239977
0.24862215,2.067168,0.45875978,244982
0.21013765,1.9999728,0.41783184,249987
0.18509217,1.8741345,0.36468655,255014
0.21197024,1.7800614,0.32742378,259997
0.25350907,1.7623463,0.29993483,265002
0.3200934,1.7330247,0.2779437,269976
0.40439278,1.6963727,0.25900686,275003
0.5027421,1.6884315,0.24495697,279986
0.61086524,1.7079792,0.24007004,284991
0.72265357,1.740966,0.25045475,289996
0.8344419,1.7605137,0.27183503,295022
0.93523467,1.7623463,0.29871312,300006
1.0482447,1.7379116,0.33964106,304980
