x,y,z,timestamp
0.79779,-0.089186326,0.15882497,1747
0.9682214,-0.14049901,0.14721853,6721
1.1869112,-0.15454891,0.1386664,11746
1.310306,-0.15943582,0.14966199,16731
1.4117095,-0.14844026,0.1685988,21736
1.4886786,-0.09896017,0.18509217,26740
1.5485435,-0.02687807,0.19242255,31765
1.5974126,0.073303826,0.19120082,36720
1.6334536,0.20708331,0.18692477,41725
1.6530013,0.35979962,0.17531833,46729
1.6554449,0.5186246,0.16065755,51754
1.6401732,0.68539083,0.14782938,56739
1.5974126,0.90285885,0.13988814,61744
1.5448782,1.033584,0.12339478,66749
1.4850134,1.16492,0.11178834,71745
1.4196508,1.3011429,0.106901415,76728
1.3432927,1.428203,0.112399206,81733
1.2626585,1.5302174,0.12950343,86738
1.1808025,1.6279559,0.15699236,91765
1.0940597,1.7513506,0.18875736,96748
1.0158689,1.9187278,0.21930063,101722
0.9505063,2.0916026,0.25045475,106727
0.88208944,2.320677,0.30604348,111754
0.85154617,2.443461,0.34391713,116737
0.82711154,2.5369234,0.37812558,121742
0.80939645,2.58396,0.40866885,126747
0.8051204,2.574186,0.43676865,131742
0.816116,2.5124888,0.47708577,136726
0.8503244,2.3774874,0.5381723,141731
0.9059132,2.2455406,0.60903263,146736
0.98899084,2.1416936,0.6762278,151760
1.0952814,1.9895881,0.7257079,156745
1.3060299,1.7611245,0.75441855,161720
1.4666874,1.6945401,0.73364913,166725
1.627345,1.6890424,0.6951646,171749
1.7721201,1.7299703,0.6432411,176734
1.8875736,1.7592919,0.5925393,181739
1.9639318,1.7531832,0.5534439,186744
1.9975294,1.7318029,0.5375614,191770
1.9773707,1.6994271,0.54367006,196724
1.9077321,1.6927075,0.5681047,201728
1.7873917,1.7348573,0.59864795,206733
1.5283848,1.8704693,0.63163465,211757
1.3225232,1.9895881,0.6249151,216743
1.1038336,2.1184807,0.5992588,221748
0.8881981,2.2156084,0.5571091,226722
0.6908886,2.2565362,0.5149594,231746
0.52412236,2.238821,0.46975538,236732
0.39400807,2.185065,0.42149702,241737
0.30909783,2.035403,0.35430184,246742
0.2864958,1.8466456,0.27672195,251768
0.32375857,1.7403551,0.20952678,256721
0.38973203,1.6450601,0.15882497,261726
0.5039638,1.4306464,0.124005646,266731
0.57726765,1.246776,0.1282817,271757
0.64812803,1.0665708,0.14172074,276740
0.71959925,0.88147855,0.15760323,281745
0.788627,0.73914695,0.18692477,286720
0.84238315,0.6261369,0.22785273,291746
0.8900307,0.50762904,0.28099802,296729
0.9266826,0.4147775,0.34391713,301734
0.9584476,0.3371976,0.4025602,306739
0.98471475,0.28588495,0.4538729,311768
1.006095,0.29932398,0.50640726,316749
1.0085385,0.32620203,0.52534413,321724
1.0073168,0.3475823,0.5320636,326728
1.0067059,0.37568212,0.5326745,331755
1.0085385,0.41722095,0.52595496,336738
1.0128145,0.46792278,0.5235115,341743
1.0067059,0.516792,0.52839845,346748
0.9957104,0.5540548,0.54183745,351744
0.97005403,0.58276546,0.5552765,356727
0.9425651,0.58093286,0.5491679,361688
0.8961393,0.55955255,0.52412236,366798
0.8454375,0.6243043,0.51007247,371729
0.752586,0.70432764,0.4886922,376808
0.6188065,0.7098254,0.47891834,381721
0.46853364,0.6249151,0.4746423,386726
0.3304781,0.4886922,0.46303585,391750
0.22785273,0.344528,0.44348818,396736
0.16737708,0.20830505,0.4196644,401741
0.14660765,0.06780604,0.38606682,406745
0.14782938,-0.07696902,0.33841935,411739
0.16126843,-0.27000242,0.24923302,416725
0.15454891,-0.35002577,0.18570304,421729
0.12644911,-0.38423425,0.13255776,426734
0.07452556,-0.38545597,0.08857546,431759
0.007941248,-0.37384954,0.053145275,436744
-0.065973446,-0.3475823,0.025045475,441749
-0.13805555,-0.30787608,0.004276057,446724
-0.19914207,-0.25778514,-0.005497787,451748
-0.24495697,-0.20891592,-0.015271631,456733
-0.27183503,-0.16371189,-0.021380283,461738
-0.27672195,-0.103847094,-0.035430185,466743
-0.26816985,-0.100792766,-0.032986723,471769
-0.23762658,-0.10262536,-0.028099801,476722
-0.19486602,-0.1020145,-0.02565634,481727
-0.1441642,-0.10751228,-0.027488936,486732
-0.09712757,-0.122783914,-0.02687807,491758
-0.05681047,-0.14660765,-0.018936822,496742
-0.029932396,-0.17287487,-0.0036651916,501747
-0.009773844,-0.19303341,0.014660766,506721
-0.0018325958,-0.20097467,0.032986723,511747
-0.0036651916,-0.20219639,0.047647487,516731
-0.022602014,-0.19608775,0.06047566,521736
-0.03970624,-0.19730948,0.059864793,526741
-0.059253927,-0.19303341,0.051923547,531765
-0.07696902,-0.18387043,0.039095376,536720
-0.09468412,-0.16982053,0.016493361,541725
-0.108123146,-0.15943582,-0.0061086523,546729
-0.11178834,-0.15027285,-0.03176499,551756
-0.11178834,-0.14110987,-0.054367006,556770
-0.100792766,-0.12705997,-0.07880162,561744
-0.0842994,-0.10262536,-0.100792766,566749
-0.053145275,-0.054367006,-0.12644911,571745
-0.031154128,-0.02687807,-0.13316862,576728
-0.01160644,-0.0018325958,-0.13439035,581733
0.007941248,0.020158553,-0.1301143,586738
0.02565634,0.039095376,-0.115453534,591764
0.037873644,0.05131268,-0.093462385,596748
0.05497787,0.05131268,-0.062308256,601722
0.07941248,0.05375614,-0.028710667,606727
0.10995574,0.070249505,0.0036651916,611753
0.14966199,0.09040806,0.03726278,616737
0.21380283,0.092240654,0.080634214,621742
0.2602286,0.09285152,0.100792766,626747
0.30604348,0.100792766,0.116675265,631742
0.34574974,0.10934488,0.1301143,636726
0.37140608,0.10873401,0.1423316,641731
0.38423425,0.1001819,0.15332718,646736
0.3848451,0.09468412,0.16187929,651762
0.37873647,0.09773844,0.1685988,656745
0.36651915,0.112399206,0.172264,661720
0.34513888,0.1337795,0.1740966,666725
0.29138273,0.204029,0.16554448,671749
0.19181168,0.32986724,0.1459968,676734
0.044593163,0.4269948,0.1386664,681739
-0.10934488,0.42577308,0.13683382,686744
-0.24190263,0.35246924,0.12767084,691768
-0.31337386,0.25961772,0.108123146,696723
-0.33536503,0.17837265,0.081855945,701728
