x,y,z,timestamp
0.51251596,0.27855456,0.34391713,659
0.6951646,0.16737708,0.408058,5664
0.86926126,0.05497787,0.46975538,10688
1.0238101,-0.039095376,0.5143485,15644
1.1484267,-0.092240654,0.5308419,20648
1.237613,-0.106901415,0.5198463,25653
1.2895365,-0.08246681,0.48930305,30678
1.3048081,-0.049480084,0.45142943,35663
1.2950343,-0.02076942,0.40622538,40668
1.2541064,0.08002335,0.3475823,45642
1.2076806,0.20219639,0.3145956,50669
1.1435398,0.33108896,0.28038713,55652
1.0592403,0.45265114,0.24862215,60657
0.9602802,0.5479461,0.21868975,65662
0.84421575,0.61208695,0.19486602,70689
0.72265357,0.65484756,0.17898351,75672
0.59681535,0.68600166,0.1704314,80646
0.4746423,0.7067711,0.16065755,85651
0.36285394,0.71837753,0.14966199,90677
0.22785273,0.7104363,0.13194689,95661
0.16432275,0.6872234,0.11484267,100665
0.11911872,0.6603453,0.092240654,105670
0.0983493,0.6243043,0.073303826,110666
0.09773844,0.57787853,0.058643065,115650
0.10995574,0.54305923,0.029932396,120655
0.13255776,0.5369505,-0.004886922,125659
0.1881465,0.50518554,-0.025045475,130686
0.25778514,0.46914452,-0.023823744,135669
0.3408628,0.4111123,6.1086525E-4,140644
0.46486846,0.34269542,0.058643065,145648
0.535118,0.33964106,0.09407325,150675
0.5882632,0.3659083,0.12461651,155658
0.62796944,0.39767328,0.14538592,160663
0.65118235,0.42760566,0.16126843,165668
0.6603453,0.45570546,0.17470746,170664
0.65484756,0.48197266,0.19242255,175647
0.63591075,0.5155703,0.20463985,180652
0.602924,0.5687156,0.21135938,185657
0.5571091,0.6383542,0.20586158,190683
0.5039638,0.6743952,0.2144137,195667
0.47158796,0.6627888,0.22602014,200672
0.43371433,0.63713247,0.24251351,205646
0.38423425,0.6078109,0.24862215,210672
0.32620203,0.5852089,0.23884831,215656
0.258396,0.5748242,0.21197024,220661
0.18875736,0.5644395,0.17592919,225665
0.124005646,0.5497787,0.13988814,230692
0.06536258,0.5186246,0.10445796,235645
0.018325957,0.46975538,0.076358154,240650
-0.008552114,0.4166101,0.05009095,245655
-0.015882496,0.39645153,0.015882496,250681
6.1086525E-4,0.42210788,-6.1086525E-4,255664
0.03481932,0.462425,-0.013439035,260669
0.080634214,0.5131268,-0.013439035,265644
0.13316862,0.57787853,-0.0018325958,270670
0.19486602,0.6414085,0.02443461,275653
0.26939157,0.6743952,0.05375614,280658
0.321926,0.625526,0.077579886,285663
0.33475417,0.5119051,0.100792766,290689
0.3494149,0.3659083,0.13744467,295643
0.38056904,0.19242255,0.1881465,300647
0.39584067,0.1423316,0.21502456,305652
0.4025602,0.1386664,0.2284636,310678
0.4025602,0.16554448,0.21991149,315662
0.39950588,0.2125811,0.19853121,320667
0.39461896,0.28710666,0.172264,325672
0.39400807,0.39645153,0.14660765,330668
0.39584067,0.5357288,0.12705997,335651
0.39950588,0.6921103,0.108123146,340656
0.39706242,0.82650065,0.09040806,345661
0.37995818,0.93767816,0.07941248,350687
0.36163223,0.93828905,0.086132,355671
0.3359759,0.88697636,0.10445796,360645
0.31031954,0.8008443,0.13072516,365650
0.28221974,0.7079928,0.1563815,370676
0.25778514,0.6188065,0.18387043,375660
0.23518312,0.54305923,0.21197024,380664
0.21746802,0.4801401,0.23701571,385669
0.20280726,0.42943826,0.25473082,390665
0.18875736,0.38606682,0.267559,395648
0.17287487,0.3286455,0.2779437,400653
0.16920967,0.29871312,0.28221974,405658
0.18020524,0.28405234,0.28405234,410684
0.20219639,0.30176744,0.27977628,415668
0.23151793,0.35124752,0.26816985,420642
0.26511553,0.4092797,0.25167647,425647
0.30115658,0.46670106,0.24007004,430673
0.3390302,0.53023106,0.23335053,435657
0.37384954,0.61575216,0.2321288,440692
0.40378192,0.71959925,0.23640485,445667
0.42332962,0.8698721,0.24007004,450693
0.42577308,0.9443977,0.24190263,455646
0.41783184,1.0134255,0.2406809,460651
0.41233405,1.0751228,0.24251351,465656
0.40561453,1.1264355,0.24129178,470682
0.4007276,1.1575897,0.24373524,475666
0.39645153,1.1722504,0.2406809,480670
0.3921755,1.1655309,0.23945917,485645
0.3915646,1.1282681,0.23884831,490671
0.39461896,1.0647382,0.23518312,495655
0.39950588,0.9950995,0.226631,500659
0.41233405,0.8894198,0.20280726,505664
0.4184427,0.8167268,0.18387043,510691
0.42332962,0.73914695,0.16615535,515644
0.42821655,0.6640105,0.15149458,520648
0.43188173,0.59315014,0.1386664,525653
0.43860126,0.5186246,0.12522738,530680
0.45020768,0.45204028,0.108123146,535663
0.4642576,0.40622538,0.093462385,540668
0.48075095,0.37812558,0.081855945,545642
0.49602258,0.35796702,0.07574729,550669
0.5009095,0.33536503,0.076358154,555652
0.4972443,0.3323107,0.081855945,560657
0.48808134,0.3408628,0.096516706,565662
0.47525316,0.3549127,0.116675265,570688
0.45448375,0.3707952,0.13988814,575672
0.4373795,0.3866777,0.16126843,580646
0.42149702,0.39950588,0.17715092,585730
0.41233405,0.39950588,0.18875736,590757
0.41233405,0.3903429,0.19792034,595740
0.43188173,0.37995818,0.20830505,600745
0.4886922,0.40866885,0.22602014,605750
0.5314528,0.462425,0.2406809,610746
0.5699373,0.52656585,0.25717425,615729
0.5925393,0.59559363,0.27916542,620734
0.59864795,0.66889745,0.30176744,625739
0.5864306,0.7293731,0.321926,630765
0.56382865,0.76052725,0.3359759,635749
0.5320636,0.8063421,0.3494149,640723
0.48380527,0.8191703,0.3622431,645728
0.39950588,0.625526,0.3622431,650752
0.24617869,0.18753563,0.36285394,655738
0.16554448,-0.004886922,0.36651915,660743
0.084910266,-0.16798794,0.34697145,665747
-6.1086525E-4,-0.30482176,0.32375857,670741
-0.07880162,-0.35369098,0.2919936,675727
-0.1386664,-0.28893927,0.24312437,680732
-0.17287487,-0.16920967,0.17715092,685736
-0.19608775,-0.040927973,0.10140363,690763
-0.21746802,0.054367006,0.020158553,695746
