x,y,z,timestamp
0.52412236,0.1386664,0.14538592,2447
0.70249504,0.053145275,0.19058995,7422
0.8790351,-0.022602014,0.23945917,12427
1.0482447,-0.08674286,0.28893927,17451
1.2864822,-0.1423316,0.37690386,22436
1.4300356,-0.12705997,0.44165558,27441
1.5656476,-0.08979719,0.50701815,32446
1.6859881,-0.0067195175,0.5644395,37440
1.7898352,0.1282817,0.6065892,42425
1.8716911,0.29260445,0.62980205,47430
1.9205604,0.47342056,0.63713247,52435
1.9407189,0.6426302,0.63163465,57460
1.9419407,0.7837401,0.6273586,62445
1.8967366,0.9645562,0.59986967,67419
1.8154916,1.1979067,0.6151413,72424
1.758681,1.3151928,0.6627888,77450
1.6859881,1.4184291,0.7244862,82434
1.5839735,1.5167783,0.7861836,87439
1.4587462,1.6010778,0.82894415,92444
1.3096951,1.6878207,0.84604836,97470
1.1398746,1.785559,0.8356637,102423
0.9584476,1.8979583,0.8020661,107428
0.7715228,2.0708332,0.7440339,112433
0.5693264,2.3554964,0.66889745,117459
0.29810223,2.7550023,0.5742133,122442
0.15271631,2.9455922,0.5332854,127447
0.027488936,3.0885346,0.51007247,132422
-0.07269296,3.195436,0.50823987,137448
-0.15332718,3.2650747,0.51923543,142431
-0.20463985,3.3011158,0.54305923,147436
-0.21685717,3.3298264,0.5589417,152441
-0.19058995,3.3267722,0.5662721,157467
-0.12767084,3.2742376,0.5363397,162420
-0.03604105,3.2449162,0.49113566,167425
0.15882497,3.1392365,0.45204028,172430
0.3042109,3.0476067,0.4538729,177456
0.44409904,2.9174924,0.45631635,182440
0.5705481,2.7708848,0.45265114,187445
0.68233645,2.6028967,0.45081854,192419
0.77763146,2.3744333,0.44409904,197446
0.86437434,2.1337523,0.43493605,202429
0.9401216,1.9071213,0.41599923,207434
1.0067059,1.6927075,0.3933972,212439
1.0574077,1.5125023,0.3640757,217465
1.0946705,1.328021,0.30543262,222448
1.0781772,1.2559389,0.2657264,227423
1.0274754,1.1917981,0.22785273,232428
0.947452,1.1209377,0.19914207,237456
0.852157,1.0604621,0.17592919,242437
0.7519751,1.0268645,0.15699236,247442
0.6585127,1.0384709,0.14110987,252447
0.57543504,1.069625,0.124005646,257445
0.51251596,1.0940597,0.1160644,262427
0.4654793,1.0946705,0.11484267,267431
0.44043383,1.0855075,0.11301007,272436
0.44593164,1.024421,0.122783914,277465
0.47708577,0.9437868,0.13316862,282446
0.5290093,0.84788096,0.15088372,287420
0.59742624,0.7629707,0.17470746,292425
0.6750061,0.6914995,0.20158553,297454
0.7507534,0.61636305,0.226631,302435
0.8185594,0.54244834,0.25228736,307440
0.8729264,0.47708577,0.2779437,312445
0.915687,0.42638394,0.30604348,317443
0.9431759,0.38545597,0.33414328,322424
0.97494096,0.3475823,0.3744604,327429
0.9944886,0.35613444,0.39950588,332434
1.0085385,0.38362336,0.42271876,337462
1.0115929,0.4111123,0.43982297,342443
1.0012082,0.43799037,0.44959682,347448
0.9798279,0.47891834,0.4538729,352423
0.95294976,0.5338962,0.45265114,357449
0.9254609,0.59559363,0.44715336,362432
0.8918633,0.6579019,0.43249258,367437
0.85154617,0.72021013,0.42088616,372442
0.7825184,0.7825184,0.4007276,377469
0.72692966,0.8197812,0.37568212,382422
0.66523224,0.852157,0.35613444,387427
0.6096435,0.8698721,0.34697145,392432
0.56016344,0.89858276,0.3408628,397488
0.5186246,0.9108001,0.32803464,402441
0.48197266,0.9309586,0.3371976,407446
0.44104472,0.9266826,0.35308012,412420
0.40439278,0.8051204,0.29138273,417447
0.3885103,0.7244862,0.21563543,422430
0.4147775,0.63529986,0.172264,427435
0.42638394,0.54428095,0.16798794,432440
0.41905355,0.4007276,0.15027285,437464
0.3903429,0.27977628,0.12461651,442419
0.35124752,0.20708331,0.11362094,447424
0.29749137,0.1423316,0.10751228,452429
0.2284636,0.05009095,0.1001819,457455
0.15332718,-0.05681047,0.09040806,462439
0.09040806,-0.15149458,0.080634214,467444
0.040317107,-0.2144137,0.07819075,472448
