x,y,z,timestamp
0.18509217,0.20586158,-0.047036625,4641
0.29565877,0.15760323,-0.052534413,9626
0.40622538,0.124005646,-0.06169739,14631
0.5198463,0.089186326,-0.06658431,19605
0.6395759,0.06047566,-0.06719518,24630
0.8191703,0.054367006,-0.061086524,29615
0.9370673,0.08124508,-0.05497787,34620
1.0506883,0.12889257,-0.039095376,39625
1.1588113,0.18448131,-0.014049901,44650
1.2541064,0.23273966,0.017104227,49604
1.3335189,0.27550024,0.048258353,54609
1.3884968,0.3213151,0.07147124,59614
1.4165965,0.38789943,0.08124508,64641
1.4214834,0.48747048,0.076358154,69623
1.409877,0.5852089,0.062308256,74628
1.3848315,0.70249504,0.059253927,79633
1.368949,0.7696902,0.07147124,84630
1.3542882,0.86498517,0.092240654,89612
1.3267993,1.006095,0.10445796,94617
1.2791518,1.1722504,0.1160644,99622
1.2504412,1.3170254,0.14966199,104649
1.2321151,1.4379768,0.20708331,109632
1.2241739,1.5314392,0.2864958,114607
1.219287,1.6212363,0.37507126,119640
1.2070698,1.7336355,0.4550946,124638
1.1551461,1.9559906,0.5375614,129621
1.1026118,2.1105394,0.56199604,134626
1.0372492,2.2632558,0.56138515,139631
0.9663888,2.4129176,0.552833,144627
0.893085,2.5344799,0.5338962,149610
0.8332202,2.634662,0.5149594,154615
0.79290307,2.7214046,0.4990769,159620
0.7819075,2.806315,0.48991394,164646
0.7959574,2.8930578,0.4783075,169630
0.8246681,2.9712486,0.45937067,174604
0.8686504,3.019507,0.4111123,179609
0.8881981,2.9755247,0.3726278,184635
0.8979719,2.856406,0.33658674,189619
0.90224797,2.6780334,0.30482176,194623
0.9083566,2.430022,0.25961772,199628
0.93462384,2.1282544,0.18753563,204655
0.9810496,1.9144517,0.116675265,209608
1.0494665,1.8026633,0.087964594,214612
1.0922271,1.7006488,0.076358154,219617
1.1093313,1.5204436,0.05497787,224644
1.0903945,1.1972959,-0.007330383,229627
1.074512,1.0219775,-0.031154128,234632
1.056186,0.9211848,-0.039095376,239606
1.0329732,0.83260936,-0.03848451,244633
1.0042624,0.7489208,-0.043982297,249616
0.9761627,0.6774496,-0.04642576,254621
0.9486737,0.63407815,-0.03481932,259626
0.9211848,0.6035349,-0.021991149,264654
0.89552844,0.56077427,-0.0018325958,269605
0.883922,0.5186246,0.03481932,274610
0.8784242,0.48258355,0.0842994,279615
0.8857546,0.40622538,0.15515977,284644
0.90224797,0.35979962,0.20341812,289625
0.9279043,0.31764993,0.24617869,294630
0.9627236,0.29443705,0.29260445,299604
0.9969321,0.28405234,0.33108896,304630
1.029308,0.26511553,0.3549127,309614
1.0586295,0.24251351,0.36285394,314619
1.0891727,0.23823744,0.3652974,319623
1.1178834,0.25228736,0.37201694,324650
1.1435398,0.27305678,0.38240165,329633
