x,y,z,timestamp
-0.084910266,0.86620694,0.40133846,3095
-0.01282817,0.8185594,0.49113566,8099
0.06841691,0.7806858,0.5662721,13074
0.17348573,0.73975784,0.64934975,18098
0.30298916,0.70921457,0.7312057,23084
0.45142943,0.68600166,0.80878556,28089
0.61208695,0.6786713,0.87598073,33094
0.7837401,0.6921103,0.9279043,38119
0.9602802,0.7330383,0.9663888,43073
1.1276573,0.8063421,0.98715824,48078
1.2846496,0.9077458,0.98654735,53083
1.4630222,1.1191051,0.93401295,58107
1.5552629,1.237613,0.90102625,63092
1.6224581,1.3420709,0.8729264,68097
1.6658295,1.4123205,0.852157,73102
1.6853772,1.4373659,0.84299403,78096
1.6786577,1.4312572,0.84299403,83082
1.6438384,1.409877,0.84482664,88086
1.5803084,1.3970488,0.8436049,93091
1.4990633,1.41904,0.8338311,98118
1.4013249,1.4905112,0.8167268,103101
1.2443326,1.6175711,0.7819075,108075
1.1307116,1.6914859,0.75319684,113080
1.0085385,1.7519615,0.7281514,118107
0.88453287,1.8002199,0.7031059,123090
0.7635816,1.8490891,0.6762278,128095
0.64873886,1.9168952,0.6450737,133099
0.54367006,1.999362,0.61453044,138096
0.45814893,2.0934353,0.57971114,143079
0.39767328,2.1960607,0.5479461,148084
0.36957347,2.2779164,0.5186246,153089
0.38606682,2.361605,0.49602258,158115
0.4269948,2.4055874,0.49235737,163099
0.48502702,2.4471262,0.49113566,168073
0.5558874,2.4526238,0.5021312,173078
0.62980205,2.438574,0.5198463,178104
0.70249504,2.4135287,0.5381723,183087
0.7666359,2.3811526,0.5510005,188092
0.8142834,2.3432791,0.56077427,193097
0.84116143,2.3011293,0.5674938,198123
0.84604836,2.252871,0.5674938,203077
0.83016586,2.1997259,0.56505036,208081
0.7800749,2.0861049,0.5503896,213086
0.7348709,2.0018053,0.52839845,218143
0.6939429,1.9101756,0.49296826,223096
0.65301496,1.8203784,0.4428773,228101
0.61819565,1.7403551,0.3811799,233075
0.59131753,1.6597209,0.3109304,238102
0.56382865,1.5668694,0.24190263,243085
0.52839845,1.4679092,0.19303341,248090
0.48808134,1.3341297,0.15515977,253095
0.44593164,1.1844677,0.11484267,258121
0.32375857,0.95539325,0.020158553,263074
0.1777618,0.7287622,-0.042760566,268079
0.0842994,0.4343252,-0.09285152,273084
0.036651913,0.13927728,-0.14110987,278110
0.014660766,-0.10995574,-0.19120082,283094
0.0061086523,-0.2846632,-0.23151793,288098
0.009773844,-0.3885103,-0.25900686,293073
0.017715093,-0.42943826,-0.2779437,298099
0.02443461,-0.4428773,-0.28893927,303083
0.031154128,-0.47403142,-0.29565877,308087
0.029321533,-0.5479461,-0.30848694,313092
0.018936822,-0.59986967,-0.32375857,318119
-0.007941248,-0.643852,-0.34330627,323102
-0.049480084,-0.6805039,-0.3640757,328076
-0.103847094,-0.71959925,-0.37507126,333081
-0.172264,-0.7641924,-0.38056904,338106
-0.24923302,-0.8173377,-0.3744604,343091
-0.33169982,-0.870483,-0.36835176,348096
-0.4196644,-0.91996306,-0.36774087,353101
-0.5112942,-0.9627236,-0.3744604,358095
-0.64873886,-1.0103711,-0.3933972,363080
-0.7312057,-1.0329732,-0.40500367,368085
-0.8026769,-1.065349,-0.41905355,373090
-0.8503244,-1.1221595,-0.43066,378116
-0.86315256,-1.1899655,-0.43799037,383100
-0.8332202,-1.2296717,-0.44348818,388074
-0.75991637,-1.2272283,-0.44226643,393079
-0.65301496,-1.1777482,-0.43371433,398105
-0.5216789,-1.1001683,-0.41905355,403089
-0.38912117,-1.0005972,-0.39767328,408094
-0.20219639,-0.8558222,-0.35735616,413098
-0.0983493,-0.77396625,-0.31642818,418094
-0.012217305,-0.6969972,-0.27122417,423078
0.05375614,-0.6249151,-0.22113322,428083
0.09896017,-0.5479461,-0.1685988,433087
0.12522738,-0.46853364,-0.119729586,438114
0.13561209,-0.38545597,-0.07941248,443097
0.13133603,-0.30665436,-0.04642576,448102
0.11301007,-0.23273966,-0.018325957,453076
0.09101892,-0.17898351,0.0036651916,458103
0.06780604,-0.14905111,0.018936822,463086
0.03970624,-0.12583824,0.028710667,468091
0.03176499,-0.1142318,0.026267206,473096
0.03359759,-0.1142318,0.016493361,478122
0.0421497,-0.12522738,0.010995574,483075
0.059253927,-0.13072516,0.007941248,488080
0.073303826,-0.13072516,0.014660766,493085
0.087964594,-0.12705997,0.028710667,498111
0.1441642,-0.15577064,0.045814894,503095
0.1777618,-0.2773328,0.062308256,508100
0.13316862,-0.42455134,0.09101892,513074
0.06291912,-0.71593404,0.13439035,518100
-0.0036651916,-0.7812967,0.13988814,523084
-0.076358154,-0.7464773,0.13927728,528089
-0.13194689,-0.6542367,0.12889257,533094
-0.16737708,-0.5216789,0.10567969,538120
-0.17715092,-0.37995818,0.06963864,543073
-0.17287487,-0.24923302,0.019547688,548078
-0.15699236,-0.13744467,-0.03726278,553082
-0.1301143,-0.03848451,-0.089186326,558109
-0.09896017,0.050701816,-0.12705997,563092
-0.07147124,0.09468412,-0.1337795,568097
-0.08246681,0.1001819,-0.15760323,573102
-0.09712757,0.115453534,-0.1826487,578098
-0.10445796,0.12767084,-0.20280726,583081
-0.11056661,0.108123146,-0.21746802,588086
-0.11911872,0.031154128,-0.2284636,593091
-0.13561209,-0.09590584,-0.23884831,598118
-0.15393804,-0.25289822,-0.23823744,603101
-0.1777618,-0.41905355,-0.23273966,608075
-0.20158553,-0.57848936,-0.21868975,613080
-0.25167647,-0.7874053,-0.20525073,618106
-0.29810223,-0.9071349,-0.20158553,623090
-0.35002577,-1.0085385,-0.20769419,628095
-0.40561453,-1.0940597,-0.21685717,633100
-0.46731192,-1.1667526,-0.23640485,638095
-0.5271767,-1.2321151,-0.26083946,643079
-0.5888741,-1.2913691,-0.29138273,648084
-0.65057147,-1.3426818,-0.33108896,653089
-0.7067711,-1.3799446,-0.37384954,658115
-0.75869465,-1.3976597,-0.4202753,663099
-0.8173377,-1.4013249,-0.4886922,668073
-0.84116143,-1.3976597,-0.5332854,673078
-0.86132,-1.3878858,-0.57787853,678104
-0.8723156,-1.3756685,-0.6236934,683087
-0.8735373,-1.3603969,-0.66767573,688092
-0.8729264,-1.3426818,-0.7122689,693097
-0.8723156,-1.3274102,-0.7593055,698124
-0.8765916,-1.318858,-0.8020661,703076
-0.8894198,-1.3267993,-0.84421575,708081
-0.9108001,-1.350623,-0.87964594,713086
-0.9639453,-1.3970488,-0.91874135,718113
-1.0030408,-1.4239268,-0.9334021,723096
-1.0458013,-1.4398094,-0.9407325,728101
-1.0891727,-1.4312572,-0.9492846,733075
-1.128879,-1.3921618,-0.9578367,738102
-1.1636983,-1.3322971,-0.9682214,743085
-1.1869112,-1.2705997,-0.97494096,748090
-1.1972959,-1.2052372,-0.97127575,753095
-1.201572,-1.1368202,-0.95905846,758119
-1.196685,-1.0830641,-0.93951076,763074
-1.1844677,-1.0482447,-0.9114109,768079
-1.1527027,-1.0128145,-0.8588765,773084
-1.1258247,-0.9804387,-0.8197812,778108
-1.0995574,-0.93462384,-0.7855727,783094
-1.0684034,-0.8924741,-0.75319684,788098
-1.0305296,-0.8723156,-0.7287622,793073
-0.9822713,-0.870483,-0.7067711,798097
-0.9260717,-0.88025683,-0.68783426,803083
-0.86193085,-0.89369583,-0.6719518,808087
-0.79779,-0.9059132,-0.6579019,813092
-0.73548174,-0.9120218,-0.65057147,818116
-0.64568454,-0.89919364,-0.6401868,823102
-0.5900958,-0.8717047,-0.63713247,828076
-0.54305923,-0.83016586,-0.62980205,833081
-0.50701815,-0.7666359,-0.61758476,838106
-0.47708577,-0.68294734,-0.59559363,843091
-0.45020768,-0.57787853,-0.56077427,848096
-0.42821655,-0.4569272,-0.5161811,853101
-0.41172317,-0.3268129,-0.46975538,858095
-0.38973203,-0.18448131,-0.4251622,863080
-0.36957347,-0.064751714,-0.37323865,868085
-0.33108896,0.07941248,-0.28771752,873090
-0.3042109,0.16187929,-0.22174409,878114
-0.2761111,0.24312437,-0.15393804,883100
-0.2443461,0.31215215,-0.08857546,888074
-0.21074851,0.34330627,-0.02321288,893079
-0.17165314,0.33964106,0.04153884,898103
0.04153884,0.40439278,0.11056661,903089
0.43799037,0.42943826,0.14110987,908094
0.63224554,0.1704314,0.16187929,913098
0.7837401,-0.1600467,0.20586158,918092
0.8729264,-0.5119051,0.27305678,923078
0.86926126,-0.6450737,0.29871312,928082
0.8136725,-0.7556403,0.3109304,933087
0.7348709,-0.80939645,0.29993483,938112
0.6542367,-0.7611381,0.2742785,943097
0.5729916,-0.6133087,0.2406809,948102
0.47586402,-0.41722095,0.20280726,953076
0.3622431,-0.20830505,0.16249016,958103
0.22968534,-0.01038471,0.12156218,963086
0.086132,0.15760323,0.08735373,968091
-0.06291912,0.2883284,0.055588737,973096
-0.2602286,0.41905355,0.05497787,978123
-0.35246924,0.4813618,0.08124508,983075
-0.4025602,0.5204572,0.10934488,988080
-0.40683624,0.5137377,0.13133603,993085
-0.37690386,0.44409904,0.1459968,998109
-0.3145956,0.3213151,0.15699236,1003095
-0.22296582,0.16676621,0.17104226,1008099
-0.10995574,0.016493361,0.18997909,1013074
