x,y,z,timestamp
0.33353242,0.6151413,0.23396139,4840
0.36957347,0.66706485,0.23273966,10489
0.3933972,0.7318166,0.22418754,14850
0.40011674,0.81061816,0.21197024,19824
0.3933972,0.90285885,0.20463985,24829
0.37812558,1.0079277,0.19975294,29856
0.35430184,1.1374311,0.20280726,34839
0.32620203,1.2705997,0.21868975,39844
0.30115658,1.3891076,0.25045475,44818
0.26939157,1.5082263,0.3231477,50469
0.25167647,1.5577064,0.3622431,54828
0.22968534,1.6010778,0.3830125,59833
0.20647246,1.6542231,0.3903429,64838
0.18142697,1.7434094,0.38606682,69864
0.14660765,1.8796324,0.3659083,74848
0.108123146,1.998751,0.3378085,79822
0.07941248,2.0977113,0.31703907,84827
0.058643065,2.2247713,0.30298916,90220
0.0580322,2.2473733,0.30176744,94837
0.086132,2.2327125,0.30726522,99842
0.12522738,2.1875083,0.3182608,104847
0.18020524,2.111761,0.33108896,109842
0.24984388,2.021964,0.3390302,114826
0.3268129,1.9468275,0.34330627,119831
0.40317106,1.8771889,0.34391713,124836
0.47158796,1.8118263,0.34269542,130388
0.52412236,1.7293595,0.34147367,134845
0.55955255,1.6194037,0.33964106,139820
0.5748242,1.496009,0.33841935,144825
0.5681047,1.3072516,0.3390302,149851
0.5491679,1.1917981,0.34147367,154834
0.5174029,1.0769554,0.34391713,159839
0.47342056,0.9627236,0.34697145,164844
0.41905355,0.8533788,0.344528,170237
0.35735616,0.7458665,0.3359759,174854
0.30298916,0.5687156,0.33108896,179828
0.26145032,0.30176744,0.31031954,184833
0.2144137,0.022602014,0.27855456,189859
0.17165314,-0.21013765,0.2602286,194843
0.09285152,-0.43127087,0.25473082,199848
0.030543262,-0.49480084,0.24801129,204822
-0.028710667,-0.49174652,0.24556783,210625
-0.07941248,-0.43982297,0.24373524,214832
-0.12156218,-0.376293,0.2321288,219837
-0.15271631,-0.32070425,0.21319197,224842
-0.1740966,-0.28405234,0.17592919,229868
-0.1863139,-0.26816985,0.13072516,234821
-0.1966986,-0.28160888,0.076358154,239826
-0.19975294,-0.33353242,0.02687807,244831
-0.19486602,-0.44776422,-0.02443461,250254
-0.18509217,-0.54305923,-0.04337143,254840
-0.17104226,-0.64996064,-0.048258353,259845
-0.15088372,-0.77091193,-0.032986723,264820
-0.13561209,-0.8875872,-0.023823744,269846
-0.118507855,-0.99265605,-0.020158553,274829
-0.095294975,-1.0824533,-0.010995574,279834
-0.06291912,-1.1545353,-0.0030543262,284839
-0.02443461,-1.2168436,-6.1086525E-4,290260
0.015271631,-1.2748758,6.1086525E-4,294849
0.061086524,-1.3316863,-0.0067195175,299823
0.12889257,-1.3909402,-0.032986723,304828
0.18203785,-1.4074335,-0.05681047,309855
0.22968534,-1.4043792,-0.084910266,314838
0.27183503,-1.3854424,-0.11056661,319843
0.30787608,-1.35551,-0.1282817,324848
0.32742378,-1.319469,-0.14844026,330344
0.33169982,-1.2742649,-0.15882497,334857
0.32436943,-1.2272283,-0.16554448,339832
0.30176744,-1.178359,-0.16432275,344837
0.2687807,-1.1325442,-0.16187929,349863
0.20647246,-1.0690142,-0.15943582,354847
0.15760323,-1.0384709,-0.1600467,359821
0.10567969,-1.0152581,-0.16371189,364826
0.05497787,-0.9932669,-0.16676621,370568
0.009162978,-0.9578367,-0.17165314,374835
-0.029321533,-0.9059132,-0.172264,379840
-0.06047566,-0.8472701,-0.16798794,384845
-0.08552113,-0.784351,-0.15882497,389842
-0.10629055,-0.7141015,-0.14844026,394824
-0.12156218,-0.65057147,-0.13561209,399829
-0.14660765,-0.5516113,-0.11728613,404834
-0.16554448,-0.4813618,-0.10751228,410408
-0.18203785,-0.41172317,-0.09590584,414844
-0.18936823,-0.34269542,-0.08246681,419818
-0.18448131,-0.28588495,-0.065973446,424823
-0.16371189,-0.2406809,-0.043982297,429850
-0.13255776,-0.21746802,-0.016493361,434833
-0.09040806,-0.22174409,0.014049901,439838
-0.03970624,-0.24007004,0.047036625,444843
0.20341812,-0.33108896,0.087964594,450416
0.30298916,-0.42394048,0.09040806,454852
0.32436943,-0.57971114,0.10751228,459827
0.32436943,-0.7141015,0.119729586,464832
0.28160888,-0.79229224,0.12705997,469858
0.22052236,-0.8063421,0.12339478,474842
0.14966199,-0.73548174,0.11178834,479847
0.07269296,-0.62796944,0.08674286,484821
0.0,-0.51007247,0.053145275,490245
