x,y,z,timestamp
0.2932153,0.33536503,0.22724187,962
0.33169982,0.25534168,0.25289822,5967
0.36774087,0.16310102,0.26816985,10972
0.40133846,0.08124508,0.2742785,15966
0.43127087,0.017715093,0.2669481,20951
0.45020768,-0.02443461,0.24984388,25956
0.4569272,-0.051923547,0.22540927,30961
0.4569272,-0.076358154,0.204029,35986
0.44715336,-0.095294975,0.18570304,40971
0.44409904,-0.11056661,0.18020524,45945
0.4636467,-0.07147124,0.18875736,50950
0.4972443,0.018936822,0.20525073,55975
0.5448918,0.15821409,0.21930063,60959
0.6035349,0.32253686,0.23945917,65964
0.6713409,0.48747048,0.2602286,70969
0.74464476,0.6426302,0.29016098,75994
0.8258898,0.77518797,0.3323107,80948
0.9077458,0.88697636,0.3830125,85953
0.9932669,0.9822713,0.44348818,90959
1.0818423,1.0757337,0.50762904,95983
1.2076806,1.2205088,0.6041457,100968
1.2840388,1.2932017,0.66889745,105973
1.3518448,1.350623,0.7287622,110947
1.4056009,1.4049901,0.7874053,115972
1.4495832,1.4636332,0.8399397,120957
1.4782939,1.5430456,0.8881981,125962
1.4990633,1.6218473,0.92485,130967
1.5063937,1.6927075,0.9505063,135992
1.5033394,1.7519615,0.95539325,140946
1.4770721,1.8527542,0.9138544,145951
1.4385877,1.9517145,0.85154617,150956
1.4214834,1.9511036,0.8246681,155983
1.4062119,1.9150625,0.80878556,160966
1.387275,1.8680259,0.8020661,165971
1.3628404,1.8283197,0.79229224,170945
1.3298537,1.8020525,0.77091193,175972
1.2864822,1.8075503,0.74036866,180955
1.2247849,1.8655825,0.6921103,185959
1.1508701,1.9547688,0.63407815,190964
1.065349,2.0427334,0.5717699,195991
0.9285152,2.1355848,0.4868596,200974
0.84665924,2.175902,0.44715336,205948
0.77518797,2.2149973,0.4196644,210954
0.72143185,2.257758,0.40439278,215980
0.68416905,2.2907448,0.39584067,220963
0.66706485,2.3115141,0.39950588,225968
0.6627888,2.320677,0.4111123,230973
0.67073005,2.3273966,0.42577308,235968
0.6835582,2.3310618,0.44165558,240952
0.7012733,2.3115141,0.45875978,245957
0.74281216,2.2064452,0.45753807,250962
0.7678576,2.1563544,0.44837508,255988
0.79229224,2.103209,0.45448375,260972
0.8246681,1.971873,0.47525316,265946
0.8491027,1.8716911,0.49357912,270951
0.86193085,1.7965547,0.49357912,275977
0.8539896,1.7189748,0.47342056,280961
0.83260936,1.632232,0.43860126,285966
0.79412484,1.5137241,0.39461896,290971
0.7257079,1.382999,0.35063666,295964
0.5357288,1.2027937,0.31581733,300950
0.28038713,0.7079928,0.2761111,305955
0.15699236,0.3359759,0.24923302,310959
0.053145275,0.008552114,0.2125811,315984
-0.017104227,-0.22724187,0.16249016,320969
-0.043982297,-0.36041048,0.111177474,325974
-0.044593163,-0.40194935,0.064751714,330949
-0.02565634,-0.4025602,0.030543262,335975
0.004886922,-0.4007276,0.007941248,340958
0.029932396,-0.4092797,-0.015882496,345963
0.043982297,-0.43188173,-0.04886922,350968
0.040927973,-0.4813618,-0.115453534,355994
0.02076942,-0.5174029,-0.16371189,360947
-0.013439035,-0.55955255,-0.20341812,365952
-0.062308256,-0.6151413,-0.22968534,370957
-0.12583824,-0.68477994,-0.23823744,375983
-0.19975294,-0.7641924,-0.23396139,380967
-0.28160888,-0.8381071,-0.22296582,385972
-0.36835176,-0.9053023,-0.20219639,390946
-0.45753807,-0.960891,-0.1863139,395970
-0.54550266,-1.0085385,-0.17104226,400956
-0.66889745,-1.0922271,-0.15515977,405961
-0.7367035,-1.1863003,-0.14782938,410966
-0.7806858,-1.310306,-0.14966199,415992
-0.79229224,-1.4391985,-0.15577064,420945
-0.7703011,-1.5357152,-0.17654006,425950
-0.72082096,-1.5937474,-0.204029,430955
-0.64812803,-1.6053538,-0.23762658,435981
-0.56138515,-1.568702,-0.2687807,440964
-0.4654793,-1.4978416,-0.2919936,445969
-0.36835176,-1.4080443,-0.30848694,450974
-0.23579398,-1.2626585,-0.3182608,455970
-0.16249016,-1.1661417,-0.3145956,460953
-0.108123146,-1.0763446,-0.30543262,465958
-0.07391469,-0.9969321,-0.29260445,470963
-0.053145275,-0.93951076,-0.28893927,475989
-0.04886922,-0.88514376,-0.2919936,480973
-0.062308256,-0.8173377,-0.3036,485947
-0.086132,-0.7440339,-0.312763,490952
-0.12461651,-0.6640105,-0.312763,495979
-0.16798794,-0.57726765,-0.30482176,500962
-0.25289822,-0.45204028,-0.2932153,505967
-0.32253686,-0.3848451,-0.28405234,510972
-0.4025602,-0.3323107,-0.28771752,515967
-0.47891834,-0.28160888,-0.2950479,520951
-0.54550266,-0.22113322,-0.29443705,525956
-0.59986967,-0.14966199,-0.29138273,530961
-0.63163465,-0.080634214,-0.28099802,535987
-0.6401868,-0.028099801,-0.26389378,540971
-0.63041294,6.1086525E-4,-0.24373524,545945
-0.60048056,0.012217305,-0.2180789,550950
-0.5571091,0.008552114,-0.19364429,555976
-0.46792278,-0.021991149,-0.14538592,560959
-0.39522982,-0.05375614,-0.10629055,565964
-0.31337386,-0.08124508,-0.06658431,570969
-0.22724187,-0.100792766,-0.02687807,575996
-0.14477506,-0.111177474,0.01038471,580948
-0.07147124,-0.116675265,0.040317107,585953
-0.012217305,-0.124005646,0.06658431,590958
0.040317107,-0.1142318,0.08552113,595985
0.08368854,-0.029321533,0.087964594,600968
0.08552113,-0.040927973,0.08552113,605973
0.03481932,-0.19181168,0.09468412,610947
-0.010995574,-0.3023783,0.11056661,615974
-0.05131268,-0.3726278,0.12461651,620957
-0.08674286,-0.38973203,0.119729586,625962
-0.119729586,-0.3817908,0.09773844,630967
-0.14966199,-0.36713,0.06169739,635993
-0.17654006,-0.3494149,0.018325957,640946
-0.1966986,-0.31642818,-0.027488936,645951
-0.20830505,-0.24923302,-0.07696902,650956
-0.2125811,-0.16126843,-0.119729586,655982
-0.2321288,-0.05681047,-0.16737708,660966
-0.25717425,-0.028710667,-0.18509217,665971
-0.28160888,-0.036651913,-0.19303341,670945
-0.3042109,-0.06963864,-0.18997909,675971
-0.31887165,-0.11484267,-0.172264,680955
