x,y,z,timestamp
0.44776422,-0.2302962,0.18203785,4692
0.6261369,-0.27366763,0.2125811,9677
0.79901177,-0.28344148,0.22785273,14682
0.9560041,-0.27122417,0.22907446,19687
1.0873401,-0.2510656,0.22235495,24681
1.1869112,-0.226631,0.21197024,29666
1.2528846,-0.20097467,0.20097467,34671
1.2840388,-0.17531833,0.19181168,39676
1.2840388,-0.15149458,0.19120082,44701
1.2577715,-0.13805555,0.22724187,49685
1.1997393,-0.09468412,0.25900686,54660
1.0635164,0.004886922,0.2773328,59665
0.95233893,0.086132,0.2761111,64692
0.8350528,0.16493362,0.25595254,69674
0.7189884,0.2406809,0.22113322,74679
0.60903263,0.3371976,0.18325958,79684
0.4990769,0.453262,0.15332718,84711
0.38912117,0.57604593,0.11301007,89663
0.2779437,0.68600166,0.08002335,94668
0.17470746,0.7800749,0.04153884,99673
0.07696902,0.86132,0.014660766,104700
-0.05375614,0.99082345,-0.009773844,109683
-0.12034045,1.0952814,-0.048258353,114688
-0.1600467,1.1368202,-0.077579886,119662
-0.18142697,1.1404854,-0.080634214,124689
-0.17104226,1.1087204,-0.056199603,129672
-0.1423316,1.0531317,-0.018325957,134677
-0.1001819,0.9779953,0.020158553,139682
-0.04642576,0.8912524,0.057421334,144708
0.0012217305,0.79290307,0.106901415,149661
0.04520403,0.657291,0.15515977,154666
0.15577064,0.4709771,0.21685717,159671
0.32559118,0.32253686,0.23762658,164697
0.39828414,0.08857546,0.2321288,169680
0.40683624,-0.18020524,0.1966986,174685
0.3811799,-0.34880406,0.10995574,179660
0.30909783,-0.39278635,-0.007330383,184687
0.22052236,-0.32620203,-0.10873401,189669
0.13072516,-0.18875736,-0.17654006,194674
0.056199603,-0.044593163,-0.21135938,199679
-0.004276057,0.073303826,-0.22174409,204706
-0.069027774,0.23273966,-0.20830505,209689
-0.105068825,0.35246924,-0.1777618,214663
-0.1301143,0.46609017,-0.13316862,219668
-0.1459968,0.5558874,-0.086132,224695
-0.15271631,0.59498274,-0.043982297,229678
-0.14782938,0.5705481,-0.014049901,234683
-0.13194689,0.50823987,-0.0036651916,239688
-0.09896017,0.40622538,0.0012217305,244681
-0.06841691,0.3811799,0.012217305,249667
-0.03176499,0.37812558,0.045814894,254672
6.1086525E-4,0.36285394,0.0983493,259677
0.03848451,0.32803464,0.16982053,264702
0.061086524,0.33169982,0.18509217,269687
0.064751714,0.39461896,0.19058995,274661
0.05681047,0.5045747,0.19853121,279666
0.0421497,0.6597345,0.19181168,284691
0.02321288,0.81489426,0.19058995,289676
0.0,0.9627236,0.21746802,294680
-0.03359759,1.1111639,0.2706133,299686
-0.059864793,1.2620476,0.34697145,304681
-0.08246681,1.4068227,0.4392121,309665
-0.09896017,1.604743,0.57543504,314669
-0.087964594,1.7208074,0.6444628,319674
-0.0580322,1.8295414,0.6914995,324699
-0.01282817,1.9394971,0.7171558,329684
0.0421497,2.0775528,0.71776664,334689
0.093462385,2.180789,0.7086037,339664
0.1423316,2.2406538,0.7012733,344688
0.19303341,2.270586,0.6976081,349673
0.25350907,2.3047945,0.6951646,354678
0.3323107,2.3518312,0.6914995,359683
0.4636467,2.40742,0.6921103,364707
0.5467244,2.3970351,0.70921457,369662
0.6291912,2.3414464,0.7367035,374667
0.7147123,2.2944098,0.75441855,379672
0.8173377,2.2821925,0.75136423,384696
0.9315695,2.2950208,0.7318166,389682
1.0433578,2.307238,0.70738196,394687
1.1410962,2.275473,0.6743952,399661
1.2290609,2.1612413,0.63041294,404685
1.2999213,2.0323486,0.571159,409671
1.3762794,1.7806722,0.48075095,414676
1.4062119,1.6316211,0.42760566,419681
1.4251486,1.5137241,0.38056904,424707
1.427592,1.432479,0.33475417,429660
1.4117095,1.396438,0.29932398,434665
1.3762794,1.3860532,0.27122417,439670
1.3206906,1.3866642,0.24617869,444696
1.2461652,1.3787229,0.22907446,449679
1.1594223,1.3762794,0.22357668,454684
1.0671816,1.3982705,0.2321288,459689
0.9120218,1.4563028,0.25534168,464685
0.7984009,1.509448,0.2742785,469668
0.689056,1.5717562,0.28405234,474673
0.5919284,1.6395624,0.28038713,479678
0.51251596,1.7018706,0.27000242,484704
0.44959682,1.7708983,0.25228736,489688
0.40439278,1.8442022,0.23518312,494662
0.36651915,1.9150625,0.22235495,499667
0.33414328,1.9785925,0.21502456,504696
0.30543262,2.0176878,0.21624629,509677
0.28038713,2.043955,0.22296582,514682
0.2565634,2.0402899,0.23884831,519687
0.25289822,1.9963076,0.24251351,524685
0.25411993,1.9205604,0.2443461,529666
0.26145032,1.8203784,0.24007004,534671
0.2724459,1.7128662,0.23823744,539676
0.28038713,1.5949692,0.24190263,544704
0.2846632,1.4630222,0.25350907,549685
0.28527406,1.323745,0.26450464,554660
0.2883284,1.1960741,0.27977628,559665
0.28771752,1.0690142,0.30176744,564722
0.16982053,0.6719518,0.36651915,569674
0.057421334,0.36285394,0.42210788,574679
-0.03359759,0.06780604,0.4813618,579684
-0.099571034,-0.20952678,0.5314528,584711
-0.12583824,-0.39706242,0.5546656,589664
-0.11301007,-0.462425,0.5540548,594668
-0.073303826,-0.43676865,0.5320636,599673
-0.021380283,-0.36713,0.49357912,604700
0.040317107,-0.28710666,0.44165558,609683
0.10323623,-0.19975294,0.38056904,614688
0.19181168,-0.07513642,0.2846632,619662
0.23151793,-0.0067195175,0.21746802,624689
0.24678956,0.03970624,0.15271631,629672
0.24923302,0.064751714,0.09712757,634677
0.22479841,0.06414085,0.05009095,639682
0.18570304,0.030543262,0.020158553,644706
0.12522738,-0.03359759,-0.0061086523,649661
0.05681047,-0.12644911,-0.02321288,654666
-0.02076942,-0.22968534,-0.03604105,659671
-0.103847094,-0.35246924,-0.03848451,664697
-0.23335053,-0.56016344,-0.032986723,669680
-0.31764993,-0.7031059,-0.034208454,674685
-0.398895,-0.8503244,-0.043982297,679660
-0.47769663,-0.9963212,-0.06719518,684684
-0.5558874,-1.1404854,-0.099571034,689669
-0.6236934,-1.2889256,-0.13744467,694674
-0.68966687,-1.4343116,-0.17959438,699680
-0.75808376,-1.5754215,-0.2302962,704704
-0.82650065,-1.6963727,-0.2864958,709689
-0.89736104,-1.7886134,-0.34574974,714664
-0.97005403,-1.8521434,-0.40500367,719668
-1.0732902,-1.8979583,-0.4886922,724693
-1.1398746,-1.9058995,-0.5448918,729678
