x,y,z,timestamp
0.08002335,0.19547687,0.1881465,1667
0.2284636,0.13072516,0.2125811,6652
0.37384954,0.077579886,0.23579398,11656
0.5143485,0.047036625,0.2565634,16661
0.65118235,0.040317107,0.2657264,21686
0.77824235,0.06780604,0.2724459,26640
0.8924741,0.11362094,0.2687807,31645
0.9950995,0.1600467,0.26511553,36650
1.0732902,0.20097467,0.26267207,41675
1.1276573,0.23884831,0.26511553,46660
1.1447614,0.30848694,0.26816985,51665
1.1209377,0.35430184,0.27305678,56639
1.0647382,0.41355577,0.27488935,61666
0.9828822,0.49968776,0.26816985,66649
0.88086766,0.60231316,0.2510656,71654
0.7666359,0.698219,0.22602014,76659
0.65179324,0.79351395,0.19547687,81686
0.54428095,0.8918633,0.15882497,86638
0.45142943,0.98349303,0.12217305,91643
0.37201694,1.0635164,0.08307768,96648
0.28710666,1.1575897,0.03359759,101675
0.25045475,1.2095132,0.007941248,106658
0.23457226,1.2498302,0.0,111662
0.23457226,1.2760975,0.0061086523,116666
0.2510656,1.2932017,0.028710667,121663
0.2846632,1.2950343,0.059864793,126647
0.33353242,1.2651019,0.09773844,131651
0.39522982,1.2272283,0.13255776,136656
0.46486846,1.1887437,0.16249016,141683
0.539394,1.1569787,0.19181168,146666
0.63713247,1.1447614,0.2321288,151640
0.68416905,1.1588113,0.25289822,156645
0.7165449,1.1765264,0.26939157,161672
0.73548174,1.1838568,0.2932153,166655
0.7324274,1.1820242,0.31703907,171660
0.7049385,1.1716396,0.33292156,176665
0.6591236,1.1435398,0.33658674,181661
0.6041457,1.1007792,0.3286455,186644
0.54733527,1.0439687,0.30543262,191649
0.5021312,0.9755518,0.27183503,196654
0.45142943,0.75136423,0.17531833,201681
0.36285394,0.47219884,0.09285152,206664
0.26145032,0.14049901,0.022602014,211638
0.172264,-0.12217305,-0.043982297,216643
0.09101892,-0.2773328,-0.11178834,221669
0.01282817,-0.33292156,-0.15454891,226653
-0.07086037,-0.33658674,-0.1740966,231657
-0.15577064,-0.32559118,-0.17715092,236662
-0.23945917,-0.29932398,-0.16798794,241658
-0.31764993,-0.25534168,-0.1563815,246642
-0.41355577,-0.15271631,-0.14660765,251647
-0.46486846,-0.08246681,-0.14355333,256651
-0.5015204,-0.030543262,-0.14538592,261678
-0.5186246,-0.01160644,-0.15088372,266661
-0.5216789,-0.02443461,-0.1563815,271666
-0.51007247,-0.06780604,-0.16676621,276640
-0.4801401,-0.13622294,-0.17287487,281667
-0.43066,-0.2284636,-0.17837265,286650
-0.36163223,-0.34880406,-0.1777618,291655
-0.28099802,-0.46486846,-0.17470746,296660
-0.13194689,-0.602924,-0.15699236,301686
-0.032986723,-0.6609562,-0.1423316,306639
0.05681047,-0.7031059,-0.1282817,311644
0.13072516,-0.7330383,-0.111177474,316649
0.18753563,-0.75869465,-0.09040806,321675
0.226631,-0.7733554,-0.061086524,326659
0.24373524,-0.77763146,-0.030543262,331664
0.24678956,-0.7715228,0.0012217305,336638
0.23579398,-0.75869465,0.029932396,341664
0.2125811,-0.7476991,0.052534413,346648
0.17837265,-0.7305948,0.062308256,351653
0.12644911,-0.68600166,0.062308256,356657
0.09468412,-0.63713247,0.053145275,361684
0.065973446,-0.58276546,0.036651913,366637
0.045814894,-0.52595496,0.021380283,371642
0.029321533,-0.47158796,0.004276057,376647
0.019547688,-0.43249258,-0.009773844,381673
0.009162978,-0.4129449,-0.020158553,386656
0.002443461,-0.40744713,-0.03176499,391661
-0.0036651916,-0.38973203,-0.04153884,396666
-0.004886922,-0.35979962,-0.047036625,401662
0.015271631,-0.32559118,-0.054367006,406645
0.03604105,-0.31520647,-0.0580322,411650
0.06719518,-0.31703907,-0.06963864,416655
0.10567969,-0.3371976,-0.08307768,421682
0.15149458,-0.3652974,-0.1001819,426665
0.20097467,-0.3885103,-0.122783914,431639
0.25473082,-0.39522982,-0.13744467,436644
0.31337386,-0.3921755,-0.1441642,441671
0.37568212,-0.39095375,-0.13988814,446654
0.42210788,-0.39095375,-0.13500121,451659
0.46975538,-0.38056904,-0.11362094,456664
0.4831944,-0.36041048,-0.09896017,461660
0.48624873,-0.3378085,-0.08124508,466643
0.4746423,-0.30726522,-0.06414085,471648
0.4465425,-0.27672195,-0.052534413,476653
0.41905355,-0.14355333,-0.050701816,481680
0.3555236,-0.07391469,-0.058643065,486663
0.24617869,-0.1160644,-0.07391469,491637
0.12095132,-0.21197024,-0.080634214,496642
-0.007330383,-0.2883284,-0.08368854,501668
-0.16187929,-0.31215215,-0.06352998,506652
-0.23762658,-0.28344148,-0.047036625,511656
-0.30726522,-0.25350907,-0.047036625,516661
-0.3640757,-0.24251351,-0.07513642,521688
-0.40683624,-0.24129178,-0.118507855,526641
-0.43249258,-0.22540927,-0.15454891,531645
-0.44226643,-0.18997909,-0.1740966,536650
-0.43982297,-0.1301143,-0.1777618,541677
-0.43371433,-0.06719518,-0.17898351,546660
-0.43188173,-0.029932396,-0.17592919,551665
-0.43860126,-0.03970624,-0.17348573,556639
-0.45204028,-0.14355333,-0.15760323,561665
-0.44409904,-0.24862215,-0.13500121,566649
-0.4196644,-0.34208453,-0.111177474,571654
-0.38240165,-0.41050145,-0.087964594,576659
-0.3408628,-0.45937067,-0.07391469,581686
-0.3036,-0.4868596,-0.07086037,586638
-0.26939157,-0.50701815,-0.076358154,591643
-0.24251351,-0.5143485,-0.08368854,596648
-0.22052236,-0.50823987,-0.09101892,601675
-0.20097467,-0.49174652,-0.0983493,606658
-0.17959438,-0.4447099,-0.10995574,611662
-0.16920967,-0.4147775,-0.12095132,616637
-0.16737708,-0.38789943,-0.13194689,621664
-0.16676621,-0.36651915,-0.14477506,626647
-0.17165314,-0.35735616,-0.15210545,631651
-0.18448131,-0.35613444,-0.16126843,636656
-0.20341812,-0.35308012,-0.172264,641683
-0.22235495,-0.3378085,-0.1826487,646666
-0.24312437,-0.30787608,-0.18936823,651640
-0.26450464,-0.2761111,-0.19242255,656645
-0.2950479,-0.26267207,-0.19547687,661672
-0.31398472,-0.27183503,-0.19364429,666655
-0.3231477,-0.28588495,-0.1881465,671660
-0.3268129,-0.2968805,-0.18081611,676665
-0.32620203,-0.30665436,-0.17287487,681661
-0.32436943,-0.32498032,-0.16615535,686644
-0.32925636,-0.3390302,-0.16737708,691649
-0.33658674,-0.3390302,-0.16676621,696654
-0.3585779,-0.31642818,-0.16798794,701680
-0.39095375,-0.27916542,-0.16920967,706664
-0.45570546,-0.2144137,-0.15821409,711638
-0.51007247,-0.16371189,-0.14172074,716643
-0.5674938,-0.1142318,-0.122783914,721669
-0.6243043,-0.07086037,-0.108123146,726653
-0.6750061,-0.022602014,-0.093462385,731657
-0.72204274,0.04153884,-0.08979719,736662
-0.7593055,0.10445796,-0.08857546,741659
-0.788627,0.16676621,-0.092240654,746642
-0.8026769,0.21380283,-0.09468412,751646
-0.80878556,0.25473082,-0.105068825,756651
-0.79045963,0.29810223,-0.1142318,761678
-0.766025,0.31948254,-0.1160644,766661
-0.7287622,0.34330627,-0.111177474,771666
-0.6780604,0.36774087,-0.0983493,776641
-0.61819565,0.3830125,-0.08002335,781668
-0.5546656,0.3830125,-0.061086524,786650
-0.48930305,0.36041048,-0.048258353,791655
-0.42088616,0.32803464,-0.04337143,796660
-0.36041048,0.29077184,-0.051923547,801687
-0.3023783,0.25167647,-0.07513642,806639
-0.25534168,0.21624629,-0.11056661,811644
-0.20280726,0.15149458,-0.17470746,816649
-0.1863139,0.1001819,-0.2144137,821676
-0.18325958,0.04337143,-0.24251351,826659
-0.19853121,-0.004276057,-0.2510656,831664
-0.2180789,-0.03359759,-0.24190263,836638
-0.2406809,-0.04337143,-0.2144137,841664
-0.24923302,-0.04337143,-0.17715092,846648
-0.24862215,-0.043982297,-0.13744467,851653
-0.24129178,-0.05375614,-0.11178834,856657
-0.23701571,-0.07941248,-0.1001819,861682
-0.22296582,-0.13744467,-0.10323623,866637
-0.20586158,-0.18570304,-0.111177474,871642
-0.18203785,-0.21624629,-0.12217305,876647
-0.15088372,-0.19425514,-0.1423316,881671
-0.12095132,-0.13805555,-0.15821409,886657
-0.09712757,-0.08246681,-0.1704314,891661
-0.08307768,-0.03481932,-0.1740966,896666
-0.077579886,0.0012217305,-0.16493362,901660
-0.076358154,0.027488936,-0.14660765,906645
-0.07574729,0.04886922,-0.12034045,911650
-0.07391469,0.07819075,-0.080634214,916655
-0.0720821,0.09896017,-0.051923547,921679
-0.06780604,0.12767084,-0.026267206,926665
-0.065973446,0.16798794,-6.1086525E-4,931639
-0.069027774,0.20097467,0.021380283,936644
-0.07880162,0.226631,0.03726278,941668
-0.092240654,0.25167647,0.05131268,946654
-0.10323623,0.28038713,0.062308256,951659
-0.108123146,0.30848694,0.06780604,956664
-0.106901415,0.33353242,0.073303826,961658
-0.0842994,0.33841935,0.07574729,966643
-0.056199603,0.30604348,0.076358154,971648
-0.018325957,0.24556783,0.0842994,976653
0.027488936,0.17959438,0.09468412,981677
0.081855945,0.11301007,0.11484267,986662
0.14660765,0.040927973,0.13927728,991637
0.36713,0.012217305,0.1563815,996642
0.63224554,-0.08002335,0.12705997,1001633
0.6872234,-0.376293,0.106901415,1006713
0.66889745,-0.6933321,0.1160644,1011656
0.57360244,-0.8356637,0.124005646,1016661
0.39400807,-0.7147123,0.13072516,1021688
0.27000242,-0.52595496,0.11789699,1026640
0.14477506,-0.32375857,0.08857546,1031645
0.019547688,-0.1282817,0.048258353,1036650
-0.100792766,0.05009095,0.01038471,1041677
-0.20952678,0.19792034,-0.01282817,1046660
-0.3023783,0.30604348,-0.02565634,1051665
-0.3640757,0.36041048,-0.025045475,1056639
-0.39645153,0.35613444,-0.021991149,1061666
-0.40439278,0.29749137,-0.017104227,1066649
-0.37507126,0.1337795,-0.016493361,1071654
-0.33475417,0.007330383,-0.018325957,1076659
-0.28771752,-0.11911872,-0.021991149,1081686
-0.24617869,-0.22724187,-0.031154128,1086638
