x,y,z,timestamp
0.4972443,0.13194689,0.16065755,23
0.63346726,0.11301007,0.18753563,5028
0.75991637,0.12217305,0.21746802,10033
0.8668178,0.14844026,0.24556783,15027
0.95233893,0.1826487,0.2669481,20012
1.0177015,0.22602014,0.27977628,25017
1.0659598,0.27977628,0.28955013,30022
1.1246029,0.38240165,0.30604348,35049
1.1588113,0.46120325,0.3200934,40032
1.183246,0.55833083,0.32559118,45006
1.1991285,0.66889745,0.3231477,50011
1.201572,0.77518797,0.30970868,55038
1.183246,0.8906415,0.29749137,60021
1.1429288,1.0073168,0.2742785,65025
1.0769554,1.142318,0.24129178,70030
0.9957104,1.2956452,0.19303341,75027
0.8735373,1.5283848,0.10873401,80010
0.7440339,1.7690657,0.03726278,85014
0.58459806,2.0250182,0.01038471,90019
0.4972443,2.1361957,0.021380283,95046
0.4129449,2.1954496,0.013439035,100029
0.32803464,2.1728477,0.029932396,105034
0.23945917,2.117259,0.06841691,110008
0.15943582,2.0244074,0.13561209,115035
0.08735373,1.9388863,0.2406809,120018
0.021991149,1.9724839,0.33292156,125023
-0.018936822,2.0073032,0.38606682,130028
-0.04337143,2.0152445,0.37995818,135054
-0.052534413,1.9688187,0.2706133,140007
-0.04337143,1.9737056,0.15943582,145012
-0.0030543262,1.9914207,0.0720821,150017
0.050701816,1.9572122,0.014049901,155043
0.10934488,1.8955148,-0.021380283,160027
0.16065755,1.817935,-0.039095376,165031
0.20647246,1.7385225,-0.047647487,170006
0.25411993,1.6627752,-0.03848451,175032
0.3042109,1.5839735,-0.020158553,180016
0.35369098,1.5198327,-0.0036651916,185020
0.41599923,1.4422529,0.004276057,190025
0.4447099,1.3891076,0.010995574,195052
0.46792278,1.328021,0.015271631,200005
0.4905248,1.269378,0.018325957,205010
0.5112942,1.2339478,0.0030543262,210015
0.5314528,1.2235631,-0.021380283,215041
0.5448918,1.241889,-0.05131268,220024
0.5479461,1.2889256,-0.073303826,225029
0.53878313,1.3610078,-0.087964594,230034
0.52106804,1.4532484,-0.09101892,235032
0.5002986,1.5864171,-0.07941248,240013
0.49602258,1.67316,-0.04886922,245018
0.5015204,1.7318029,-0.0030543262,250023
0.5112942,1.7617353,0.052534413,255049
0.52656585,1.740966,0.11362094,260033
0.5503896,1.676825,0.17837265,265007
0.5882632,1.5937474,0.24251351,270012
0.64934975,1.4990633,0.30787608,275038
0.7324274,1.396438,0.37201694,280022
0.83199847,1.2858714,0.43249258,285027
0.99387777,1.1129965,0.4886922,290031
1.1050552,0.9999864,0.5027421,295027
1.2131784,0.9083566,0.5045747,300011
1.3072516,0.8338311,0.5002986,305016
1.382388,0.7837401,0.49663344,310020
1.4318681,0.75808376,0.49602258,315047
1.4563028,0.73975784,0.49541172,320030
1.4489723,0.7501425,0.49846604,325005
1.4227052,0.79351395,0.50518554,330010
1.382388,0.87964594,0.5198463,335036
1.3341297,0.98899084,0.5510005,340020
1.2492194,1.1435398,0.61086524,345024
1.196685,1.2388347,0.63346726,350029
1.1239921,1.2565498,0.62980205,355055
0.98349303,0.9663888,0.62125,360008
0.81000733,0.5674938,0.62125,365013
0.6597345,0.28771752,0.6065892,370018
0.49663344,0.0421497,0.5571091,375044
0.32742378,-0.15577064,0.5021312,380028
0.18142697,-0.21319197,0.44898596,385033
0.07269296,-0.11789699,0.38423425,390007
-0.013439035,0.10751228,0.26267207,395031
-0.031154128,0.21502456,0.18875736,400017
-0.018936822,0.28038713,0.13439035,405022
0.010995574,0.31337386,0.11789699,410027
0.047647487,0.32436943,0.118507855,415053
0.07819075,0.33475417,0.1301143,420006
0.10751228,0.30848694,0.15088372,425011
0.12950343,0.24251351,0.18203785,430016
0.14844026,0.16615535,0.21563543,435042
0.15882497,0.11178834,0.24923302,440025
0.15699236,0.065973446,0.32436943,445030
0.14049901,-0.02443461,0.36346483,450005
0.124005646,-0.09896017,0.376293,455029
0.11789699,-0.13194689,0.38545597,460015
0.11911872,-0.13805555,0.39767328,465019
0.12034045,-0.13744467,0.41233405,470024
0.119729586,-0.13744467,0.42271876,475051
0.124005646,-0.116675265,0.4269948,480034
0.13194689,-0.064751714,0.4288274,485008
0.14538592,0.017715093,0.42271876,490013
0.16310102,0.24678956,0.3921755,495040
0.15271631,0.38912117,0.37995818,500023
0.13622294,0.4654793,0.3830125,505028
0.13255776,0.5338962,0.38728857,510033
