x,y,z,timestamp
0.7067711,0.06780604,0.3286455,3209
0.89675015,0.0061086523,0.4447099,8214
1.0818423,-0.01038471,0.52534413,13219
1.2583824,0.010995574,0.57360244,18243
1.4263704,0.08368854,0.6010914,23229
1.5931365,0.21380283,0.62796944,28203
1.7470746,0.37873647,0.6609562,33208
1.9407189,0.63713247,0.7360926,38232
2.025629,0.8155051,0.7874053,43218
2.0518963,1.047023,0.7910705,48223
2.0402899,1.2883148,0.79351395,53227
2.0024164,1.5393804,0.79168135,58221
1.9547688,1.7825048,0.79779,63207
1.890017,1.9999728,0.8191703,68212
1.8118263,2.1868975,0.8564331,73217
1.7275269,2.3328943,0.9138544,78243
1.640784,2.4917192,0.9798279,83226
1.5467108,2.6603181,1.0519099,88200
1.4013249,2.864958,1.1667526,93206
1.3023647,2.9547553,1.2412782,98232
1.2064588,3.0121765,1.3115277,103215
1.1099422,3.0579915,1.3701707,108220
1.0274754,3.1202996,1.4147639,113225
0.96761054,3.1606169,1.4410311,118221
0.93584555,3.154508,1.4636332,123204
0.93523467,3.1123583,1.4825699,128209
0.956615,3.0647109,1.4923438,133214
0.9932669,3.0402763,1.486846,138240
1.0580186,3.0231721,1.4477507,143224
1.0983357,3.0091221,1.4056009,148229
1.1337659,2.982855,1.3536774,153203
1.1643091,2.905886,1.2974777,158229
1.1948525,2.7629435,1.2247849,163213
1.2113458,2.6499333,1.151481,168218
1.2229522,2.488054,1.0873401,173223
1.2229522,2.3671029,1.0360274,178249
1.1893547,2.3115141,0.9786061,183202
1.1447614,2.2327125,0.90408057,188207
1.0580186,2.0891593,0.7788532,193212
0.99265605,2.021353,0.6914995,198236
0.9285152,1.9468275,0.61453044,203221
0.8717047,1.8515326,0.5552765,208226
0.8258898,1.7489072,0.51068336,213201
0.79229224,1.6236799,0.4813618,218227
0.7788532,1.4801265,0.46181414,223210
0.7849618,1.3640621,0.4538729,228215
0.8045095,1.2852604,0.44898596,233220
0.83016586,1.2180653,0.45204028,238247
0.8753699,1.1117748,0.45937067,243199
0.9077458,1.0341948,0.47647488,248204
0.9450085,0.9633345,0.48624873,253209
0.98837996,0.9224065,0.49174652,258236
1.0366384,0.9095783,0.49846604,263219
1.0781772,0.9138544,0.50518554,268224
1.1032226,0.9761627,0.5332854,273229
1.0983357,1.0048733,0.5674938,278222
1.0714576,0.9627236,0.59315014,283208
1.0323622,0.9419542,0.6169739,288213
0.97310835,0.9236283,0.64934975,293218
0.93401295,0.91629785,0.66767573,298242
0.8912524,0.9126327,0.675617,303227
0.84238315,0.90408057,0.66828656,308202
0.7959574,0.874759,0.6469063,313207
0.7440339,0.8405506,0.60903263,318231
0.6261369,0.9334021,0.54183745,323216
0.36285394,1.1435398,0.4746423,328221
0.06536258,1.1301007,0.42394048,333226
-0.16554448,0.88514376,0.34513888,338220
-0.3115413,0.62980205,0.23396139,343205
-0.36835176,0.3371976,0.07941248,348210
-0.32436943,0.17470746,0.0012217305,353215
-0.23273966,-0.017715093,-0.07147124,358242
-0.10567969,-0.21197024,-0.13683382,363225
0.025045475,-0.3622431,-0.17654006,368199
0.13927728,-0.4654793,-0.17959438,373204
0.22296582,-0.5332854,-0.15088372,378228
0.26816985,-0.5907067,-0.10751228,383214
0.28405234,-0.6420194,-0.056199603,388219
0.27550024,-0.6914995,6.1086525E-4,393224
