x,y,z,timestamp
-0.027488936,0.5412266,0.0720821,4845
0.07452556,0.4465425,0.115453534,9850
0.24862215,0.3323107,0.17592919,14877
0.36835176,0.267559,0.2125811,19860
0.4886922,0.21197024,0.24251351,24834
0.6072,0.16187929,0.267559,29839
0.72326446,0.13683382,0.28588495,34865
0.8368854,0.13683382,0.29626966,39849
0.9462303,0.15027285,0.30298916,44854
1.0500773,0.1777618,0.30115658,49859
1.1398746,0.22174409,0.29077184,54854
1.2119566,0.2687807,0.27183503,59838
1.2883148,0.3390302,0.22540927,64843
1.318858,0.4025602,0.19547687,69848
1.3292428,0.48624873,0.16798794,74875
1.3219124,0.58276546,0.14905111,79857
1.2962561,0.70921457,0.13622294,84832
1.2516629,0.86559606,0.12705997,89837
1.1942415,1.0225884,0.119729586,94863
1.1215485,1.16492,0.106901415,99846
1.0396926,1.2925909,0.08674286,104851
0.9560041,1.4178182,0.04642576,109856
0.8527679,1.5601498,-0.010995574,114883
0.79412484,1.6358972,-0.047036625,119836
0.74036866,1.6713274,-0.07391469,124840
0.68661255,1.6536123,-0.09101892,129845
0.63346726,1.5900823,-0.09407325,134872
0.5839872,1.4984524,-0.0842994,139855
0.54367006,1.3970488,-0.06352998,144860
0.5143485,1.2895365,-0.0421497,149834
0.4978552,1.1930199,-0.018936822,154861
0.48930305,1.1026118,-0.0061086523,159844
0.4990769,1.001819,0.0036651916,164849
0.5186246,0.8393288,0.0067195175,169854
0.5497787,0.7489208,-0.0012217305,174880
0.5900958,0.7086037,-0.02076942,179833
0.6310238,0.7104363,-0.042760566,184838
0.6603453,0.73914695,-0.06352998,189874
0.66889745,0.7837401,-0.08368854,194869
0.6542367,0.81306165,-0.093462385,199853
0.6224717,0.8246681,-0.09407325,204857
0.58032197,0.8356637,-0.08246681,209832
0.5381723,0.84604836,-0.065973446,214858
0.4868596,0.8961393,-0.031154128,219842
0.46181414,0.9462303,-0.007941248,224847
0.43982297,0.9859365,0.014049901,229852
0.41599923,1.0213667,0.03604105,234878
0.38912117,1.0525209,0.062308256,239861
0.36346483,1.0567969,0.087964594,244836
0.3390302,1.0177015,0.09896017,249841
