x,y,z,timestamp
0.24190263,0.21685717,0.118507855,1974
0.46303585,0.1337795,0.16798794,6979
0.6035349,0.10323623,0.19853121,12004
0.7293731,0.08979719,0.22785273,16959
0.84116143,0.09162979,0.25228736,21964
0.9370673,0.105068825,0.27550024,26969
1.0158689,0.1301143,0.29565877,31993
1.073901,0.16371189,0.30726522,36978
1.1068878,0.19181168,0.31031954,41983
1.119716,0.20647246,0.30909783,46988
1.1068878,0.21746802,0.29443705,51985
1.0525209,0.23151793,0.2779437,56967
0.9877691,0.2968805,0.24556783,61972
0.9083566,0.376293,0.22113322,66977
0.8167268,0.47586402,0.19547687,72004
0.7134906,0.5833763,0.17165314,76987
0.6047566,0.68233645,0.15393804,81961
0.4972443,0.75686204,0.14355333,86966
0.39584067,0.81061816,0.14355333,91993
0.312763,0.8558222,0.14477506,96976
0.25595254,0.8949176,0.1459968,101981
0.22235495,0.91996306,0.14538592,106985
0.21380283,0.89919364,0.14110987,111982
0.23579398,0.84849185,0.1386664,116965
0.27672195,0.77274454,0.14049901,121970
0.33475417,0.6908886,0.14477506,126974
0.41172317,0.61391956,0.15027285,132001
0.5002986,0.5510005,0.1600467,136984
0.59131753,0.5216789,0.1685988,141959
0.6780604,0.5174029,0.18203785,146964
0.7464773,0.5332854,0.19914207,151990
0.79473567,0.54733527,0.22602014,156973
0.82711154,0.56077427,0.26939157,161978
0.8179486,0.5644395,0.2932153,166983
0.7812967,0.58032197,0.30726522,172009
0.7281514,0.61575216,0.3109304,176962
0.6591236,0.6731735,0.3036,181967
0.56199604,0.8045095,0.25411993,186972
0.49357912,0.90102625,0.22602014,191998
0.44043383,0.9645562,0.21868975,196982
0.39400807,0.9737192,0.23457226,201987
0.33964106,0.93523467,0.25167647,206961
0.24984388,0.83016586,0.24923302,211988
0.22418754,0.75136423,0.22113322,216971
0.19914207,0.60231316,0.16187929,221976
0.13500121,0.32070425,0.10567969,226981
0.08979719,-0.015882496,0.07391469,232007
0.06536258,-0.26633725,0.03726278,236960
0.044593163,-0.38973203,-0.0036651916,241965
0.029321533,-0.40561453,-0.034208454,246970
0.012217305,-0.3744604,-0.047647487,251996
-0.004886922,-0.33658674,-0.04520403,256979
-0.047036625,-0.26328292,-0.02565634,261984
-0.077579886,-0.19914207,-0.008552114,266988
-0.111177474,-0.14110987,0.002443461,271985
-0.14782938,-0.1020145,0.004886922,276969
-0.18509217,-0.0842994,-0.0018325958,281973
-0.21930063,-0.08979719,-0.015271631,286978
-0.24556783,-0.10934488,-0.03359759,292005
-0.258396,-0.124005646,-0.05681047,296988
-0.26450464,-0.12950343,-0.07819075,301962
-0.26145032,-0.13622294,-0.09712757,306967
-0.25473082,-0.17531833,-0.116675265,311994
-0.25045475,-0.2302962,-0.1160644,316977
-0.24190263,-0.30665436,-0.10445796,321982
-0.23701571,-0.38973203,-0.09040806,326987
-0.2302962,-0.46853364,-0.073303826,331982
-0.22479841,-0.5369505,-0.0580322,336966
