x,y,z,timestamp
0.42638394,0.5467244,0.11056661,2526
0.54244834,0.46120325,0.122783914,7511
0.66523224,0.38973203,0.13805555,12516
0.7984009,0.3359759,0.15454891,17521
0.93218035,0.3042109,0.16982053,22546
1.0622946,0.2883284,0.18448131,27530
1.1814134,0.29443705,0.20219639,32505
1.287704,0.3200934,0.2180789,37510
1.4202617,0.39522982,0.23579398,42535
1.4905112,0.4801401,0.24007004,47519
1.5460999,0.6078109,0.2443461,52524
1.5760323,0.766025,0.2443461,57529
1.5809193,0.93034774,0.24312437,62556
1.559539,1.0824533,0.2443461,67508
1.5125023,1.2125676,0.24678956,72513
1.4410311,1.328021,0.24556783,77518
1.3524556,1.4391985,0.24740042,82545
1.2412782,1.5699236,0.22968534,87528
1.0567969,1.8002199,0.18997909,92533
0.9462303,1.9211712,0.17837265,97507
0.84299403,2.0146337,0.18020524,102534
0.7476991,2.0885482,0.20219639,107517
0.65301496,2.1368067,0.22907446,112522
0.55955255,2.1740694,0.26083946,117527
0.46670106,2.1997259,0.28771752,122553
0.3830125,2.211332,0.30482176,127506
0.312763,2.212554,0.30787608,132511
0.26389378,2.20278,0.2938262,137516
0.24556783,2.2003367,0.25961772,142542
0.28527406,2.2015584,0.18692477,147526
0.3585779,2.194228,0.13255776,152531
0.45814893,2.176513,0.080634214,157505
0.57910025,2.1673498,0.03970624,162531
0.70188415,2.1697934,0.01282817,167515
0.8210029,2.1606305,0.0,172519
0.9260717,2.1361957,0.004276057,177524
1.006095,2.0909917,0.02443461,182551
1.0629056,2.025629,0.059253927,187534
1.1007792,1.9437732,0.10873401,192508
1.1258247,1.7916678,0.18203785,197513
1.1136073,1.709201,0.23151793,202542
1.0848967,1.5882497,0.28099802,207523
1.0506883,1.4483615,0.33169982,212528
1.0158689,1.3414601,0.37690386,217533
0.9816604,1.2754866,0.41538838,222531
0.9437868,1.2272283,0.4465425,227512
0.89736104,1.1869112,0.4709771,232517
0.8436049,1.1404854,0.48624873,237522
0.77946407,1.0885619,0.49113566,242548
0.675617,0.99082345,0.47952923,247532
0.57971114,0.9236283,0.45081854,252506
0.41355577,0.79901177,0.41355577,257511
0.2657264,0.5742133,0.37995818,262535
0.16187929,0.3182608,0.3463606,267521
0.08552113,0.12339478,0.30115658,272556
0.030543262,0.004886922,0.2443461,277531
0.0030543262,-0.04642576,0.18692477,282527
-0.0036651916,-0.037873644,0.14049901,287510
0.0,0.0012217305,0.10873401,292515
0.008552114,0.03848451,0.07941248,297520
0.017104227,0.036651913,0.07391469,302546
0.021991149,0.022602014,0.06780604,307529
0.021991149,-0.004886922,0.06169739,312534
0.014049901,-0.04642576,0.048258353,317508
-0.002443461,-0.10934488,0.030543262,322535
-0.028710667,-0.1826487,0.012217305,327518
-0.055588737,-0.27183503,0.0,332523
-0.09162979,-0.37507126,-0.008552114,337528
-0.12522738,-0.49174652,-0.008552114,342554
-0.16187929,-0.6224717,-0.0067195175,347507
-0.20586158,-0.8472701,-6.1086525E-4,352512
-0.22968534,-0.9822713,-0.0012217305,357517
-0.24740042,-1.0958922,-0.005497787,362543
