x,y,z,timestamp
0.45448375,0.15760323,0.05681047,32
0.58093286,-0.0061086523,0.14721853,5036
0.71959925,-0.13194689,0.23579398,10041
0.8680395,-0.21746802,0.32253686,15065
1.0256428,-0.29016098,0.41172317,20020
1.1917981,-0.3371976,0.49602258,25025
1.3585643,-0.3475823,0.5888741,30030
1.5216653,-0.29565877,0.68416905,35054
1.6578883,-0.14905111,0.7684685,40040
1.8026633,0.16432275,0.84971356,45045
1.8503108,0.33475417,0.90224797,50019
1.8643607,0.45204028,0.97066486,55043
1.8497,0.5626069,1.0360274,60029
1.8063285,0.6805039,1.078788,65034
1.7397442,0.7849618,1.0885619,70039
1.6536123,0.9272934,1.0751228,75064
1.5558738,1.105666,1.0317514,80018
1.4581354,1.3115277,0.9083566,85023
1.3585643,1.4770721,0.7147123,90028
1.2247849,1.7269161,0.39278635,95052
1.1441506,1.9022343,0.16737708,100038
1.0659598,2.0861049,-0.0580322,105043
0.98349303,2.26631,-0.28344148,110047
0.89858276,2.4599543,-0.50640726,115041
0.8216137,2.6700919,-0.71776664,120027
0.7556403,2.9113839,-0.9108001,125032
0.711658,3.1936035,-1.0714576,130036
0.6719518,3.4794884,-1.210124,135063
0.6444628,3.7507126,-1.3096951,140046
0.61819565,4.053091,-1.3775011,145020
0.59986967,4.138001,-1.3414601,150025
0.57971114,4.1105123,-1.2241739,155054
0.56138515,3.9816196,-1.0085385,160035
0.54367006,3.7977493,-0.7263188,165040
0.52656585,3.6034942,-0.40561453,170045
0.5137377,3.4397821,-0.081855945,175041
0.5045747,3.3078353,0.21991149,180024
0.5039638,3.1783319,0.4642576,185029
0.5112942,3.0030136,0.57848936,190034
0.5180137,2.6914723,0.5119051,195062
0.5131268,2.4727826,0.39767328,200044
0.5009095,2.204002,0.30726522,205018
0.47586402,1.89918,0.25534168,210023
0.4373795,1.564426,0.23701571,215051
0.38789943,1.2174544,0.22296582,220033
0.33964106,0.8918633,0.19547687,225038
0.31581733,0.6230826,0.19730948,230043
0.30787608,0.42088616,0.20219639,235040
0.31703907,0.26450464,0.20525073,240022
0.33841935,0.14844026,0.19792034,245027
0.38545597,0.05681047,0.18203785,250031
