x,y,z,timestamp
0.37812558,0.27183503,0.20219639,3923
0.42821655,0.24862215,0.26816985,8928
0.47342056,0.26816985,0.35918877,13955
0.5180137,0.32375857,0.4392121,18938
0.5522222,0.41355577,0.50335294,23942
0.57726765,0.5161811,0.5546656,28917
0.6053675,0.70738196,0.6291912,34877
0.6059783,0.79045963,0.6597345,38927
0.57910025,1.0525209,0.79473567,43932
0.5626069,1.2089024,0.92057395,48937
0.5552765,1.3390167,1.061073,53963
0.5564982,1.4569136,1.1893547,58916
0.55955255,1.5528195,1.2748758,63921
0.548557,1.6151277,1.2974777,68925
0.50946164,1.6749926,1.2516629,74349
0.44043383,1.7684549,1.1386528,78935
0.3830125,1.853976,1.0085385,83940
0.3585779,1.9511036,0.8784242,88915
0.35979962,1.9883664,0.7476991,93941
0.41599923,1.9462167,0.5534439,98924
0.48075095,1.8716911,0.42088616,103929
0.5564982,1.7959439,0.2883284,108934
0.6224717,1.7574593,0.15515977,114455
0.6713409,1.7513506,0.029321533,118944
0.68233645,1.7537941,-0.087964594,123918
0.65668017,1.7635679,-0.17898351,128923
0.60048056,1.7867808,-0.23884831,133950
0.5296202,1.8258762,-0.26939157,138933
0.45570546,1.8796324,-0.27488935,143938
0.34391713,1.9865338,-0.2657264,148943
0.25961772,2.0952678,-0.26328292,154365
0.16432275,2.235767,-0.25900686,158952
0.08246681,2.3561072,-0.24801129,163927
0.007330383,2.4678955,-0.22785273,168932
-0.0720821,2.5668557,-0.21563543,173958
-0.15515977,2.638938,-0.21380283,178941
-0.23273966,2.6774223,-0.22235495,183916
-0.30665436,2.683531,-0.24495697,188921
-0.37384954,2.6267207,-0.28771752,194632
-0.3866777,2.5466971,-0.31337386,198930
-0.35124752,2.3133466,-0.33108896,203935
-0.24190263,1.5784758,-0.35735616,208940
-0.14966199,0.7635816,-0.3921755,213936
-0.11056661,0.22235495,-0.4129449,218919
-0.09285152,-0.23273966,-0.42943826,223924
-0.099571034,-0.54000485,-0.43310347,228929
-0.124005646,-0.66889745,-0.39767328,234482
-0.15515977,-0.7012733,-0.33353242,238939
-0.1881465,-0.70921457,-0.258396,243944
-0.20708331,-0.6719518,-0.15332718,248918
-0.19242255,-0.58276546,-0.105068825,253944
-0.16126843,-0.4550946,-0.08307768,258928
-0.12950343,-0.31703907,-0.08552113,263933
-0.103847094,-0.18692477,-0.089186326,268938
-0.089186326,-0.07941248,-0.096516706,274357
-0.07941248,0.005497787,-0.1020145,278947
