x,y,z,timestamp
0.5919284,-0.20891592,0.27000242,4857
0.8063421,-0.2706133,0.3145956,9862
1.0207558,-0.30543262,0.3481932,14887
1.2290609,-0.31764993,0.36774087,19872
1.4269812,-0.29077184,0.37812558,24877
1.6071864,-0.22174409,0.37995818,29882
1.8417587,-0.07452556,0.3866777,34876
1.9663752,0.03176499,0.40194935,39861
2.0555615,0.13316862,0.42577308,44866
2.1105394,0.22724187,0.46181414,49871
2.1313088,0.31703907,0.50640726,54896
2.122146,0.41172317,0.5552765,59881
2.0995438,0.50518554,0.63407815,64855
2.0751092,0.6731735,0.70921457,69860
2.0323486,0.80939645,0.7556403,74885
1.9504927,0.93401295,0.8155051,79870
1.7641789,1.1685852,0.8167268,84875
1.6303993,1.3286319,0.76174897,89880
1.491122,1.5241088,0.7104363,94875
1.3591752,1.7641789,0.6432411,99859
1.2260065,2.031127,0.54183745,104864
1.0732902,2.2901337,0.42821655,109869
0.8949176,2.5576928,0.2950479,114895
0.7049385,2.8478537,0.15210545,119878
0.51068336,3.1728342,0.0018325958,124853
0.3268129,3.530801,-0.15271631,129857
0.073303826,4.097073,-0.36346483,134885
-0.08246681,4.4348817,-0.46731192,139867
-0.2180789,4.660902,-0.52839845,144872
-0.3304781,4.7293186,-0.54000485,149877
-0.40011674,4.6578474,-0.46609017,154903
-0.42638394,4.4758096,-0.3145956,159856
-0.40011674,4.2858305,-0.12705997,164861
-0.3378085,4.154495,0.047036625,169866
-0.23945917,4.05248,0.19547687,174892
-0.118507855,3.894266,0.30543262,179876
0.08857546,3.499036,0.3830125,184881
0.2321288,3.1740558,0.4538729,189855
0.36651915,2.8539624,0.48197266,194879
0.48563787,2.5717428,0.49968776,199865
0.5852089,2.3341162,0.51251596,204870
0.6627888,2.1252003,0.5137377,209875
0.7263188,1.9291124,0.48502702,214901
0.7684685,1.7672331,0.4343252,219854
0.77824235,1.6804903,0.37568212,224859
0.7733554,1.6511687,0.31337386,229864
0.75319684,1.6511687,0.24007004,234890
0.70371675,1.690875,0.11911872,239873
0.6554584,1.7318029,0.025045475,244878
0.59498274,1.7867808,-0.07574729,249853
0.52839845,1.863139,-0.17898351,254879
0.4538729,1.9401081,-0.267559,259863
0.3848451,1.9950858,-0.3304781,264867
0.32986724,2.0378466,-0.3652974,269872
0.29565877,2.07572,-0.36896262,274901
0.28038713,2.0977113,-0.3494149,279882
0.28588495,2.0964894,-0.30909783,284856
0.33475417,2.0744984,-0.2180789,289861
0.38789943,2.067168,-0.15515977,294889
0.45020768,2.0525072,-0.09407325,299871
0.5149594,2.021353,-0.03848451,304876
0.58276546,1.9853121,0.017104227,309881
0.65301496,1.9608774,0.069027774,314879
0.72082096,1.9254472,0.11728613,319860
0.7831292,1.8668042,0.16737708,324865
0.8362745,1.8075503,0.21624629,329870
0.87781334,1.7660115,0.2687807,334898
0.9071349,1.7391334,0.34697145,339880
0.9083566,1.754405,0.3921755,344854
0.89858276,1.7831156,0.42577308,349859
0.88208944,1.8032742,0.44837508,354885
0.86742866,1.8106046,0.45998153,359869
0.84849185,1.7947221,0.46303585,364873
0.80939645,1.7067575,0.44959682,369878
0.5155703,1.1123856,0.42821655,374872
0.087964594,0.40622538,0.4373795,379858
-0.1423316,0.15454891,0.46303585,384862
-0.376293,-0.20830505,0.40439278,389867
-0.41905355,-0.39400807,0.28955013,394892
-0.36713,-0.4428773,0.1563815,399877
-0.2443461,-0.3903429,0.03848451,404882
-0.09407325,-0.31215215,-0.048258353,409856
0.05009095,-0.25167647,-0.10629055,414883
0.16187929,-0.21930063,-0.1386664,419866
0.23335053,-0.2125811,-0.1600467,424871
0.2761111,-0.21685717,-0.16982053,429876
0.29565877,-0.22540927,-0.18020524,434902
0.29443705,-0.2443461,-0.1777618,439855
0.26389378,-0.3115413,-0.16554448,444860
0.22357668,-0.4025602,-0.15515977,449865
0.17837265,-0.5412266,-0.13988814,454891
0.1301143,-0.6951646,-0.119729586,459875
0.07696902,-0.86498517,-0.099571034,464879
0.015271631,-1.0451905,-0.07269296,469854
-0.055588737,-1.2229522,-0.047647487,474880
-0.12339478,-1.3805555,-0.027488936,479864
-0.19608775,-1.5351044,-0.02076942,484868
-0.28099802,-1.6920967,-0.01282817,489873
-0.4007276,-1.9046779,0.0036651916,494900
-0.4813618,-2.0030272,0.015271631,499853
-0.56077427,-2.0635028,0.025045475,504857
-0.6383542,-2.0885482,0.025045475,509862
-0.7098254,-2.0824397,0.002443461,514889
-0.75747293,-2.0555615,-0.036651913,519872
-0.7812967,-2.0146337,-0.092240654,524877
-0.7825184,-1.9511036,-0.15393804,529882
-0.7648033,-1.8716911,-0.21563543,534878
-0.73548174,-1.7849482,-0.27305678,539861
-0.6786713,-1.6371188,-0.34391713,544866
-0.6401868,-1.5234979,-0.3726278,549871
-0.59742624,-1.3884968,-0.38240165,554897
-0.55833083,-1.2308935,-0.37323865,559881
-0.5131268,-1.0464121,-0.35002577,564855
-0.46914452,-0.8332202,-0.31703907,569860
-0.42943826,-0.61758476,-0.2773328,574886
-0.39278635,-0.43066,-0.2284636,579870
-0.35918877,-0.28344148,-0.17287487,584875
-0.33108896,-0.18081611,-0.10934488,589880
-0.29077184,-0.08857546,-0.014049901,594875
-0.26389378,-0.051923547,0.042760566,599859
-0.2406809,-0.021991149,0.084910266,604894
-0.21868975,0.005497787,0.11056661,609868
-0.19975294,0.028099801,0.12095132,614895
-0.18570304,0.045814894,0.11484267,619878
-0.18142697,0.0580322,0.093462385,624853
-0.21074851,0.055588737,0.055588737,629857
-0.39461896,-0.059253927,0.022602014,634884
-0.539394,-0.21746802,-0.01160644,639867
-0.7470882,-0.54000485,-0.0720821,644872
-0.852157,-0.71959925,-0.1386664,649877
-0.9089675,-0.80878556,-0.22785273,654903
-0.915687,-0.820392,-0.31948254,659857
-0.8784242,-0.77518797,-0.40683624,664861
-0.8045095,-0.70616025,-0.4801401,669866
-0.711658,-0.63591075,-0.548557,674892
-0.6084218,-0.589485,-0.5882632,679876
-0.50823987,-0.55771995,-0.6096435,684881
-0.43310347,-0.51251596,-0.6200282,689855
-0.3866777,-0.46792278,-0.61758476,694881
-0.37751472,-0.4636467,-0.571159,699865
-0.4129449,-0.5131268,-0.5161811,704870
-0.47952923,-0.58276546,-0.44226643,709875
-0.56505036,-0.6469063,-0.3567453,714901
