x,y,z,timestamp
-0.1685988,-0.1600467,0.086132,4129
-0.12705997,-0.21746802,0.10629055,9134
-0.07819075,-0.25717425,0.12889257,14158
-0.02443461,-0.28405234,0.14721853,19144
0.032375857,-0.30970868,0.1600467,24149
0.09407325,-0.3286455,0.16371189,29154
0.15943582,-0.33658674,0.16493362,34148
0.226631,-0.3268129,0.1600467,39133
0.29260445,-0.30909783,0.15149458,44138
0.35796702,-0.2864958,0.13805555,49143
0.44532076,-0.25717425,0.10995574,54168
0.49541172,-0.23884831,0.08735373,59152
0.5369505,-0.21135938,0.06352998,64127
0.56688297,-0.18142697,0.043982297,69132
0.5858198,-0.15882497,0.026267206,74156
0.59559363,-0.14355333,0.014049901,79141
0.59803706,-0.13255776,0.007941248,84146
0.59559363,-0.12461651,0.004886922,89151
0.58093286,-0.11178834,0.0061086523,94145
0.5626069,-0.10445796,0.012217305,99130
0.51923543,-0.087964594,0.022602014,104136
0.48991394,-0.059864793,0.040317107,109140
0.45204028,0.0030543262,0.07574729,114167
0.40622538,0.13072516,0.095294975,119150
0.3567453,0.27000242,0.11178834,124124
0.32436943,0.36468655,0.118507855,129129
0.3145956,0.37812558,0.119729586,134154
0.3231477,0.33475417,0.10629055,139139
0.34697145,0.28344148,0.081855945,144144
0.3848451,0.24190263,0.05375614,149149
0.44959682,0.226631,0.018325957,154173
0.48380527,0.25473082,-0.005497787,159128
0.50885075,0.28710666,-0.02687807,164133
0.5149594,0.30848694,-0.040317107,169138
0.5009095,0.33536503,-0.04642576,174163
0.47342056,0.37201694,-0.039095376,179148
0.43676865,0.4184427,-0.026267206,184153
0.39584067,0.4636467,-0.008552114,189127
0.35063666,0.49296826,0.0061086523,194153
0.30665436,0.49846604,0.019547688,199137
0.25289822,0.5833763,0.02565634,204141
0.20525073,0.6017023,0.020158553,209146
0.12461651,0.49663344,0.018936822,214173
0.035430185,0.3390302,0.019547688,219125
-0.03726278,0.16493362,0.055588737,224131
-0.09896017,0.03359759,0.124005646,229135
-0.16676621,-0.014049901,0.18753563,234162
-0.2180789,-0.03359759,0.23273966,239145
-0.23884831,-0.047036625,0.24923302,244150
-0.23335053,-0.065973446,0.2321288,249124
