x,y,z,timestamp
0.711658,0.014049901,0.15882497,643
0.8588765,0.012217305,0.18692477,5668
0.9950995,0.019547688,0.20952678,10622
1.1111639,0.048258353,0.22052236,15627
1.210735,0.10629055,0.21624629,20632
1.2968669,0.1863139,0.21013765,25656
1.3671165,0.29077184,0.20097467,30641
1.4165965,0.4166101,0.1966986,35646
1.4514158,0.56688297,0.19303341,40621
1.4715744,0.7849618,0.19242255,45645
1.4666874,0.92179567,0.19486602,50630
1.4459181,1.056186,0.2003638,55636
1.4135422,1.1808025,0.20952678,60640
1.3652838,1.2925909,0.226631,65667
1.3072516,1.3982705,0.25350907,70650
1.2443326,1.5088371,0.29260445,75624
1.1771374,1.6059648,0.34269542,80629
1.110553,1.6701056,0.40317106,85656
1.0525209,1.7281377,0.46670106,90639
0.9663888,1.8338175,0.5540548,95644
0.915687,1.9358319,0.6017023,100649
0.8680395,2.0604484,0.6395759,105645
0.82650065,2.1844542,0.6768387,110628
0.79229224,2.293799,0.7128797,115633
0.766025,2.4000895,0.74097955,120638
0.752586,2.5094345,0.75991637,125663
0.752586,2.6120598,0.766025,130648
0.7696902,2.6914723,0.76174897,135622
0.8026769,2.7537806,0.7470882,140627
0.8765916,2.7989845,0.7147123,145651
0.9486737,2.7837129,0.68966687,150637
1.0421361,2.7360654,0.67256266,155641
1.1563679,2.6798658,0.66523224,160646
1.2791518,2.6047294,0.66950834,165640
1.3970488,2.5259278,0.6750061,170625
1.4935656,2.4483478,0.68111473,175631
1.5613716,2.3787093,0.6719518,180635
1.5851953,2.3109033,0.65118235,185662
1.5717562,2.2229385,0.6188065,190645
1.5222762,2.112372,0.5815437,195650
1.4031575,1.9401081,0.5216789,200624
1.3048081,1.8472565,0.48563787,205651
1.2003502,1.7580702,0.44593164,210634
1.0940597,1.6694947,0.4025602,215639
0.9950995,1.6035212,0.35246924,220644
0.9034697,1.5613716,0.29260445,225670
0.82344633,1.518611,0.23579398,230623
0.75991637,1.459968,0.19364429,235628
0.7110472,1.3909402,0.1704314,240633
0.679893,1.3164146,0.172264,245661
0.6658431,1.1924089,0.20097467,250643
0.6737844,1.0977248,0.24007004,255648
0.6969972,0.9773844,0.28344148,260622
0.74097955,0.8594874,0.33414328,265650
0.80573124,0.743423,0.3744604,270632
