x,y,z,timestamp
0.32070425,0.24251351,0.3304781,4202
0.46181414,0.18753563,0.3475823,9186
0.61758476,0.15821409,0.36285394,14161
0.7837401,0.15332718,0.376293,19166
0.9462303,0.19425514,0.3848451,24191
1.1801916,0.33964106,0.40317106,29175
1.3231341,0.45753807,0.41905355,34180
1.4636332,0.5888741,0.43554693,39185
1.5839735,0.7483099,0.43554693,44210
1.6829338,0.95478237,0.40439278,49164
1.7776178,1.1355985,0.38545597,54169
1.8716911,1.2932017,0.37812558,59174
1.9620992,1.4343116,0.3915646,64199
2.0409007,1.5858061,0.42271876,69184
2.0916026,1.7733418,0.45753807,74189
2.116648,1.9572122,0.5045747,79163
2.1001546,2.198504,0.5821546,84188
2.0549507,2.330451,0.6377433,89173
1.9834795,2.4373524,0.6969972,94178
1.8936822,2.519819,0.7666359,99183
1.7831156,2.5784621,0.8350528,104209
1.6548339,2.6193902,0.9059132,109162
1.5112807,2.6438248,0.9786061,114167
1.3567317,2.6548204,1.0482447,119172
1.2027937,2.656042,1.1081096,124198
1.0543534,2.6481009,1.151481,129181
0.86132,2.6126707,1.1618657,134186
0.7654142,2.5876253,1.1276573,139161
0.70371675,2.552806,1.0647382,144187
0.6805039,2.5057693,0.9779953,149171
0.6957755,2.4544566,0.88147855,154176
0.74281216,2.4013114,0.7788532,159180
0.8167268,2.3457224,0.69027776,164207
0.9059132,2.289523,0.6224717,169190
0.9999864,2.2272146,0.57726765,174164
1.0928379,2.1533,0.5589417,179169
1.219287,2.0195205,0.57787853,184196
1.2962561,1.8985692,0.6236934,189179
1.3628404,1.7757853,0.6835582,194184
1.4208726,1.6749926,0.7501425,199189
1.4624114,1.5919148,0.81183994,204185
1.4862351,1.5131133,0.86193085,209168
1.4941764,1.4227052,0.89552844,214173
1.4837917,1.3316863,0.9034697,219178
1.4575244,1.2461652,0.8906415,224204
1.4141531,1.1643091,0.86070913,229188
1.3231341,1.0421361,0.79901177,234162
1.2516629,0.9456194,0.75441855,239167
1.1911873,0.8332202,0.7031059,244193
1.1508701,0.72143185,0.65118235,249177
1.128879,0.65179324,0.60231316,254181
1.1270463,0.63591075,0.5699373,259186
1.1282681,0.6542367,0.5491679,264182
1.1276573,0.66706485,0.5510005,269166
1.1203269,0.6957755,0.571159,274171
1.1038336,0.7483099,0.6047566,279176
1.065349,0.8381071,0.6780604,284204
1.0384709,0.893085,0.7360926,289185
1.0134255,0.9425651,0.788627,294190
0.9993755,0.9859365,0.8338311,299164
0.9914343,1.028697,0.86315256,304191
0.98349303,1.069625,0.87964594,309174
0.9786061,1.097114,0.8857546,314179
0.97433007,1.1099422,0.88697636,319184
0.9627236,1.0989466,0.8735373,324208
0.9443977,1.0732902,0.84421575,329163
0.9193522,1.0476339,0.8008443,334168
0.86498517,1.0250319,0.711658,339173
0.8173377,1.0299188,0.6450737,344197
0.6743952,1.2479976,0.5589417,349183
0.34025195,1.6835446,0.49602258,354188
-0.02443461,1.7916678,0.45020768,359162
-0.29626966,1.5497651,0.36102137,364186
-0.4813618,1.2993103,0.23090707,369172
-0.54183745,1.1386528,0.08246681,374177
-0.49235737,1.0372492,-0.06658431,379182
-0.37690386,0.93645644,-0.19853121,384209
-0.17287487,0.6927212,-0.35063666,389161
-0.040317107,0.4868596,-0.40378192,394166
0.070249505,0.29871312,-0.4166101,399171
0.1459968,0.14049901,-0.3921755,404197
0.19120082,-0.009773844,-0.33475417,409180
0.21074851,-0.17470746,-0.26145032,414185
0.21380283,-0.3549127,-0.17592919,419190
0.20830505,-0.52839845,-0.093462385,424184
0.19547687,-0.68539083,-0.026267206,429169
0.16920967,-0.80878556,0.022602014,434174
0.09162979,-0.9505063,0.047036625,439179
0.015271631,-1.028697,0.03726278,444204
-0.07574729,-1.1142182,0.005497787,449189
-0.18020524,-1.2003502,-0.03359759,454163
-0.29626966,-1.2852604,-0.08307768,459168
-0.41905355,-1.3622295,-0.14538592,464192
-0.54367006,-1.4214834,-0.21746802,469178
-0.6621779,-1.4569136,-0.30665436,474183
-0.7733554,-1.4789047,-0.40866885,479188
-0.87964594,-1.4935656,-0.516792,484181
-1.0280862,-1.5247196,-0.6743952,489167
-1.1166617,-1.5570955,-0.77213365,494172
-1.2027937,-1.6022996,-0.86498517,499177
-1.2840388,-1.6578883,-0.9450085,504201
-1.3616186,-1.72264,-1.0177015,509186
-1.4355333,-1.8014416,-1.0751228,514161
-1.5033394,-1.8796324,-1.1209377,519166
-1.5601498,-1.9474384,-1.1508701,524190
-1.6126842,-1.994475,-1.1728612,529176
-1.6517797,-2.0347922,-1.183246,534180
-1.6804903,-2.1300871,-1.1490375,539185
-1.6780468,-2.2131648,-1.1093313,544212
-1.6633861,-2.2834144,-1.0800097,549164
-1.6395624,-2.3273966,-1.0622946,554169
-1.613906,-2.3341162,-1.0512991,559174
-1.5864171,-2.3005185,-1.0403035,564201
-1.5607607,-2.2241604,-1.0225884,569184
-1.5344934,-2.122146,-0.99021256,574189
-1.5118915,-2.0060816,-0.95111716,579163
-1.4953982,-1.8875736,-0.9053023,584190
-1.4801265,-1.700038,-0.8436049,589173
-1.4770721,-1.5570955,-0.81306165,594178
-1.4813483,-1.3988814,-0.79168135,599183
-1.4880677,-1.2296717,-0.77579886,604209
-1.4990633,-1.0622946,-0.7648033,609162
-1.5118915,-0.89675015,-0.7501425,614167
-1.5234979,-0.7287622,-0.73426,619172
-1.5314392,-0.56016344,-0.7141015,624198
-1.5399913,-0.39645153,-0.6969972,629181
-1.5460999,-0.24923302,-0.6786713,634186
-1.5473217,-0.12889257,-0.6579019,639161
-1.536937,0.010995574,-0.6365216,644187
-1.5143349,0.076358154,-0.6218608,649171
-1.4776831,0.1301143,-0.61391956,654175
-1.4288138,0.16798794,-0.60903263,659180
-1.3646729,0.19486602,-0.6084218,664205
-1.29198,0.20830505,-0.61208695,669190
-1.210124,0.21135938,-0.6151413,674164
-1.1233811,0.20158553,-0.61636305,679169
-1.0445796,0.18936823,-0.6206391,684194
-0.9584476,0.15821409,-0.61269784,689179
-0.81183994,0.07880162,-0.5681047,694184
-0.7098254,0.036651913,-0.52656585,699189
-0.6059783,0.015271631,-0.48563787,704183
-0.50579643,0.01038471,-0.45020768,709168
-0.40744713,0.014049901,-0.41355577,714173
-0.31398472,0.015271631,-0.37018433,719178
-0.22724187,0.010995574,-0.32559118,724202
-0.1563815,-0.004276057,-0.27977628,729188
-0.10262536,-0.032986723,-0.2443461,734162
-0.06291912,-0.05681047,-0.21197024,739167
-0.016493361,-0.029321533,-0.17531833,744192
