x,y,z,timestamp
0.34269542,0.15271631,0.19120082,2790
0.48991394,0.09407325,0.22113322,7776
0.7263188,0.047647487,0.25473082,12780
0.8857546,0.03970624,0.3036,17785
1.0360274,0.056199603,0.3323107,22809
1.169807,0.10323623,0.35613444,27795
1.2834278,0.17470746,0.38240165,32769
1.3750577,0.2669481,0.41416663,37774
1.4434745,0.37934732,0.45081854,42799
1.4856243,0.51251596,0.49296826,47784
1.500285,0.6383542,0.5314528,52789
1.4899004,0.7538077,0.571159,57794
1.4532484,0.86742866,0.6047566,62790
1.3548992,1.0806206,0.62980205,67773
1.2657127,1.2626585,0.62980205,72778
1.183246,1.4263704,0.6389651,77783
1.10139,1.582141,0.6658431,82809
1.0183123,1.7085901,0.711658,87793
0.9437868,1.7983873,0.77763146,92797
0.87964594,1.8759671,0.86315256,97772
0.8191703,1.9511036,0.956615,102798
0.7611381,2.0030272,1.0500773,107781
0.70249504,2.0280726,1.128879,112786
0.61575216,2.0500638,1.201572,117791
0.5546656,2.079996,1.205848,122818
0.4972443,2.1300871,1.1753048,127771
0.45142943,2.1911736,1.1044444,132776
0.42455134,2.257147,1.0073168,137780
0.41783184,2.320677,0.8943067,142807
0.43371433,2.3719897,0.77763146,147790
0.47036624,2.3903158,0.6719518,152795
0.5290093,2.3145685,0.5717699,157769
0.5925393,2.2308798,0.4886922,162796
0.6927212,2.0738876,0.42394048,167779
0.7495316,1.9840903,0.4202753,172784
0.784351,1.8894062,0.43066,177789
0.7965683,1.7757853,0.4428773,182815
0.7837401,1.6566665,0.44226643,187768
0.76174897,1.5399913,0.43554693,192773
0.73853606,1.4385877,0.43249258,197778
0.7110472,1.3750577,0.4343252,202804
0.68966687,1.328021,0.4343252,207788
0.68600166,1.2932017,0.4147775,212793
0.7079928,1.2895365,0.36651915,217797
0.73731434,1.2999213,0.33353242,222793
0.7678576,1.3121386,0.29749137,227777
0.7849618,1.3274102,0.26206118,232781
0.7867944,1.3469579,0.22724187,237786
0.77763146,1.3744467,0.19914207,242813
0.7556403,1.4074335,0.18081611,247796
0.7281514,1.4422529,0.17654006,252771
0.6969972,1.4727961,0.18081611,257776
0.6640105,1.5033394,0.19303341,262802
0.61941737,1.5546521,0.21930063,267785
0.60048056,1.5882497,0.24190263,272790
0.5925393,1.6181821,0.2761111,277826
0.59620446,1.6420058,0.31337386,282791
0.61269784,1.6377298,0.34269542,287774
0.6377433,1.5992452,0.3652974,292779
0.6743952,1.5454891,0.3811799,297784
0.7153232,1.4850134,0.3903429,302810
0.76052725,1.4214834,0.38545597,307794
0.7984009,1.3579534,0.3652974,312768
0.82772243,1.2999213,0.32742378,317773
0.83199847,1.1606439,0.28955013,322797
0.8155051,1.029308,0.2761111,327783
0.7690793,0.80756384,0.26816985,332788
0.6921103,0.49968776,0.25595254,337793
0.59864795,0.2003638,0.23823744,342819
0.5015204,-0.004886922,0.21380283,347772
0.39706242,-0.12034045,0.18020524,352777
0.28710666,-0.17837265,0.14905111,357781
0.17898351,-0.19058995,0.12583824,362806
0.07880162,-0.15210545,0.0983493,367791
-0.050701816,-0.026267206,0.037873644,372796
-0.118507855,0.06536258,0.0,377771
-0.17959438,0.13805555,-0.036651913,382795
-0.2321288,0.17531833,-0.064751714,387780
-0.27855456,0.17348573,-0.086132,392785
-0.30787608,0.14294247,-0.09590584,397790
-0.3213151,0.09773844,-0.095294975,402815
-0.3145956,0.042760566,-0.086132,407769
-0.29626966,-0.017104227,-0.06658431,412774
-0.26816985,-0.08857546,-0.040927973,417779
-0.21746802,-0.19853121,-0.002443461,422805
-0.17898351,-0.267559,0.015882496,427789
-0.13561209,-0.32559118,0.032986723,432794
-0.09040806,-0.3707952,0.04886922,437768
-0.043982297,-0.3921755,0.06047566,442795
-0.004276057,-0.3921755,0.06841691,447778
0.029321533,-0.37812558,0.06963864,452783
0.05131268,-0.35430184,0.06780604,457788
0.06841691,-0.32253686,0.065973446,462814
0.076358154,-0.27977628,0.06536258,467797
0.081855945,-0.20341812,0.06352998,472772
0.077579886,-0.14477506,0.06169739,477777
0.07147124,-0.08552113,0.059253927,482803
0.061086524,-0.034208454,0.057421334,487786
0.049480084,0.004276057,0.059253927,492791
0.03848451,0.032986723,0.058643065,497796
0.028710667,0.049480084,0.054367006,502792
0.021380283,0.051923547,0.04520403,507776
0.02076942,0.04520403,0.035430185,512780
0.022602014,0.029321533,0.02443461,517785
0.03726278,0.007941248,0.0036651916,522812
0.053145275,-0.0036651916,-0.010995574,527795
0.06414085,-0.01160644,-0.021380283,532769
0.0720821,-0.020158553,-0.026267206,537774
0.076358154,-0.02687807,-0.02687807,542801
0.07941248,-0.034208454,-0.021991149,547784
0.080634214,-0.034208454,-0.01282817,552789
0.086132,-0.040317107,-0.0018325958,557794
0.09101892,-0.04520403,0.008552114,562790
0.09773844,-0.04642576,0.018325957,567773
0.10567969,-0.04153884,0.026267206,572778
0.124005646,-0.03970624,0.036651913,577783
0.13683382,-0.034208454,0.043982297,582809
0.15332718,-0.025045475,0.049480084,587793
0.17592919,-0.012217305,0.0580322,592797
0.19975294,0.01160644,0.058643065,597772
0.2302962,0.03481932,0.06169739,602798
0.26145032,0.059864793,0.061086524,607781
0.2919936,0.089186326,0.059253927,612786
0.31337386,0.118507855,0.06352998,617791
0.3200934,0.14294247,0.0720821,622818
0.3042109,0.1600467,0.09101892,627771
0.2761111,0.15882497,0.10567969,632775
0.23396139,0.118507855,0.119729586,637780
0.18203785,0.04153884,0.12950343,642807
0.12461651,-0.058643065,0.13805555,647790
0.06658431,-0.16982053,0.14110987,652795
0.0061086523,-0.2779437,0.13194689,657769
-0.05131268,-0.36041048,0.124005646,662794
-0.10629055,-0.39767328,0.112399206,667779
-0.14966199,-0.38606682,0.09468412,672784
-0.1966986,-0.30176744,0.054367006,677789
-0.22052236,-0.23090707,0.014660766,682813
-0.24862215,-0.1600467,-0.031154128,687768
-0.27855456,-0.100792766,-0.081855945,692773
-0.31520647,-0.057421334,-0.12950343,697778
-0.35185838,-0.037873644,-0.172264,702802
-0.39095375,-0.04886922,-0.20097467,707788
-0.43066,-0.08735373,-0.21197024,712793
-0.4654793,-0.15393804,-0.20891592,717797
-0.49846604,-0.23579398,-0.19547687,722791
-0.5338962,-0.39706242,-0.16982053,727777
-0.5491679,-0.52778757,-0.15454891,732782
-0.5546656,-0.66889745,-0.14355333,737786
-0.5589417,-0.8063421,-0.1386664,742811
-0.56505036,-0.9272934,-0.13439035,747796
-0.5766568,-1.0219775,-0.12644911,752771
-0.602924,-1.133155,-0.12339478,757776
-0.63591075,-1.2363913,-0.12644911,762800
-0.6762278,-1.3384057,-0.14294247,767785
-0.72082096,-1.4520267,-0.18081611,772790
-0.7819075,-1.6065756,-0.24129178,777795
-0.8179486,-1.6927075,-0.28588495,782789
-0.8552113,-1.7507398,-0.3481932,787774
-0.8961393,-1.7672331,-0.41905355,792779
-0.9388999,-1.7654005,-0.49846604,797784
