x,y,z,timestamp
-0.002443461,0.3023783,0.06719518,1157
0.06719518,0.24678956,0.077579886,6162
0.13927728,0.19181168,0.08307768,11187
0.20708331,0.1423316,0.08552113,16172
0.27366763,0.1001819,0.084910266,21177
0.33292156,0.07147124,0.08307768,26182
0.3866777,0.053145275,0.081855945,31207
0.42821655,0.0421497,0.07880162,36161
0.462425,0.020158553,0.07452556,41166
0.46975538,0.01160644,0.070249505,46171
0.4636467,0.012217305,0.065973446,51196
0.45020768,0.022602014,0.059864793,56180
0.42821655,0.040927973,0.052534413,61185
0.39400807,0.06414085,0.0421497,66160
0.3463606,0.08735373,0.026267206,71184
0.29077184,0.10323623,0.01160644,76169
0.226631,0.13255776,6.1086525E-4,81174
0.15515977,0.18692477,-0.0067195175,86179
0.040317107,0.29993483,-0.007330383,91203
-0.036651913,0.3811799,6.1086525E-4,96158
-0.11056661,0.4636467,0.01160644,101163
-0.16920967,0.5369505,0.02321288,106168
-0.20586158,0.59620446,0.03176499,111192
-0.2144137,0.634689,0.0421497,116178
-0.18570304,0.66523224,0.054367006,121183
-0.1301143,0.6914995,0.073303826,126157
-0.04886922,0.70554936,0.099571034,131181
0.044593163,0.6872234,0.13561209,136167
0.1441642,0.63407815,0.16615535,141172
0.29260445,0.5216789,0.21074851,146177
0.38056904,0.43493605,0.23457226,151201
0.4569272,0.35308012,0.25595254,156187
0.5186246,0.2706133,0.27183503,161161
0.56382865,0.18142697,0.28710666,166166
0.6377433,0.09896017,0.29932398,171190
0.74220127,-0.018325957,0.28221974,176175
0.77213365,-0.19914207,0.2510656,181180
0.75625116,-0.3915646,0.22174409,186185
0.7281514,-0.49968776,0.18448131,191179
0.62796944,-0.4550946,0.11789699,196193
0.5198463,-0.3371976,0.08246681,201169
0.3921755,-0.19058995,0.056199603,206174
0.25534168,-0.03726278,0.03604105,211201
0.111177474,0.122783914,0.018325957,216184
-0.023823744,0.29749137,0.004276057,221159
-0.13805555,0.47403142,0.004276057,226163
-0.22479841,0.62980205,0.014660766,231188
-0.2864958,0.752586,0.042760566,236173
-0.31703907,0.8313876,0.08124508,241178
-0.30482176,0.84116143,0.15393804,246183
-0.25350907,0.7800749,0.20525073,251176
-0.16615535,0.68539083,0.25778514,256162
-0.05131268,0.5717699,0.3042109,261167
0.08857546,0.45570546,0.34391713,266172
0.24129178,0.35246924,0.37568212,271196
0.4025602,0.26389378,0.4025602,276182
0.5644395,0.1863139,0.42394048,281187
0.71776664,0.13255776,0.4392121,286161
0.8546005,0.09285152,0.44898596,291185
1.0317514,0.048258353,0.46792278,296171
1.1252137,0.04520403,0.4783075,301176
1.2034045,0.054367006,0.49113566,306180
1.2589933,0.070249505,0.49846604,311205
1.2883148,0.09468412,0.5021312,316160
1.2962561,0.1282817,0.5009095,321164
1.2864822,0.17531833,0.4972443,326169
1.2547172,0.23273966,0.4886922,331196
1.2027937,0.3109304,0.47403142,336179
1.1368202,0.4129449,0.45937067,341184
1.0158689,0.6010914,0.43799037,346158
0.91874135,0.74220127,0.4251622,351185
0.8173377,0.88086766,0.4111123,356168
0.70066243,1.0586295,0.37934732,361173
0.6084218,1.2247849,0.35308012,366178
0.5571091,1.35551,0.35124752,371204
0.5314528,1.4404203,0.37140608,376157
0.52412236,1.4892895,0.39522982,381162
0.52595496,1.5259414,0.42394048,386167
0.5314528,1.5613716,0.45753807,391193
0.535118,1.6041322,0.4831944,396177
0.53023106,1.6719382,0.50762904,401182
0.52656585,1.6902641,0.51923543,406187
0.5222898,1.6823229,0.5320636,411182
0.52106804,1.6676621,0.54061574,416166
0.5216789,1.6517797,0.54611355,421171
0.5180137,1.6218473,0.54733527,426175
0.5186246,1.5882497,0.5497787,431202
0.5222898,1.5564847,0.5546656,436185
0.5314528,1.5216653,0.56199604,441160
0.5357288,1.4941764,0.5674938,446164
0.54000485,1.4391985,0.55955255,451191
0.5222898,1.4538593,0.54550266,456174
0.5002986,1.4153748,0.54061574,461179
0.46975538,1.3628404,0.5375614,466184
0.43493605,1.3219124,0.5290093,471180
0.3915646,1.2913691,0.50701815,476163
0.35613444,1.2516629,0.4746423,481168
0.32375857,1.2052372,0.42943826,486173
0.29016098,1.1759156,0.35796702,491199
0.24801129,1.1838568,0.27305678,496183
0.22174409,1.0910053,0.19120082,501157
0.20647246,0.9816604,0.16432275,506162
0.16554448,0.88514376,0.14110987,511188
0.100792766,0.7312057,0.12583824,516172
0.028099801,0.49968776,0.116675265,521177
-0.021991149,0.24251351,0.10445796,526182
-0.04520403,0.032986723,0.08979719,531208
-0.04153884,-0.12339478,0.06352998,536161
-0.02321288,-0.2510656,0.034208454,541166
-0.0012217305,-0.3744604,0.004276057,546171
0.028099801,-0.5540548,-0.03726278,551197
0.043982297,-0.6658431,-0.06841691,556180
0.049480084,-0.752586,-0.10567969,561185
0.047647487,-0.8179486,-0.15760323,566160
0.02687807,-0.8729264,-0.22418754,571186
-0.0061086523,-0.9334021,-0.29077184,576169
-0.0580322,-1.0005972,-0.35063666,581175
-0.1142318,-1.0677924,-0.3921755,586179
-0.18387043,-1.1209377,-0.4251622,591205
-0.26939157,-1.1734722,-0.46486846,596158
-0.41783184,-1.2339478,-0.50885075,601163
-0.5198463,-1.2400564,-0.5705481,606168
-0.6224717,-1.2479976,-0.57543504,611195
-0.73792523,-1.2492194,-0.5497787,616178
-0.8570439,-1.2608259,-0.51068336,621183
-0.9779953,-1.2730432,-0.47525316,626157
-1.1001683,-1.2596041,-0.45875978,631184
-1.2082914,-1.2290609,-0.45937067,636167
-1.3090842,-1.1661417,-0.46975538,641172
-1.3927728,-1.0989466,-0.48258355,646177
-1.4721853,-1.033584,-0.5002986,651203
-1.5754215,-0.9822713,-0.5137377,656187
-1.6261233,-0.99204516,-0.5338962,661161
-1.6878207,-1.024421,-0.59620446,666166
-1.7183639,-1.0299188,-0.6536258,671191
-1.7171422,-1.0134255,-0.679893,676175
-1.6982054,-0.98349303,-0.6792821,681180
-1.6548339,-0.95356065,-0.6621779,686185
-1.5931365,-0.93523467,-0.6377433,691179
-1.5137241,-0.9315695,-0.6243043,696164
-1.4263704,-0.9505063,-0.6273586,701170
-1.2760975,-1.0323622,-0.66156703,706174
-1.169807,-1.1160508,-0.6933321,711199
-1.0616838,-1.2095132,-0.7287622,716184
-0.95417154,-1.2986995,-0.7623598,721159
-0.8509353,-1.3750577,-0.7861836,726163
-0.7556403,-1.432479,-0.8014552,731187
-0.6609562,-1.4679092,-0.8063421,736173
-0.5742133,-1.4544702,-0.80756384,741178
-0.49174652,-1.3921618,-0.8026769,746183
-0.41599923,-1.287704,-0.79229224,751177
-0.3200934,-1.0867293,-0.75441855,756162
-0.27183503,-0.947452,-0.7104363,761167
-0.23273966,-0.8167268,-0.6560693,766172
-0.20586158,-0.6976081,-0.59559363,771196
-0.18936823,-0.60048056,-0.535118,776182
-0.1863139,-0.52839845,-0.47647488,781187
-0.19486602,-0.47403142,-0.42455134,786161
-0.21319197,-0.42943826,-0.38056904,791185
-0.24007004,-0.39095375,-0.3475823,796171
-0.28038713,-0.35918877,-0.33108896,801176
-0.34147367,-0.31887165,-0.32559118,806180
-0.37384954,-0.2932153,-0.32803464,811205
-0.3866777,-0.26450464,-0.33169982,816160
-0.3885103,-0.23273966,-0.3371976,821165
-0.37751472,-0.2144137,-0.3463606,826169
-0.35979962,-0.20586158,-0.35185838,831195
-0.33536503,-0.20769419,-0.35735616,836179
-0.30665436,-0.21746802,-0.36468655,841184
-0.2779437,-0.2321288,-0.36835176,846159
-0.24678956,-0.24495697,-0.3707952,851183
-0.19242255,-0.2565634,-0.37018433,856168
-0.15149458,-0.2968805,-0.3585779,861173
-0.108123146,-0.31215215,-0.3463606,866178
-0.06841691,-0.3005457,-0.3304781,871202
-0.03848451,-0.26145032,-0.30909783,876157
-0.017104227,-0.19425514,-0.27550024,881162
-0.009162978,-0.12034045,-0.2321288,886167
-0.015882496,-0.055588737,-0.18570304,891191
-0.034208454,0.0012217305,-0.13744467,896177
-0.064751714,0.055588737,-0.09285152,901182
-0.065973446,0.10995574,-0.058643065,906186
0.06169739,0.10934488,-0.06047566,911181
0.06841691,0.004276057,-0.070249505,916166
0.050701816,-0.11056661,-0.064751714,921171
0.037873644,-0.15821409,-0.057421334,926176
0.02076942,-0.15149458,-0.058643065,931200
0.009773844,-0.15271631,-0.0580322,936185
0.002443461,-0.172264,-0.05375614,941160
-0.010995574,-0.18997909,-0.050701816,946164
-0.028710667,-0.1863139,-0.04520403,951189
-0.058643065,-0.14782938,-0.04520403,956174
-0.11911872,-0.061086524,-0.04153884,961179
-0.16615535,0.004886922,-0.03726278,966184
-0.20891592,0.06536258,-0.036651913,971178
-0.24251351,0.1160644,-0.031154128,976163
-0.26267207,0.15271631,-0.023823744,981168
-0.26206118,0.17348573,-0.02321288,986173
-0.24373524,0.18570304,-0.032986723,991198
-0.21502456,0.18020524,-0.048258353,996183
-0.18387043,0.15393804,-0.06841691,1001157
-0.15393804,0.11362094,-0.07941248,1006162
-0.112399206,0.03359759,-0.07269296,1011186
-0.09101892,-0.02076942,-0.05131268,1016172
