x,y,z,timestamp
0.47891834,0.226631,-0.07513642,3974
0.5693264,0.14172074,-0.044593163,9001
0.6536258,0.06719518,-0.008552114,13983
0.7257079,0.007330383,0.02565634,18988
0.8002335,-0.043982297,0.057421334,23993
0.88453287,-0.03176499,0.0842994,28990
1.0268645,0.103847094,0.108123146,33972
1.1252137,0.23762658,0.10140363,38977
1.2076806,0.38912117,0.08124508,43982
1.2760975,0.54550266,0.052534413,49009
1.3213016,0.68539083,0.022602014,53992
1.35551,0.79473567,-0.004276057,58966
1.378112,0.88697636,-0.023823744,63971
1.3946054,0.95905846,-0.031154128,68998
1.3909402,1.0396926,-0.0036651916,73981
1.3677273,1.1233811,0.03970624,78986
1.3060299,1.1979067,0.14844026,83991
1.2363913,1.2144,0.22602014,89017
1.1410962,1.2370021,0.31520647,93970
1.0207558,1.3121386,0.40866885,98975
0.8912524,1.423316,0.49846604,103980
0.75747293,1.5216653,0.5858198,109004
0.634689,1.5088371,0.61941737,113990
0.5338962,1.500285,0.61819565,118994
0.46120325,1.5522085,0.6218608,123969
0.43860126,1.6536123,0.65240407,128996
0.4251622,1.9401081,0.6658431,133979
0.38912117,2.3402247,0.61636305,138983
0.3555236,2.4941628,0.54244834,143988
0.321926,2.552806,0.46609017,149015
0.30543262,2.5308146,0.40194935,153968
0.30909783,2.47095,0.35063666,158972
0.33353242,2.4037547,0.2919936,163977
0.36957347,2.324953,0.21502456,169004
0.41050145,2.252871,0.11301007,173987
0.44776422,2.1679606,0.015882496,178992
0.48075095,2.0702224,-0.05681047,183967
0.52290064,1.894904,-0.10567969,188993
0.571159,1.781894,-0.1160644,193976
0.6401868,1.6450601,-0.12705997,198981
0.71593404,1.5247196,-0.14172074,203986
0.79473567,1.4587462,-0.13744467,209012
0.86742866,1.4263704,-0.11362094,213996
0.93218035,1.3976597,-0.08857546,218970
0.9896017,1.3793337,-0.057421334,223975
1.0409144,1.382388,-0.03604105,229001
1.0830641,1.4001031,-0.03848451,233985
1.1209377,1.4251486,-0.08246681,238990
1.1221595,1.4294246,-0.122783914,243995
1.1111639,1.409877,-0.15821409,248988
1.0855075,1.3866642,-0.18142697,253974
1.0537425,1.3610078,-0.19730948,258979
1.0134255,1.3494014,-0.19914207,263984
0.96944314,1.3854424,-0.16982053,269008
0.9053023,1.3640621,-0.17898351,273993
0.8350528,1.3585643,-0.20463985,278968
0.7715228,1.359786,-0.21685717,283972
0.6780604,1.3726143,-0.22602014,288997
0.61208695,1.3494014,-0.24617869,293982
0.5516113,1.2883148,-0.28099802,298987
0.50701815,1.2284501,-0.32375857,303992
0.48075095,1.1863003,-0.36163223,308986
0.46914452,1.1588113,-0.3848451,313971
0.46975538,1.1410962,-0.40133846,318976
0.46914452,1.1001683,-0.43066,323981
0.46670106,1.0629056,-0.46975538,329005
0.47525316,1.0494665,-0.49480084,333991
0.49418998,1.0726794,-0.50335294,338996
0.49113566,1.073901,-0.46670106,343970
0.47525316,1.0635164,-0.4111123,348996
0.45448375,1.061073,-0.37568212,353980
0.42821655,1.065349,-0.34574974,358985
0.3933972,1.0549643,-0.29077184,363990
0.2950479,1.1563679,-0.24190263,369016
0.09773844,1.3115277,-0.21685717,373969
-0.12339478,1.237613,-0.18387043,378974
-0.28160888,0.9639453,-0.14110987,383979
-0.34269542,0.7171558,-0.0983493,389005
-0.28955013,0.57726765,-0.09468412,393988
-0.20341812,0.29626966,-0.11728613,398993
-0.07880162,-0.032986723,-0.12522738,403968
0.07574729,-0.25289822,-0.11178834,408994
0.22113322,-0.4373795,-0.08979719,413977
0.3200934,-0.634689,-0.08368854,418982
