x,y,z,timestamp
0.3475823,0.1600467,0.017715093,4404
0.40500367,0.11728613,0.04520403,9428
0.44959682,0.11728613,0.06352998,14413
0.50335294,0.1301143,0.08979719,19418
0.5674938,0.15882497,0.12217305,24423
0.6389651,0.2003638,0.16432275,29447
0.71776664,0.25411993,0.20952678,34403
0.8002335,0.3145956,0.258396,39407
0.8857546,0.38056904,0.30543262,44412
0.97310835,0.45020768,0.35002577,49436
1.056186,0.52534413,0.39278635,54422
1.1746938,0.6383542,0.45753807,59427
1.2473868,0.71593404,0.49602258,64432
1.3090842,0.81245077,0.5345071,69425
1.3603969,0.93279123,0.5723807,74411
1.3970488,1.061073,0.61819565,79416
1.4141531,1.1911873,0.6750061,84421
1.4129313,1.3084733,0.7415904,89445
1.387275,1.4135422,0.81306165,94431
1.3335189,1.4966198,0.8863655,99405
1.2620476,1.563815,0.9560041,104410
1.1716396,1.6016886,1.0403035,109434
1.0231993,1.668273,1.1545353,114420
0.9266826,1.7250835,1.2131784,119424
0.8356637,1.8118263,1.2559389,124429
0.7623598,1.917506,1.2779301,129425
0.70432764,2.0231857,1.2767084,134409
0.66950834,2.125811,1.2528846,139413
0.66156703,2.2223277,1.2052372,144418
0.68539083,2.3377812,1.1258247,149445
0.73731434,2.4336872,1.029308,154428
0.7996226,2.4501805,0.95539325,159402
0.8900307,2.4135287,0.8686504,164407
0.9401216,2.392759,0.80939645,169434
0.9737192,2.3811526,0.73364913,174417
0.9932669,2.371379,0.63713247,179422
1.0005972,2.3738225,0.5363397,184427
0.99082345,2.4061983,0.43860126,189453
0.9669997,2.4452937,0.36713,194435
0.9254609,2.4697282,0.32986724,199411
0.874759,2.4990497,0.312763,204416
0.8136725,2.5485299,0.28221974,209442
0.71593404,2.6731462,0.2144137,214426
0.6426302,2.7904325,0.16798794,219431
0.56688297,2.8393016,0.13316862,224405
0.49541172,2.855184,0.10873401,229431
0.43371433,2.8441887,0.084910266,234415
0.38912117,2.8209758,0.05375614,239420
0.37140608,2.7940977,0.01038471,244424
0.3817908,2.7641652,-0.03359759,249451
0.41538838,2.723848,-0.06841691,254404
0.46670106,2.6682594,-0.09407325,259408
0.56382865,2.5418103,-0.1160644,264413
0.63346726,2.443461,-0.12156218,269440
0.7031059,2.3371704,-0.1282817,274423
0.7684685,2.2314909,-0.13744467,279428
0.82894415,2.1288655,-0.15332718,284402
0.8741482,2.017077,-0.16554448,289429
0.9083566,1.8997909,-0.1826487,294412
0.9315695,1.7886134,-0.20219639,299417
0.9419542,1.6835446,-0.21624629,304422
0.93828905,1.5845845,-0.22235495,309450
0.91751957,1.4703526,-0.21930063,314432
0.8900307,1.4129313,-0.20769419,319406
0.8588765,1.3701707,-0.18936823,324411
0.8228355,1.3426818,-0.1740966,329437
0.7800749,1.3322971,-0.16065755,334421
0.73364913,1.3402383,-0.15271631,339426
0.68477994,1.3573426,-0.14782938,344431
0.6291912,1.3817772,-0.14538592,349426
0.5723807,1.4135422,-0.1441642,354410
0.5174029,1.459357,-0.1459968,359415
0.462425,1.4941764,-0.14477506,364419
0.37384954,1.4899004,-0.12217305,369446
0.32070425,1.4837917,-0.09101892,374429
0.27672195,1.4795157,-0.054367006,379404
0.23945917,1.4618006,-0.01038471,384408
0.21013765,1.4361442,0.03481932,389435
0.18997909,1.4080443,0.08002335,394418
0.1826487,1.3756685,0.118507855,399423
0.1441642,1.246776,0.13561209,404428
-0.002443461,0.88025683,0.13988814,409424
-0.16615535,0.4990769,0.15088372,414407
-0.26145032,0.07941248,0.15760323,419412
-0.27550024,-0.20525073,0.14172074,424417
-0.25534168,-0.43371433,0.124005646,429443
-0.19914207,-0.55771995,0.11484267,434427
-0.12034045,-0.589485,0.11178834,439432
-0.03848451,-0.58032197,0.09468412,444406
0.029932396,-0.5644395,0.062308256,449435
0.07696902,-0.5503896,0.02321288,454416
0.09773844,-0.5271767,-0.012217305,459421
0.09162979,-0.4886922,-0.036651913,464426
0.04337143,-0.41050145,-0.05681047,469452
