x,y,z,timestamp
-0.18875736,0.059864793,0.15332718,3333
-0.13316862,-0.015271631,0.18081611,8357
-0.047036625,-0.12767084,0.21074851,13343
0.015882496,-0.18753563,0.22540927,18348
0.08368854,-0.23823744,0.23396139,23353
0.16615535,-0.2932153,0.24617869,28377
0.2510656,-0.33475417,0.26206118,33332
0.33475417,-0.3567453,0.2779437,38337
0.41722095,-0.35185838,0.2950479,43342
0.4972443,-0.3323107,0.3115413,48366
0.5656612,-0.29871312,0.32559118,53352
0.6249151,-0.258396,0.34208453,58357
0.6939429,-0.20219639,0.3640757,63331
0.72204274,-0.16798794,0.37018433,68355
0.73364913,-0.13439035,0.36651915,73341
0.7263188,-0.106901415,0.3555236,78345
0.70554936,-0.09712757,0.3390302,83350
0.66767573,-0.07452556,0.31031954,88375
0.61575216,-0.061086524,0.2846632,93330
0.56688297,-0.077579886,0.2657264,98334
0.52473325,-0.045814894,0.25045475,103340
0.4813618,0.06536258,0.23823744,108366
0.4007276,0.24495697,0.23151793,113349
0.32559118,0.26328292,0.226631,118354
0.24190263,0.22357668,0.21502456,123359
0.16187929,0.17898351,0.204029,128353
0.100792766,0.17654006,0.19058995,133338
0.055588737,0.23090707,0.1777618,138343
0.02443461,0.32559118,0.17531833,143348
0.002443461,0.4202753,0.18325958,148372
-0.009773844,0.4813618,0.19730948,153358
-0.01282817,0.5045747,0.21746802,158332
0.0030543262,0.48197266,0.24190263,163337
0.031154128,0.43982297,0.24923302,168362
0.08002335,0.37018433,0.24556783,173347
0.14477506,0.3231477,0.22907446,178352
0.22602014,0.3231477,0.21074851,183357
0.3145956,0.34697145,0.1881465,188350
0.39828414,0.36835176,0.16493362,193336
0.47158796,0.37995818,0.14660765,198341
0.5235115,0.3659083,0.12950343,203345
0.5589417,0.33964106,0.112399206,208370
0.589485,0.3323107,0.0983493,213356
0.61086524,0.36102137,0.08979719,218330
0.6236934,0.4111123,0.09101892,223335
0.63285637,0.45998153,0.09468412,228359
0.63163465,0.5009095,0.1020145,233344
0.61575216,0.52656585,0.108123146,238349
0.59620446,0.5338962,0.118507855,243354
0.5705481,0.54550266,0.13316862,248378
0.5448918,0.5717699,0.15332718,253333
0.51923543,0.6151413,0.17715092,258338
0.4868596,0.67256266,0.20341812,263343
0.4269948,0.75747293,0.24312437,268369
0.376293,0.7910705,0.29016098,273353
0.33353242,0.8790351,0.34391713,278358
0.3005457,1.033584,0.36896262,283332
0.23457226,1.0659598,0.37507126,288358
0.1459968,1.0158689,0.36651915,293342
0.06047566,0.94806284,0.34025195,298347
-0.0061086523,0.91446525,0.3042109,303352
-0.052534413,0.8906415,0.26083946,308378
-0.070249505,0.8680395,0.21991149,313331
-0.043982297,0.84116143,0.16615535,318336
-0.004886922,0.82833326,0.13927728,323341
0.057421334,0.82650065,0.12339478,328365
0.13744467,0.86070913,0.1142318,333350
0.23762658,0.92485,0.10995574,338355
0.3494149,1.0054842,0.11362094,343330
0.47036624,1.0916162,0.12339478,348354
0.59498274,1.1539245,0.13622294,353340
0.7098254,1.169807,0.15699236,358344
0.81489426,1.1252137,0.1863139,363349
0.9462303,0.9645562,0.23945917,368373
1.010982,0.8546005,0.28160888,373359
1.0641272,0.7703011,0.3231477,378333
1.0983357,0.7086037,0.36285394,383338
1.119716,0.66156703,0.40439278,388365
1.1203269,0.63163465,0.44226643,393348
1.097114,0.61819565,0.46853364,398353
1.0525209,0.61269784,0.4813618,403358
0.98715824,0.61819565,0.48563787,408353
0.90469146,0.6383542,0.47891834,413337
0.7611381,0.68416905,0.45631635,418342
0.6621779,0.75991637,0.4269948,423347
0.56688297,0.84482664,0.4025602,428373
0.4886922,0.9114109,0.38789943,433357
0.42271876,0.9822713,0.37934732,438331
0.36835176,1.0549643,0.36774087,443336
0.3200934,1.1294898,0.35063666,448362
0.2761111,1.1917981,0.3231477,453346
0.24190263,1.2565498,0.29871312,458350
0.22052236,1.3158038,0.28588495,463355
0.2180789,1.3738359,0.28955013,468351
0.22907446,1.4776831,0.28955013,473335
0.23945917,1.5436565,0.267559,478339
0.258396,1.5845845,0.23762658,483344
0.2846632,1.5937474,0.22296582,488371
0.31581733,1.5790867,0.22235495,493354
0.34391713,1.5351044,0.2321288,498359
0.36774087,1.4770721,0.23579398,503333
0.3915646,1.4263704,0.22785273,508360
0.42088616,1.4037683,0.21502456,513343
0.453262,1.4056009,0.20463985,518348
0.5112942,1.3939945,0.19364429,523353
0.5491679,1.3658947,0.19303341,528379
0.5852089,1.3206906,0.19364429,533332
0.61208695,1.2651019,0.19608775,538337
0.6414085,1.2156218,0.204029,543342
0.6621779,1.1655309,0.21685717,548368
0.6731735,1.1172725,0.22235495,553352
0.6731735,1.0665708,0.22602014,558356
0.6609562,1.0140363,0.22785273,563331
0.6407976,0.96577793,0.2284636,568359
0.54733527,0.87109387,0.2321288,573341
0.43371433,0.70616025,0.24740042,578345
0.31215215,0.4538729,0.26816985,583350
0.20891592,0.16798794,0.27672195,588377
0.12583824,-0.07941248,0.26328292,593330
0.065973446,-0.24495697,0.22113322,598334
0.032986723,-0.34025195,0.16737708,603339
0.02076942,-0.3848451,0.11056661,608366
0.018936822,-0.40317106,0.0580322,613349
0.015882496,-0.41355577,0.010995574,618354
-0.0018325958,-0.42760566,-0.070249505,623359
-0.026267206,-0.43127087,-0.13927728,628355
-0.06780604,-0.43799037,-0.21685717,633338
-0.12156218,-0.45937067,-0.28955013,638343
-0.18448131,-0.50518554,-0.35369098,643348
-0.25900686,-0.5693264,-0.39461896,648405
-0.3378085,-0.6597345,-0.41538838,653358
-0.43066,-0.74281216,-0.4447099,658332
-0.5290093,-0.8167268,-0.47891834,663337
-0.62980205,-0.88514376,-0.50823987,668363
-0.7806858,-0.98532563,-0.54367006,673347
-0.87964594,-1.0525209,-0.56688297,678352
-0.96944314,-1.1160508,-0.5852089,683357
-1.0512991,-1.1746938,-0.6047566,688352
-1.1160508,-1.2266175,-0.61819565,693336
-1.1606439,-1.2760975,-0.625526,698341
-1.1869112,-1.319469,-0.63163465,703345
-1.1930199,-1.3536774,-0.63407815,708372
-1.1808025,-1.3744467,-0.6377433,713355
-1.1527027,-1.4288138,-0.6407976,718330
-1.0977248,-1.5271631,-0.6444628,723334
-0.9786061,-1.7085901,-0.6621779,728359
-0.88453287,-1.8228219,-0.6817256,733344
-0.7849618,-1.9187278,-0.70616025,738349
-0.68233645,-1.9926424,-0.7281514,743354
-0.58032197,-2.0482311,-0.7507534,748378
-0.49235737,-2.0922134,-0.77396625,753333
-0.42271876,-2.1294763,-0.8032878,758338
-0.3817908,-2.158187,-0.8356637,763343
-0.36713,-2.1716259,-0.86070913,768367
-0.37751472,-2.179567,-0.8790351,773353
-0.43310347,-2.1905627,-0.90469146,778358
-0.5027421,-2.1697934,-0.9236283,783332
-0.5876524,-2.0983222,-0.9297369,788358
-0.68477994,-1.9816469,-0.929126,793342
-0.7812967,-1.8203784,-0.9224065,798347
-0.86559606,-1.6395624,-0.9077458,803352
-0.93401295,-1.4483615,-0.90102625,808376
-0.9932669,-1.2626585,-0.90469146,813331
-1.0458013,-1.1026118,-0.9089675,818336
-1.0952814,-0.97005403,-0.9083566,823341
-1.1612549,-0.79351395,-0.8949176,828365
-1.196685,-0.69027776,-0.88453287,833350
-1.2223413,-0.59620446,-0.883922,838355
-1.2290609,-0.50640726,-0.8906415,843330
-1.2180653,-0.40011674,-0.89919364,848354
-1.1948525,-0.28221974,-0.9071349,853340
-1.1582005,-0.16371189,-0.90224797,858344
-1.1081096,-0.051923547,-0.87781334,863349
-1.0403035,0.04153884,-0.8368854,868373
-0.95417154,0.099571034,-0.77640975,873359
-0.79779,0.13500121,-0.6713409,878333
-0.6835582,0.1386664,-0.59559363,883338
-0.56688297,0.13194689,-0.5222898,888362
-0.45081854,0.122783914,-0.45142943,893348
-0.34147367,0.11056661,-0.3830125,898353
-0.23518312,0.096516706,-0.31642818,903358
-0.12889257,0.08002335,-0.24862215,908352
-0.02321288,0.061086524,-0.17898351,913337
0.08002335,0.040927973,-0.112399206,918342
0.17104226,0.031154128,-0.04886922,923347
0.28527406,0.036651913,0.03481932,928371
0.33169982,0.044593163,0.0842994,933357
0.35735616,0.04520403,0.12705997,938331
0.3585779,0.03176499,0.1685988,943336
0.4007276,0.015271631,0.20586158,948360
0.5009095,-0.039095376,0.23579398,953345
0.539394,-0.17837265,0.24801129,958350
0.5131268,-0.33169982,0.26511553,963355
0.462425,-0.39828414,0.2950479,968349
0.4092797,-0.47219884,0.32375857,973335
0.3408628,-0.52106804,0.31215215,978339
0.23151793,-0.50946164,0.27977628,983344
0.16065755,-0.4813618,0.26328292,988368
0.086132,-0.42821655,0.2406809,993354
0.007941248,-0.35735616,0.21013765,998359
-0.06719518,-0.26267207,0.1740966,1003333
-0.1459968,-0.15699236,0.1337795,1008357
-0.21563543,-0.06414085,0.09590584,1013343
-0.27550024,0.009773844,0.062308256,1018348
