x,y,z,timestamp
0.03481932,0.21868975,0.116675265,2046
0.13988814,0.17837265,0.14477506,7051
0.25228736,0.14905111,0.17470746,12076
0.37384954,0.13133603,0.20830505,17060
0.5021312,0.12461651,0.24373524,22066
0.6273586,0.13072516,0.27672195,27040
0.75441855,0.14172074,0.3109304,32065
0.8772025,0.1600467,0.34391713,37050
0.99265605,0.19058995,0.36957347,42055
1.1050552,0.24495697,0.39278635,47059
1.2583824,0.35979962,0.42577308,52084
1.3500122,0.45142943,0.4465425,57069
1.4288138,0.5479461,0.47036624,62044
1.5008959,0.643852,0.4990769,67048
1.5619824,0.73792523,0.535118,72073
1.6206255,0.8142834,0.57971114,77058
1.672549,0.8912524,0.63285637,82063
1.7214183,0.98349303,0.68233645,87068
1.7562376,1.1355985,0.7281514,92062
1.785559,1.2980887,0.7715228,97047
1.8057177,1.4636332,0.806953,102052
1.7965547,1.7562376,0.8179486,107057
1.7550159,2.0415115,0.7733554,112082
1.7171422,2.3188446,0.7360926,117067
1.6811012,2.5460863,0.70738196,122041
1.6426166,2.7000244,0.711658,127046
1.59558,2.7849348,0.74036866,132070
1.5430456,2.8099802,0.79229224,137056
1.4837917,2.8093693,0.8491027,142061
1.4178182,2.7953193,0.90224797,147065
1.3542882,2.7684412,0.9431759,152061
1.2754866,2.733622,0.98532563,157045
1.2455542,2.7122416,1.0024298,162050
1.2272283,2.6902506,1.0048733,167055
1.2186762,2.6578746,0.9896017,172081
1.2168436,2.6053402,0.9584476,177064
1.2174544,2.5363126,0.91324353,182069
1.2156218,2.470339,0.8539896,187043
1.2027937,2.424524,0.784351,192070
1.1814134,2.3988678,0.7153232,197053
1.1472049,2.39337,0.6536258,202058
1.0720685,2.3634377,0.59681535,207063
1.0134255,2.2999077,0.57971114,212089
0.95294976,2.193617,0.5503896,217042
0.9071349,2.175291,0.5326745,222047
0.8594874,2.21683,0.5235115,227052
0.8081747,2.172237,0.4868596,232078
0.7703011,2.1288655,0.4447099,237062
0.74097955,2.1252003,0.41722095,242067
0.7153232,2.081218,0.39400807,247041
0.70616025,2.043955,0.37568212,252067
0.70554936,2.0482311,0.3811799,257051
0.711658,2.0134118,0.3817908,262056
0.729984,1.9633209,0.38912117,267060
0.75686204,1.9126191,0.40683624,272087
0.78801614,1.8484782,0.41905355,277040
0.8222246,1.777007,0.4269948,282045
0.8576548,1.7110336,0.43249258,287050
0.8900307,1.640784,0.43066,292076
0.91629785,1.5693128,0.42394048,297059
0.9431759,1.4972308,0.42455134,302064
0.9810496,1.4062119,0.43066,307069
1.001819,1.3377949,0.43066,312065
1.0158689,1.2760975,0.43493605,317048
1.0195341,1.2370021,0.44226643,322053
1.0091494,1.2046263,0.45631635,327058
0.99021256,1.1954633,0.4728097,332087
0.9621128,1.2241739,0.49174652,337068
0.9266826,1.2699889,0.50946164,342043
0.883922,1.3151928,0.52106804,347047
0.8393288,1.351234,0.52534413,352073
0.79351395,1.3646729,0.52106804,357057
0.7452556,1.3561208,0.5015204,362062
0.7263188,1.3469579,0.48441613,367067
0.711658,1.3365731,0.46975538,372063
0.6976081,1.3133603,0.45875978,377046
0.6768387,1.2834278,0.44532076,382051
0.65301496,1.2461652,0.43127087,387012
0.6224717,1.1924089,0.41050145,392141
0.5467244,1.1520919,0.38606682,397022
0.40561453,1.105666,0.3652974,402131
0.21502456,1.0219775,0.3567453,407045
-0.057421334,0.7831292,0.33536503,412100
-0.2003638,0.5729916,0.3213151,417055
-0.29565877,0.34880406,0.31887165,422060
-0.33658674,0.13683382,0.30726522,427064
-0.321926,-0.062308256,0.28344148,432088
-0.26633725,-0.24312437,0.24556783,437043
-0.19486602,-0.4111123,0.20280726,442048
-0.124005646,-0.5564982,0.16126843,447053
-0.070249505,-0.679893,0.11178834,452077
-0.03970624,-0.7825184,0.054367006,457063
-0.0421497,-0.88453287,-0.05009095,462068
-0.07452556,-0.915687,-0.12156218,467042
-0.1282817,-0.9279043,-0.18997909,472067
-0.204029,-0.93218035,-0.24617869,477052
-0.2932153,-0.93584555,-0.29565877,482057
-0.39645153,-0.9450085,-0.33964106,487062
-0.50762904,-0.9669997,-0.37690386,492086
-0.6200282,-0.9981538,-0.40500367,497041
-0.7281514,-1.0396926,-0.43188173,502046
-0.82772243,-1.0934488,-0.45570546,507051
-0.95478237,-1.1954633,-0.49357912,512075
-1.0177015,-1.2944235,-0.52106804,517061
-1.065349,-1.4288138,-0.5503896,522066
-1.0885619,-1.5986344,-0.5907067,527040
-1.0812315,-1.8063285,-0.62980205,532066
-1.0409144,-2.0103576,-0.6627888,537050
-0.9663888,-2.1911736,-0.68539083,542055
-0.86437434,-2.3310618,-0.70921457,547059
-0.752586,-2.4135287,-0.7324274,552086
-0.6444628,-2.4349089,-0.75747293,557069
-0.51251596,-2.366492,-0.79901177,562044
-0.45204028,-2.2626448,-0.82894415,567048
-0.41722095,-2.1276436,-0.86070913,572075
-0.41233405,-1.9730947,-0.8961393,577058
-0.43127087,-1.8057177,-0.9266826,582063
-0.47219884,-1.6377298,-0.9621128,587068
-0.53023106,-1.4715744,-0.9944886,592064
-0.6010914,-1.3249667,-1.0219775,597047
-0.6768387,-1.205848,-1.042747,602052
-0.75686204,-1.128879,-1.03786,607057
-0.86620694,-1.0403035,-1.0329732,612083
-0.93523467,-0.99204516,-1.0360274,617067
-0.9914343,-0.97433007,-1.0372492,622041
-1.0299188,-0.9932669,-1.0183123,627046
-1.0409144,-1.0305296,-0.9773844,632072
-1.028697,-1.078788,-0.91690874,637056
-0.98899084,-1.1453724,-0.84421575,642060
-0.9279043,-1.2076806,-0.7715228,647065
-0.84238315,-1.2479976,-0.698219,652059
-0.7489208,-1.2528846,-0.63224554,657045
-0.64873886,-1.2174544,-0.5693264,662050
-0.50946164,-1.1136073,-0.47219884,667055
-0.43249258,-1.0366384,-0.40866885,672079
-0.3726278,-0.9615019,-0.3463606,677064
-0.32498032,-0.8949176,-0.2864958,682069
-0.28893927,-0.8258898,-0.23090707,687043
-0.26389378,-0.7470882,-0.17592919,692068
-0.24251351,-0.6536258,-0.12522738,697053
-0.22785273,-0.5345071,-0.0842994,702058
