x,y,z,timestamp
0.21563543,0.30909783,0.23151793,4603
0.33169982,0.22479841,0.25778514,9608
0.4428773,0.14966199,0.2761111,14633
0.54367006,0.08368854,0.28527406,19618
0.625526,0.045814894,0.28344148,24623
0.68416905,0.048258353,0.2724459,29597
0.7244862,0.07880162,0.26206118,34624
0.7519751,0.13316862,0.25411993,39607
0.7770206,0.2742785,0.2602286,44612
0.77946407,0.40317106,0.26450464,49617
0.77396625,0.53878313,0.26633725,54644
0.7611381,0.66339964,0.2657264,59626
0.74036866,0.77579886,0.2669481,64601
0.71837753,0.874759,0.27183503,69606
0.6969972,0.9682214,0.28160888,74632
0.6621779,1.1038336,0.27305678,79615
0.6169739,1.2754866,0.24801129,84620
0.5833763,1.4117095,0.23762658,89625
0.5516113,1.541213,0.24984388,94621
0.5314528,1.599856,0.27550024,99604
0.50640726,1.6633861,0.31031954,104609
0.47708577,1.7293595,0.35185838,109614
0.44165558,1.7843374,0.39584067,114641
0.41050145,1.813659,0.44532076,119624
0.38362336,1.8435913,0.49663344,124598
0.36041048,1.8869628,0.5503896,129603
0.34513888,1.9358319,0.5992588,134630
0.3323107,1.9926424,0.643852,139613
0.3145956,2.0922134,0.68416905,144618
0.30787608,2.1484132,0.73364913,149623
0.3023783,2.2046127,0.7672467,154618
0.29993483,2.266921,0.79717916,159602
0.2932153,2.34389,0.83077675,164607
0.2846632,2.4324653,0.8558222,169612
0.27488935,2.5167649,0.87781334,174638
0.27183503,2.579684,0.8961393,179621
0.2761111,2.6022859,0.9095783,184626
0.2938262,2.5674667,0.906524,189601
0.33108896,2.5411994,0.8912524,194627
0.41783184,2.5619688,0.893085,199611
0.5045747,2.5057693,0.9230174,204616
0.5992588,2.4379632,0.9584476,209621
0.6921103,2.3585508,0.98715824,214647
0.7800749,2.2730296,1.0067059,219600
0.893085,1.9517145,1.0231993,224605
1.047023,1.0396926,0.9950995,229609
1.1129965,0.6084218,0.9682214,234636
1.1325442,0.33536503,0.9859365,239619
1.1252137,-0.045814894,0.99021256,244624
1.0396926,-0.44104472,0.90469146,249599
0.95111716,-0.5491679,0.82894415,254622
0.8564331,-0.589485,0.7703011,259608
0.76174897,-0.5723807,0.7257079,264613
0.6713409,-0.4978552,0.6835582,269618
0.5864306,-0.37201694,0.63224554,274644
0.5027421,-0.21930063,0.5656612,279597
0.42394048,-0.044593163,0.4831944,284602
0.3475823,0.14172074,0.39584067,289607
0.27672195,0.31948254,0.31398472,294633
0.18203785,0.5112942,0.23396139,299617
0.12461651,0.5900958,0.20830505,304621
0.06780604,0.63713247,0.1966986,309627
0.012217305,0.65240407,0.18997909,314622
-0.043982297,0.6249151,0.18142697,319606
-0.09407325,0.55833083,0.17470746,324611
-0.13744467,0.453262,0.1704314,329616
-0.172264,0.32986724,0.1685988,334641
-0.20280726,0.20708331,0.16920967,339625
-0.20525073,0.06352998,0.17470746,344600
-0.16432275,-0.19975294,0.19364429,349605
-0.10934488,-0.35918877,0.19975294,354631
-0.032986723,-0.45998153,0.19058995,359614
0.058643065,-0.48441613,0.1740966,364619
0.15943582,-0.4465425,0.15393804,369624
0.25595254,-0.36896262,0.13805555,374620
0.3378085,-0.2773328,0.12522738,379603
0.39522982,-0.18203785,0.11178834,384608
0.42455134,-0.0842994,0.1001819,389613
0.4288274,0.007330383,0.09590584,394640
0.4007276,0.13500121,0.093462385,399623
0.3622431,0.22602014,0.09162979,404597
0.32559118,0.30298916,0.09285152,409602
0.29016098,0.37690386,0.09468412,414628
0.25595254,0.43371433,0.099571034,419612
0.22296582,0.47219884,0.09590584,424617
0.1966986,0.49357912,0.08552113,429621
0.18020524,0.50946164,0.0720821,434648
0.16737708,0.53023106,0.0580322,439601
0.16493362,0.5546656,0.044593163,444606
0.16310102,0.57910025,0.03604105,449611
0.17654006,0.5742133,0.03481932,454637
0.204029,0.54000485,0.0421497,459620
0.2443461,0.49663344,0.059864793,464625
0.30115658,0.47036624,0.08002335,469600
0.36651915,0.4636467,0.0983493,474626
0.4343252,0.47036624,0.1160644,479609
0.49968776,0.48808134,0.12950343,484614
0.5564982,0.52106804,0.14355333,489619
0.5992588,0.56321776,0.15882497,494645
0.6218608,0.6169739,0.1740966,499598
0.6059783,0.7244862,0.1826487,504603
0.5705481,0.7641924,0.18448131,509608
0.52106804,0.77091193,0.18875736,514632
0.40439278,0.7275405,0.18936823,519618
0.226631,0.60048056,0.1863139,524623
0.087964594,0.37934732,0.17470746,529597
-0.015882496,0.093462385,0.13805555,534621
-0.093462385,-0.16982053,0.07696902,539607
-0.13805555,-0.32253686,-0.0030543262,544612
-0.15699236,-0.35185838,-0.08735373,549617
-0.14660765,-0.29138273,-0.19242255,554643
-0.1337795,-0.26267207,-0.24678956,559626
-0.12217305,-0.27916542,-0.29138273,564601
-0.12095132,-0.33353242,-0.33169982,569606
-0.12889257,-0.4025602,-0.36651915,574632
-0.15027285,-0.46853364,-0.3921755,579616
-0.1826487,-0.52778757,-0.4129449,584620
-0.22968534,-0.5907067,-0.42088616,589625
-0.29626966,-0.65057147,-0.42821655,594619
-0.37384954,-0.7153232,-0.43249258,599604
-0.50823987,-0.82344633,-0.43860126,604609
-0.6078109,-0.9095783,-0.45142943,609614
-0.7079928,-1.010982,-0.46975538,614638
-0.81000733,-1.1221595,-0.4978552,619624
-0.9114109,-1.2333369,-0.5290093,624598
-1.0085385,-1.3481796,-0.56321776,629603
-1.097114,-1.4703526,-0.6053675,634628
-1.1746938,-1.599856,-0.65668017,639613
-1.2357804,-1.7330247,-0.7141015,644618
-1.269378,-1.863139,-0.77091193,649623
-1.2754866,-1.9779817,-0.8246681,654618
-1.2443326,-2.122146,-0.88025683,659602
-1.1887437,-2.1691825,-0.91813046,664607
-1.1184943,-2.1838431,-0.9486737,669612
-1.0366384,-2.1826215,-0.9786061,674638
-0.956615,-2.1673498,-1.0048733,679621
-0.883922,-2.1484132,-1.0317514,684626
-0.82527894,-2.1270328,-1.0574077,689601
-0.7861836,-2.107485,-1.0812315,694627
-0.7666359,-2.0830505,-1.1007792,699611
-0.7654142,-2.0549507,-1.1129965,704616
-0.8032878,-2.0231857,-1.110553,709620
-0.8472701,-2.0372355,-1.0977248,714647
-0.906524,-2.0506747,-1.0861185,719600
-0.96944314,-2.0647244,-1.0793989,724604
-1.0360274,-2.0641136,-1.0793989,729638
-1.1001683,-2.048842,-1.0891727,734636
-1.1569787,-2.0158553,-1.10139,739619
-1.2082914,-1.9596558,-1.1099422,744624
-1.2498302,-1.8735237,-1.1129965,749598
-1.2822062,-1.7635679,-1.1074986,754625
-1.3054191,-1.568702,-1.0781772,759608
-1.3054191,-1.4202617,-1.0451905,764613
-1.2932017,-1.2663237,-1.0073168,769618
-1.2718215,-1.1166617,-0.9621128,774642
-1.2400564,-0.9841039,-0.9108001,779597
-1.1979067,-0.8729264,-0.852157,784602
-1.1429288,-0.78801614,-0.7910705,789607
-1.0751228,-0.7287622,-0.7263188,794631
-0.9999864,-0.6658431,-0.6560693,799617
-0.92057395,-0.59803706,-0.5858198,804621
-0.8063421,-0.4801401,-0.49357912,809627
-0.7324274,-0.4025602,-0.44348818,814620
-0.657291,-0.34269542,-0.39645153,819606
-0.5766568,-0.30848694,-0.344528,824611
-0.48624873,-0.29932398,-0.28955013,829616
-0.38973203,-0.31703907,-0.23518312,834640
-0.28588495,-0.34025195,-0.18325958,839625
-0.18509217,-0.34880406,-0.1423316,844600
-0.086132,-0.34330627,-0.10873401,849605
0.0067195175,-0.3304781,-0.08979719,854629
0.1881465,-0.31215215,-0.056199603,859614
0.7324274,-0.25900686,-0.03176499,864619
0.92057395,-0.4196644,-0.040317107,869624
0.99204516,-0.6597345,-0.0067195175,874618
0.96883225,-0.8594874,0.03481932,879603
0.8723156,-0.9242391,0.0720821,884608
0.7458665,-0.87964594,0.105068825,889613
0.59498274,-0.7703011,0.1282817,894639
0.43493605,-0.6542367,0.13439035,899623
0.27183503,-0.52656585,0.12339478,904597
0.12583824,-0.3659083,0.09712757,909602
-0.06414085,-0.07696902,0.040317107,914629
-0.1826487,0.10262536,-0.0036651916,919612
-0.3005457,0.2406809,-0.0421497,924617
-0.4196644,0.32742378,-0.070249505,929622
-0.5332854,0.37873647,-0.08002335,934648
-0.6200282,0.41172317,-0.064751714,939601
-0.6658431,0.41416663,-0.034208454,944606
-0.66339964,0.36835176,-0.004886922,949611
-0.6230826,0.26939157,0.01160644,954635
-0.5546656,0.1301143,0.018936822,959620
-0.42210788,-0.11911872,0.008552114,964625
-0.32559118,-0.29138273,-0.007941248,969600
-0.23396139,-0.43493605,-0.028099801,974624
