x,y,z,timestamp
0.41538838,0.16065755,0.38789943,4147
0.48380527,0.09896017,0.4251622,9151
0.56016344,0.023823744,0.45937067,14175
0.6420194,-0.056199603,0.49113566,19131
0.766025,-0.15943582,0.5296202,24135
0.84849185,-0.20097467,0.5491679,29140
0.9254609,-0.21930063,0.5626069,34165
0.9914343,-0.21074851,0.56199604,39150
1.0409144,-0.20097467,0.5516113,44155
1.074512,-0.19608775,0.5369505,49130
1.0903945,-0.18936823,0.5174029,54154
1.0922271,-0.16554448,0.49541172,59139
1.0855075,-0.13439035,0.47219884,64144
1.0665708,-0.089186326,0.4465425,69149
1.0299188,-0.008552114,0.40439278,74176
1.0005972,0.04642576,0.37384954,79128
0.9651671,0.093462385,0.34513888,84133
0.92485,0.13561209,0.31520647,89138
0.88208944,0.1685988,0.2938262,94165
0.8350528,0.19181168,0.2742785,99148
0.79168135,0.20952678,0.25717425,104153
0.7470882,0.22724187,0.24678956,109158
0.70432764,0.24007004,0.23579398,114153
0.66706485,0.24923302,0.226631,119137
0.63224554,0.26206118,0.21685717,124142
0.59131753,0.27488935,0.21013765,129147
0.5766568,0.27977628,0.20525073,134173
0.5705481,0.28405234,0.20647246,139156
0.5723807,0.30176744,0.21197024,144131
0.5852089,0.32986724,0.21563543,149136
0.6035349,0.3744604,0.21868975,154162
0.63163465,0.43310347,0.22296582,159145
0.65668017,0.49418998,0.2284636,164150
0.6780604,0.54305923,0.23396139,169155
0.6921103,0.57604593,0.23457226,174151
0.7122689,0.5992588,0.23640485,179134
0.7287622,0.6041457,0.23335053,184139
0.7470882,0.59498274,0.2284636,189144
0.76174897,0.56138515,0.26267207,194170
0.7538077,0.5510005,0.29993483,199154
0.72204274,0.539394,0.33353242,204128
0.6768387,0.5222898,0.3494149,209133
0.6365216,0.50885075,0.33108896,214160
0.6072,0.47525316,0.29626966,219143
0.57971114,0.4147775,0.24678956,224176
0.52473325,0.3145956,0.17654006,229153
0.48563787,0.2602286,0.11789699,234180
0.45937067,0.22357668,0.07269296,239132
0.45142943,0.1966986,0.043982297,244137
0.4550946,0.17287487,0.03176499,249142
0.46120325,0.14966199,0.025045475,254168
0.47525316,0.13500121,0.021991149,259151
0.49663344,0.15271631,0.018936822,264156
0.52839845,0.20952678,0.021380283,269131
0.56199604,0.2932153,0.026267206,274157
0.61269784,0.43066,0.039095376,279140
0.6414085,0.51068336,0.05375614,284145
0.66156703,0.5693264,0.069027774,289150
0.67256266,0.602924,0.084910266,294176
0.6713409,0.6078109,0.09773844,299129
0.6609562,0.5919284,0.103847094,304134
0.6401868,0.5717699,0.0842994,309139
0.62125,0.6230826,0.043982297,314166
0.5858198,0.6731735,-0.01038471,319149
0.5381723,0.65057147,-0.03604105,324154
0.47036624,0.5717699,-0.021380283,329128
0.4288274,0.5021312,0.021991149,334155
0.38056904,0.42149702,0.081855945,339138
0.33292156,0.32375857,0.14538592,344143
0.28405234,0.22174409,0.19792034,349148
0.24312437,0.1423316,0.22174409,354174
0.21868975,0.11789699,0.21197024,359157
0.22235495,0.15943582,0.18203785,364132
0.25167647,0.26389378,0.1386664,369137
0.3036,0.42088616,0.095294975,374163
0.36285394,0.6035349,0.061086524,379147
0.44043383,0.8356637,0.03848451,384151
0.48258355,0.95722586,0.04520403,389156
0.5161811,1.0684034,0.06841691,394152
0.5479461,1.1606439,0.10567969,399135
0.5766568,1.2272283,0.15515977,404140
0.59437186,1.3274102,0.20769419,409145
0.61208695,1.409877,0.2669481,414172
0.6267477,1.4721853,0.3390302,419155
0.63346726,1.5259414,0.40744713,424129
0.63407815,1.5656476,0.4605924,429134
0.62980205,1.5515977,0.47036624,434161
0.6383542,1.5100589,0.47342056,439144
0.6395759,1.541213,0.46792278,444149
0.63407815,1.5809193,0.46181414,449154
0.61086524,1.6236799,0.45204028,454150
0.5656612,1.6468927,0.43004912,459133
0.50762904,1.6633861,0.4007276,464138
0.43860126,1.717753,0.3659083,469143
0.36835176,1.8106046,0.33292156,474167
0.30909783,1.9168952,0.30543262,479152
0.19914207,2.0665572,0.28405234,484157
0.13561209,2.13925,0.2779437,489132
0.07819075,2.1789563,0.27366763,494158
0.027488936,2.1960607,0.26267207,499142
-0.012217305,2.1960607,0.24556783,504146
-0.042760566,2.1954496,0.226631,509151
-0.057421334,2.1868975,0.20341812,514178
-0.06719518,2.1734586,0.16920967,519131
-0.06536258,2.1514673,0.12095132,524135
