x,y,z,timestamp
0.2968805,0.91629785,0.31642818,4067
0.4636467,0.84299403,0.42271876,9072
0.589485,0.7861836,0.5015204,14047
0.72326446,0.7458665,0.57543504,19071
0.86009824,0.73914695,0.6414085,24056
1.0048733,0.76052725,0.6957755,29061
1.1472049,0.79717916,0.73914695,34066
1.2895365,0.84849185,0.77274454,39091
1.4227052,0.9193522,0.79717916,44076
1.536937,0.9963212,0.81061816,49050
1.6267341,1.0732902,0.8026769,54055
1.6945401,1.2486086,0.72326446,59080
1.7232509,1.3457361,0.6750061,64065
1.740966,1.4312572,0.6444628,69070
1.7403551,1.5149459,0.63407815,74075
1.7201965,1.6120734,0.63713247,79070
1.677436,1.7140878,0.65484756,84054
1.6151277,1.8014416,0.6792821,89059
1.536326,1.8735237,0.7098254,94064
1.4453071,1.9248364,0.7415904,99090
1.3445144,1.9517145,0.7715228,104073
1.2345587,1.9682078,0.78801614,109048
1.0635164,1.9651535,0.79412484,114053
0.95111716,1.9498819,0.77640975,119079
0.8436049,1.9303342,0.743423,124062
0.7483099,1.8942931,0.6988298,129067
0.66706485,1.840537,0.64873886,134072
0.6053675,1.7776178,0.59620446,139068
0.56382865,1.6841555,0.5448918,144052
0.5534439,1.5546521,0.49663344,149056
0.5662721,1.4049901,0.43493605,154061
0.59315014,1.3011429,0.37507126,159088
0.6597345,1.2437216,0.30909783,164071
0.7263188,1.2223413,0.2968805,169076
0.79412484,1.2113458,0.3005457,174050
0.8582657,1.1936307,0.31215215,179077
0.92057395,1.1661417,0.32742378,184060
0.97494096,1.146594,0.34025195,189065
1.0238101,1.1368202,0.36041048,194070
1.0629056,1.1374311,0.38606682,199096
1.0916162,1.1368202,0.41722095,204049
1.1093313,1.1575897,0.44776422,209054
1.1093313,1.2351695,0.49663344,214059
1.0861185,1.2956452,0.5235115,219085
1.0433578,1.3530666,0.54611355,224069
0.9828822,1.3909402,0.55771995,229073
0.90469146,1.4001031,0.5546656,234048
0.80878556,1.4019357,0.54733527,239072
0.70921457,1.3976597,0.5326745,244058
0.602924,1.3860532,0.5155703,249062
0.49113566,1.3707817,0.48258355,254068
0.34697145,1.3475688,0.43310347,259092
0.09590584,1.1386528,0.3494149,264047
-0.031154128,0.8570439,0.2883284,269052
-0.13133603,0.5558874,0.21868975,274056
-0.20525073,0.2938262,0.1441642,279081
-0.23884831,0.09407325,0.065973446,284066
-0.23335053,-0.029321533,0.0,289071
-0.20586158,-0.08124508,-0.054367006,294076
-0.16920967,-0.10629055,-0.089186326,299072
-0.13316862,-0.13744467,-0.10140363,304055
-0.10629055,-0.18020524,-0.10445796,309060
-0.08735373,-0.26389378,-0.0983493,314065
-0.08552113,-0.32498032,-0.09285152,319091
-0.09162979,-0.3817908,-0.084910266,324075
-0.09896017,-0.45875978,-0.07086037,329049
-0.100792766,-0.5448918,-0.047036625,334054
-0.09101892,-0.6151413,-0.014660766,339080
-0.073303826,-0.65301496,0.023823744,344064
-0.04886922,-0.6603453,0.058643065,349069
-0.018936822,-0.6365216,0.084910266,354073
0.01038471,-0.5870415,0.1020145,359069
0.034208454,-0.52534413,0.108123146,364053
0.06352998,-0.41722095,0.10262536,369058
0.07696902,-0.33536503,0.09407325,374063
0.087964594,-0.2510656,0.07941248,379089
0.09468412,-0.1685988,0.059253927,384072
0.096516706,-0.09040806,0.03726278,389047
0.08979719,-0.02321288,0.017715093,394052
0.080634214,0.029932396,0.0,399078
0.06536258,0.07452556,-0.009773844,404061
0.048258353,0.115453534,-0.018936822,409066
0.028099801,0.14477506,-0.02321288,414071
-0.0018325958,0.1600467,-0.021991149,419097
-0.018325957,0.14966199,-0.01282817,424050
-0.027488936,0.11789699,-0.0030543262,429055
-0.021991149,0.07086037,0.009773844,434060
-0.004276057,0.029932396,0.027488936,439086
0.02321288,0.007941248,0.045814894,444070
0.055588737,-0.002443461,0.06352998,449075
0.08735373,-0.008552114,0.08735373,454049
0.1142318,-0.014049901,0.108123146,459075
0.13561209,-0.02443461,0.1282817,464059
0.15271631,-0.040927973,0.14966199,469064
0.15943582,-0.040927973,0.15760323,474069
0.16249016,-0.029932396,0.16249016,479095
0.16615535,-0.005497787,0.16493362,484048
0.17348573,0.036651913,0.16371189,489053
0.18325958,0.08552113,0.16798794,494058
0.19792034,0.13500121,0.1685988,499084
0.21013765,0.19058995,0.1704314,504067
0.22174409,0.24801129,0.17654006,509072
0.22907446,0.29443705,0.17959438,514047
0.22540927,0.34025195,0.18875736,519073
0.21502456,0.35002577,0.19242255,524056
0.20219639,0.34391713,0.20219639,529061
0.18509217,0.33169982,0.20647246,534066
0.14782938,0.31398472,0.20280726,539090
0.07147124,0.25045475,0.19242255,544076
-0.01282817,0.092240654,0.18325958,549050
-0.07574729,-0.13683382,0.16554448,554055
-0.11484267,-0.35979962,0.13316862,559081
-0.13194689,-0.49357912,0.08124508,564065
-0.116675265,-0.50885075,-0.007330383,569070
-0.093462385,-0.45631635,-0.05681047,574075
-0.069027774,-0.4007276,-0.09590584,579070
-0.05131268,-0.34269542,-0.12339478,584054
-0.04520403,-0.27488935,-0.1441642,589059
-0.043982297,-0.19425514,-0.16187929,594064
-0.05131268,-0.10751228,-0.1704314,599090
-0.065973446,-0.02321288,-0.17837265,604073
-0.087964594,0.036651913,-0.18020524,609048
-0.1160644,0.062308256,-0.18142697,614053
-0.14844026,0.06047566,-0.19058995,619079
-0.2144137,0.007330383,-0.21991149,624062
-0.27305678,-0.0580322,-0.25350907,629067
-0.34208453,-0.1441642,-0.2883284,634072
-0.4184427,-0.23823744,-0.31948254,639066
-0.4972443,-0.33536503,-0.3463606,644052
-0.57360244,-0.4361578,-0.37018433,649056
-0.65057147,-0.5467244,-0.38240165,654061
-0.72692966,-0.68416905,-0.3848451,659085
-0.8038987,-0.8228355,-0.40439278,664071
-0.8753699,-0.9407325,-0.4269948,669076
-0.96944314,-1.0647382,-0.45081854,674050
-1.0219775,-1.1154399,-0.46792278,679077
-1.0684034,-1.1600331,-0.49174652,684060
-1.1154399,-1.1985176,-0.5271767,689065
-1.1588113,-1.2363913,-0.5681047,694070
-1.1997393,-1.2773192,-0.61758476,699096
-1.2357804,-1.3115277,-0.66828656,704049
-1.2669345,-1.3347405,-0.7165449,709054
-1.2938126,-1.3518448,-0.7648033,714059
-1.3206906,-1.3701707,-0.8063421,719085
-1.3610078,-1.3927728,-0.8546005,724069
-1.3775011,-1.4923438,-0.89369583,729073
-1.3988814,-1.5418239,-0.93951076,734048
-1.4178182,-1.5528195,-0.98532563,739074
-1.4288138,-1.5674802,-1.0219775,744058
-1.4288138,-1.5748106,-1.0531317,749062
-1.432479,-1.5564847,-1.0769554,754067
-1.4434745,-1.5314392,-1.0940597,759094
-1.4605788,-1.5180001,-1.0989466,764047
-1.4831808,-1.5198327,-1.0977248,769052
-1.5259414,-1.5589281,-1.0836749,774057
-1.5546521,-1.6120734,-1.0690142,779083
-1.582141,-1.7006488,-1.0500773,784066
-1.600467,-1.8118263,-1.0250319,789071
-1.6010778,-1.9254472,-0.9969321,794076
-1.5839735,-2.02624,-0.97066486,799069
-1.5442673,-2.1111503,-0.9431759,804055
-1.491122,-2.1832323,-0.9272934,809060
-1.4318681,-2.240043,-0.91324353,814065
-1.3561208,-2.2644775,-0.89919364,819118
-1.2339478,-2.1875083,-0.88270026,824075
-1.1582005,-2.0922134,-0.8717047,829049
-1.0720685,-1.9706513,-0.8491027,834054
-0.9822713,-1.813048,-0.8228355,839078
-0.8918633,-1.640784,-0.788627,844064
-0.8014552,-1.4679092,-0.7464773,849069
-0.7104363,-1.2968669,-0.70249504,854074
