x,y,z,timestamp
0.4343252,0.26450464,0.06841691,4922
0.48258355,0.23823744,0.1001819,9946
0.52595496,0.21746802,0.13072516,14932
0.5687156,0.20097467,0.15943582,19936
0.6059783,0.19425514,0.18692477,24941
0.6420194,0.19730948,0.2144137,29935
0.68783426,0.21502456,0.25411993,34921
0.711658,0.24251351,0.27305678,39925
0.7318166,0.2761111,0.28710666,44930
0.74281216,0.31398472,0.28893927,49955
0.7489208,0.35369098,0.28405234,54940
0.74281216,0.3921755,0.27550024,59915
0.7293731,0.42149702,0.2846632,64919
0.70066243,0.45265114,0.31520647,69946
0.6579019,0.4868596,0.34208453,74929
0.6072,0.49357912,0.36835176,79934
0.52534413,0.48380527,0.3830125,84939
0.48930305,0.45875978,0.36835176,89935
0.46486846,0.4269948,0.35246924,94918
0.43982297,0.43371433,0.34025195,99923
0.42149702,0.40317106,0.34330627,104928
0.40744713,0.36468655,0.36041048,109954
0.39461896,0.34880406,0.38728857,114938
0.39278635,0.34208453,0.4147775,119943
0.40622538,0.3268129,0.43310347,124917
0.43249258,0.3390302,0.4373795,129943
0.47769663,0.41538838,0.4092797,134927
0.50518554,0.4569272,0.37323865,139932
0.5222898,0.48563787,0.32559118,144936
0.5119051,0.5345071,0.2724459,149963
0.48930305,0.55833083,0.226631,154916
0.4550946,0.57360244,0.19914207,159920
0.4166101,0.5870415,0.19364429,164925
0.3726278,0.6065892,0.204029,169952
0.32253686,0.6579019,0.23518312,174935
0.2779437,0.6621779,0.27183503,179940
0.22785273,0.6102544,0.30909783,184915
0.20769419,0.5546656,0.35002577,189941
0.20219639,0.5626069,0.36713,194924
0.20830505,0.60231316,0.3707952,199929
0.22113322,0.63407815,0.35979962,204934
0.2302962,0.6407976,0.33169982,209960
0.23701571,0.6933321,0.29810223,214913
0.23823744,0.75441855,0.25961772,219918
0.22602014,0.8032878,0.21991149,224923
0.20891592,0.8344419,0.1881465,229949
0.20219639,0.86437434,0.16249016,234933
0.13744467,0.76174897,0.11301007,239938
0.05681047,0.5742133,0.07452556,244943
-0.021380283,0.38423425,0.03359759,249938
-0.09162979,0.23579398,-0.014660766,254922
-0.1563815,0.14844026,-0.059253927,259927
-0.20525073,0.112399206,-0.09162979,264932
-0.23945917,0.11362094,-0.10934488,269958
-0.2565634,0.12095132,-0.12034045,274941
-0.26450464,0.1386664,-0.13072516,279916
-0.25534168,0.18509217,-0.14355333,284921
-0.2180789,0.33414328,-0.15454891,289947
-0.17287487,0.44898596,-0.15454891,294931
-0.118507855,0.5467244,-0.14049901,299935
-0.05009095,0.63163465,-0.11728613,304940
0.029932396,0.6939429,-0.08246681,309936
0.11911872,0.73731434,-0.04337143,314920
0.21135938,0.7733554,-0.0061086523,319924
0.29871312,0.806953,0.015882496,324929
0.37507126,0.8533788,0.031154128,329955
0.44837508,0.88147855,0.06291912,334939
0.54550266,0.86926126,0.13805555,339913
0.59559363,0.84421575,0.18875736,344918
0.62858033,0.8332202,0.2302962,349944
0.643852,0.8686504,0.26267207,354928
0.6542367,0.9101892,0.29932398,359933
0.6646214,0.95722586,0.34513888,364938
0.67256266,1.0225884,0.41233405,369964
0.6750061,1.0916162,0.4813618,374917
0.66950834,1.1362094,0.5467244,379922
0.64812803,1.1734722,0.59620446,384927
0.6041457,1.2913691,0.6585127,389953
0.56016344,1.3970488,0.68416905,394937
0.50640726,1.5008959,0.6969972,399941
0.44776422,1.6022996,0.6951646,404916
0.3915646,1.7055358,0.6908886,409942
0.3390302,1.817935,0.6786713,414926
0.29871312,1.9291124,0.6713409,419930
0.2724459,2.0244074,0.6640105,424935
0.25961772,2.08977,0.64996064,429962
0.258396,2.1160371,0.63285637,434915
0.26328292,2.1025982,0.61208695,439919
0.28344148,2.0457878,0.5693264,444924
0.3036,2.0024164,0.535118,449951
0.32375857,1.9498819,0.49235737,454934
0.3475823,1.9022343,0.4428773,459939
0.37384954,1.8435913,0.38362336,464913
0.40133846,1.7605137,0.32925636,469940
0.43249258,1.6548339,0.2883284,474923
0.47036624,1.5375478,0.26328292,479928
0.5149594,1.427592,0.25595254,484933
0.5681047,1.3396275,0.25778514,489959
0.6462954,1.2492194,0.27366763,494943
0.6914995,1.1972959,0.29077184,499917
0.7324274,1.1484267,0.3023783,504922
0.77457714,1.1038336,0.31215215,509948
0.81122905,1.0720685,0.31764993,514932
0.84604836,1.0580186,0.32498032,519936
0.874759,1.0549643,0.33658674,524972
0.8979719,1.0531317,0.3481932,529937
0.91751957,1.0439687,0.3585779,534921
0.9370673,1.0341948,0.36651915,539925
0.9645562,1.0256428,0.37323865,544930
0.9798279,1.0225884,0.3744604,549957
0.9828822,1.0207558,0.36468655,554940
0.9755518,1.0146471,0.35063666,559915
0.9639453,0.9944886,0.3304781,564919
0.9468411,0.95478237,0.30909783,569946
0.9315695,0.9089675,0.2864958,574929
0.9260717,0.8912524,0.26511553,579934
0.9260717,0.8961393,0.24312437,584939
0.9285152,0.9260717,0.226631,589935
0.91996306,0.99021256,0.21624629,594918
0.89919364,1.0360274,0.21746802,599923
0.8686504,1.0757337,0.22357668,604928
0.8436049,1.1074986,0.23273966,609956
0.8258898,1.1441506,0.24678956,614938
0.8173377,1.1936307,0.27000242,619943
0.8197812,1.2431108,0.30298916,624917
0.8258898,1.282817,0.33964106,629943
0.83016586,1.3029755,0.37568212,634927
0.8313876,1.3041973,0.40378192,639932
0.8344419,1.2760975,0.42332962,644936
0.8356637,1.251052,0.42638394,649963
0.8399397,1.2357804,0.42210788,654916
0.8405506,1.2382239,0.41050145,659920
0.83199847,1.237613,0.39828414,664925
0.81000733,1.2253957,0.38789943,669950
0.7812967,1.1930199,0.37140608,674935
0.75441855,1.1508701,0.34208453,679940
0.70738196,1.03786,0.30543262,684915
0.58093286,0.7648033,0.27672195,689939
0.40439278,0.44959682,0.26328292,694924
0.18875736,0.105068825,0.25778514,699929
0.08307768,-0.09407325,0.24556783,704934
0.012217305,-0.2687807,0.2284636,709959
-0.01038471,-0.3817908,0.2003638,714913
0.016493361,-0.4184427,0.16065755,719918
0.08002335,-0.38912117,0.106901415,724923
0.15393804,-0.3408628,0.050701816,729949
0.2144137,-0.29932398,-6.1086525E-4,734933
0.24984388,-0.2706133,-0.040927973,739938
0.2602286,-0.24740042,-0.073303826,744943
0.22540927,-0.21746802,-0.11178834,749936
0.17715092,-0.21563543,-0.12461651,754922
0.108123146,-0.24190263,-0.12889257,759927
0.02443461,-0.2919936,-0.12522738,764932
-0.07147124,-0.35613444,-0.1160644,769958
-0.1777618,-0.43004912,-0.108123146,774941
-0.28710666,-0.5155703,-0.10995574,779916
-0.39950588,-0.61758476,-0.11728613,784921
-0.51068336,-0.74464476,-0.13316862,789947
-0.6206391,-0.88086766,-0.15393804,794931
-0.77213365,-1.0940597,-0.19975294,799935
-0.8564331,-1.2394456,-0.2321288,804940
-0.92179567,-1.3836098,-0.26939157,809934
-0.9615019,-1.5283848,-0.30970868,814919
-0.9767735,-1.6719382,-0.3494149,819924
-0.9761627,-1.8203784,-0.38240165,824929
-0.9584476,-1.9889772,-0.4007276,829955
-0.9254609,-2.1514673,-0.43371433,834939
-0.8881981,-2.2852468,-0.48380527,839913
-0.8546005,-2.3878722,-0.54550266,844918
-0.8210029,-2.497828,-0.6236934,849944
-0.8136725,-2.5631905,-0.66645396,854928
-0.8197812,-2.6193902,-0.70432764,859933
-0.84604836,-2.651766,-0.7476991,864938
-0.88697636,-2.6554313,-0.79901177,869962
-0.947452,-2.6163359,-0.8564331,874917
-1.0183123,-2.5259278,-0.9120218,879922
-1.1032226,-2.4080307,-0.97066486,884927
-1.2021828,-2.2944098,-1.0299188,889951
-1.3060299,-2.193617,-1.0842859,894936
-1.4526376,-2.0659463,-1.1325442,899941
-1.5351044,-1.9871446,-1.1374311,904916
-1.6016886,-1.9004018,-1.1276573,909942
-1.6554449,-1.8044959,-1.1099422,914926
-1.6994271,-1.7055358,-1.0916162,919930
-1.7415768,-1.6126842,-1.0836749,924935
-1.781283,-1.5344934,-1.0836749,929962
-1.8234328,-1.4691309,-1.0824533,934915
-1.8686367,-1.4159856,-1.0824533,939919
-1.917506,-1.3762794,-1.0842859,944924
-1.9700404,-1.3585643,-1.0775663,949951
-2.0525072,-1.4019357,-1.0519099,954934
-2.098933,-1.5057828,-1.024421,959939
-2.1227567,-1.6621643,-0.99387777,964913
-2.1203132,-1.8472565,-0.9596693,969940
-2.0891593,-2.0207422,-0.93645644,974923
-2.031127,-2.1587977,-0.92057395,979928
-1.9504927,-2.2681427,-0.9193522,984933
-1.8442022,-2.3780985,-0.91996306,989957
-1.7073684,-2.4776695,-0.9138544,994943
-1.5424347,-2.5143213,-0.89980453,999917
-1.2541064,-2.4141395,-0.8698721,1004922
-1.0537425,-2.2412646,-0.84604836,1009947
-0.8558222,-2.0018053,-0.8246681,1014932
-0.6750061,-1.7440202,-0.81061816,1019936
-0.516792,-1.5082263,-0.79229224,1024941
-0.38545597,-1.3164146,-0.77213365,1029935
-0.2950479,-1.1533136,-0.7330383,1034921
-0.2773328,-0.9596693,-0.6762278,1039925
-0.312763,-0.77274454,-0.6200282,1044930
-0.3585779,-0.6249151,-0.5564982,1049955
-0.4092797,-0.49663344,-0.45142943,1054940
-0.44409904,-0.43371433,-0.3866777,1059915
-0.4905248,-0.37690386,-0.34269542,1064919
-0.5522222,-0.31887165,-0.31398472,1069944
-0.6133087,-0.2687807,-0.28893927,1074929
-0.6585127,-0.25717425,-0.267559,1079934
-0.6933321,-0.25717425,-0.26450464,1084939
-0.70738196,-0.26328292,-0.28221974,1089933
-0.6939429,-0.2180789,-0.30848694,1094918
-0.6554584,-0.0983493,-0.3304781,1099923
-0.5864306,0.11301007,-0.3390302,1104928
-0.5448918,0.23945917,-0.3304781,1109952
-0.51007247,0.35124752,-0.3145956,1114938
-0.45875978,0.38423425,-0.2779437,1119943
-0.38362336,0.38973203,-0.20952678,1124917
-0.28527406,0.39278635,-0.12034045,1129941
-0.16798794,0.3817908,-0.029932396,1134927
-0.04520403,0.36896262,0.052534413,1139932
0.08246681,0.35246924,0.11301007,1144936
0.20341812,0.34330627,0.16126843,1149961
0.31337386,0.33353242,0.19792034,1154916
0.4361578,0.2724459,0.23701571,1159920
0.6249151,0.18875736,0.25350907,1164925
0.84665924,0.007330383,0.2284636,1169950
0.8399397,-0.30176744,0.19730948,1174935
0.7483099,-0.59864795,0.2003638,1179940
0.61575216,-0.7318166,0.21991149,1184915
0.44715336,-0.7171558,0.22968534,1189941
