x,y,z,timestamp
0.1704314,0.016493361,0.070249505,1653
0.20586158,0.017715093,0.07452556,6678
0.23457226,0.02687807,0.07819075,11663
0.26267207,0.039095376,0.0842994,16637
0.28588495,0.051923547,0.084910266,21642
0.30604348,0.062308256,0.086132,26667
0.32620203,0.07391469,0.08735373,31652
0.33841935,0.0842994,0.09040806,36657
0.34330627,0.092240654,0.08979719,41661
0.34574974,0.09040806,0.08674286,46686
0.34697145,0.089186326,0.08368854,51641
0.3463606,0.09101892,0.08124508,56646
0.34391713,0.0983493,0.07696902,61650
0.33475417,0.11178834,0.076358154,66675
0.3231477,0.12095132,0.07513642,71660
0.30543262,0.12644911,0.07391469,76665
0.28221974,0.12644911,0.07147124,81640
0.25778514,0.12522738,0.069027774,86664
0.23090707,0.12767084,0.06414085,91649
0.19914207,0.13622294,0.055588737,96654
0.16126843,0.15821409,0.04337143,101659
0.13500121,0.1863139,0.03359759,106684
0.112399206,0.22052236,0.022602014,111638
0.092240654,0.25778514,0.015271631,116643
0.07086037,0.2950479,0.009162978,121648
0.049480084,0.3304781,0.0018325958,126673
0.032986723,0.3567453,-0.0012217305,131658
0.018936822,0.37018433,0.0,136663
0.018325957,0.3707952,0.004276057,141637
0.02687807,0.36102137,0.007330383,146662
0.06536258,0.33964106,0.013439035,151647
0.096516706,0.32620203,0.020158553,156652
0.13194689,0.3145956,0.028710667,161657
0.15699236,0.30543262,0.03726278,166681
0.17715092,0.3042109,0.047647487,171666
0.1863139,0.3036,0.058643065,176641
0.18325958,0.30482176,0.06719518,181646
0.17287487,0.30543262,0.07574729,186670
0.1600467,0.30115658,0.08246681,191655
0.1423316,0.30298916,0.0842994,196660
0.10445796,0.31215215,0.07880162,201665
0.077579886,0.32803464,0.069027774,206659
0.052534413,0.35063666,0.0580322,211644
0.047647487,0.37568212,0.047647487,216649
0.03481932,0.38362336,0.03359759,221654
0.01038471,0.3652974,0.028710667,226678
-0.010995574,0.34147367,0.029321533,231664
-0.029932396,0.33841935,0.03604105,236638
-0.04337143,0.36041048,0.04642576,241643
-0.048258353,0.3933972,0.061086524,246667
-0.04520403,0.4288274,0.07880162,251653
-0.018936822,0.47891834,0.10445796,256658
0.008552114,0.50518554,0.1142318,261663
0.04153884,0.5222898,0.116675265,266657
0.07941248,0.5174029,0.11484267,271642
0.12156218,0.48930305,0.11362094,276647
0.16432275,0.4550946,0.11728613,281652
0.21380283,0.4251622,0.12339478,286676
0.25778514,0.40500367,0.13561209,291661
0.30543262,0.3933972,0.15088372,296666
0.34697145,0.3817908,0.16798794,301641
0.41172317,0.36835176,0.19181168,306665
0.45265114,0.37568212,0.20463985,311650
0.49418998,0.38606682,0.21502456,316655
0.5326745,0.40011674,0.22113322,321660
0.5681047,0.4196644,0.22785273,326684
0.60048056,0.44837508,0.23701571,331640
0.63041294,0.47891834,0.25045475,336645
