x,y,z,timestamp
0.8228355,0.13500121,0.31520647,3776
0.97005403,0.12644911,0.3390302,8800
1.105666,0.12889257,0.36041048,13786
1.219287,0.1386664,0.3848451,18791
1.3536774,0.172264,0.41905355,23796
1.4153748,0.204029,0.4428773,28789
1.4410311,0.26328292,0.46609017,33775
1.4355333,0.3585779,0.48624873,38780
1.3884968,0.4746423,0.5021312,43785
1.2993103,0.5900958,0.5149594,48811
1.1765264,0.67256266,0.52473325,53794
1.0250319,0.72387534,0.54061574,58769
0.852157,0.75808376,0.5564982,63774
0.6737844,0.79229224,0.5705481,68800
0.49602258,0.8405506,0.571159,73783
0.24862215,0.9254609,0.54061574,78788
0.10323623,0.98715824,0.49968776,83793
-0.021991149,1.0494665,0.44409904,88790
-0.11789699,1.0916162,0.38728857,93772
-0.16676621,1.0549643,0.38728857,98777
-0.17715092,1.0091494,0.41172317,103782
-0.17470746,1.042747,0.41416663,108809
-0.15577064,1.097114,0.4092797,113792
-0.105068825,1.142318,0.4025602,118766
-0.016493361,1.1643091,0.39278635,123771
0.16798794,1.1484267,0.37323865,128795
0.30482176,1.1349876,0.35796702,133781
0.4428773,1.1368202,0.34697145,138786
0.5766568,1.1484267,0.34391713,143791
0.6914995,1.1606439,0.33964106,148815
0.7867944,1.1771374,0.3378085,153770
0.8533788,1.1911873,0.34269542,158775
0.8918633,1.2046263,0.3549127,163780
0.89369583,1.2241739,0.37873647,168806
0.86559606,1.2351695,0.408058,173789
0.7837401,1.2272283,0.45631635,178794
0.7110472,1.2247849,0.48441613,183769
0.63163465,1.2425,0.50885075,188795
0.54733527,1.2815952,0.52473325,193778
0.46303585,1.323745,0.5338962,198783
0.3830125,1.3548992,0.5314528,203788
0.3109304,1.3775011,0.52534413,208814
0.25045475,1.3946054,0.5174029,213767
0.20158553,1.4019357,0.5009095,218772
0.1740966,1.3744467,0.47342056,223777
0.14966199,1.3988814,0.4202753,228803
0.15577064,1.3866642,0.39095375,233787
0.17165314,1.3439035,0.36468655,238792
0.1966986,1.2687671,0.3408628,243766
0.2302962,1.1722504,0.30970868,248792
0.27550024,1.0415252,0.27550024,253776
0.32925636,0.852157,0.23823744,258781
0.38056904,0.6224717,0.20341812,263786
0.41416663,0.43004912,0.18142697,268812
0.43310347,0.28588495,0.17837265,273795
0.43066,0.16676621,0.18997909,278770
0.41050145,0.13500121,0.2003638,283775
0.3885103,0.12644911,0.20830505,288801
0.37384954,0.14660765,0.204029,293784
0.35979962,0.23762658,0.18203785,298789
0.3567453,0.3640757,0.15515977,303794
0.37384954,0.48380527,0.1301143,308790
0.39767328,0.5674938,0.1142318,313774
0.41783184,0.60903263,0.105068825,318778
0.43554693,0.6169739,0.10751228,323783
0.44715336,0.6072,0.12889257,328810
0.44593164,0.571159,0.17470746,333793
0.43249258,0.53023106,0.20647246,338767
0.41783184,0.48258355,0.23579398,343772
0.39950588,0.44165558,0.25778514,348799
0.38240165,0.41905355,0.2742785,353782
0.37018433,0.39828414,0.27916542,358787
0.37995818,0.35918877,0.28955013,363792
0.39767328,0.3371976,0.3005457,368787
0.4251622,0.33536503,0.31642818,373771
0.45570546,0.3378085,0.33169982,378776
0.49296826,0.3848451,0.34025195,383781
0.50579643,0.43554693,0.33964106,388807
0.51068336,0.49174652,0.33658674,393791
0.50701815,0.5448918,0.33536503,398795
0.5002986,0.59742624,0.34147367,403770
0.49174652,0.64934975,0.35185838,408796
0.4801401,0.70066243,0.36651915,413780
0.46975538,0.74281216,0.3866777,418785
0.4605924,0.7831292,0.40683624,423790
0.453262,0.81306165,0.42577308,428816
0.4447099,0.82894415,0.453262,433769
0.44532076,0.81245077,0.4746423,438774
0.45753807,0.7910705,0.49113566,443809
0.47891834,0.78801614,0.5045747,448805
0.5015204,0.8032878,0.51068336,453788
0.52412236,0.8472701,0.50885075,458793
0.54305923,0.91874135,0.50701815,463767
0.5626069,0.9718866,0.5235115,468794
0.5821546,1.0048733,0.5510005,473777
0.59620446,1.0366384,0.5815437,478782
0.6053675,1.0891727,0.6078109,483787
0.6010914,1.1068878,0.6114761,488813
0.5888741,1.1472049,0.59864795,493766
0.5687156,1.1520919,0.59131753,498771
0.54550266,1.1447614,0.58459806,503776
0.5216789,1.1252137,0.57787853,508800
0.47952923,1.006095,0.56199604,513786
0.36041048,0.64812803,0.5357288,518791
0.23335053,0.24801129,0.5137377,523796
0.14538592,-0.059864793,0.48075095,528790
0.010995574,-0.4251622,0.39278635,533775
-0.077579886,-0.55833083,0.3481932,538780
-0.13988814,-0.5729916,0.31520647,543785
-0.16676621,-0.48624873,0.27366763,548811
-0.16615535,-0.3463606,0.204029,553794
-0.15027285,-0.1881465,0.1160644,558769
-0.13988814,-0.039095376,0.026267206,563774
-0.13805555,0.07513642,-0.058643065,568800
-0.15577064,0.15332718,-0.13255776,573783
-0.18570304,0.18936823,-0.19914207,578788
-0.22968534,0.1704314,-0.24556783,583793
-0.30604348,0.05497787,-0.28038713,588787
-0.3659083,-0.052534413,-0.28588495,593772
-0.43554693,-0.17531833,-0.28160888,598777
-0.5149594,-0.3023783,-0.2687807,603782
-0.6059783,-0.43554693,-0.25350907,608806
-0.7098254,-0.57604593,-0.24190263,613792
-0.8228355,-0.70066243,-0.24251351,618766
-0.9462303,-0.8240572,-0.2565634,623771
-1.0726794,-0.9621128,-0.2773328,628795
-1.1936307,-1.1325442,-0.31215215,633781
-1.3347405,-1.4532484,-0.37812558,638786
-1.3884968,-1.6853772,-0.43310347,643791
-1.4037683,-1.8930714,-0.4972443,648817
-1.3933836,-2.0525072,-0.5821546,653770
-1.3573426,-2.1600194,-0.68416905,658775
-1.3048081,-2.157576,-0.8136725,663780
-1.2498302,-2.084883,-0.9615019,668807
-1.2052372,-1.9779817,-1.1099422,673789
-1.1795808,-1.8435913,-1.2528846,678794
-1.1746938,-1.7140878,-1.3768903,683769
-1.1991285,-1.6187929,-1.4721853,688796
-1.2394456,-1.6389514,-1.5057828,693778
-1.2754866,-1.7672331,-1.536326,698783
-1.2986995,-1.9260582,-1.5503759,703788
-1.2883148,-2.084883,-1.5387696,708815
-1.2370021,-2.2101104,-1.4923438,713767
-1.1527027,-2.26631,-1.4135422,718772
-1.0451905,-2.2540927,-1.3121386,723777
-0.93523467,-2.1991148,-1.2156218,728803
